,Time_Sample [sec],Lat_GNSS [deg],Long_GNSS [deg],Height_GNSS [m],Acc_X [g],Acc_Y [g],Acc_Z [g],Gyro_X [dps],Gyro_Y [dps],Gyro_Z [dps],Magn_X [nT],Magn_Y [nT],Magn_Z [nT]
0,0.0,32.7643144,35.0164459,481.9,-0.06775,-0.01075,1.00525,-0.4,-0.04,0.08,31800.0,-5290.0,-32830.0
1,0.01,32.7643144,35.0164459,481.9,-0.069,-0.00225,0.993,-0.58,-0.04,0.0,31820.0,-5210.0,-32870.0
2,0.02,32.7643144,35.0164459,481.9,-0.05675,-0.00575,0.99075,0.26,0.0,0.02,31820.0,-5160.0,-32900.0
3,0.03,32.7643144,35.0164459,481.9,-0.05225,-0.01025,0.99875,0.48,-0.24,0.06,31810.0,-5160.0,-32910.0
4,0.04,32.7643144,35.0164459,481.9,-0.06175,0.002,0.99775,0.24,-0.04,-0.04,31820.0,-5200.0,-32880.0
5,0.05,32.7643144,35.0164459,481.9,-0.06575,0.0065,0.998,0.04,0.48,0.0,31810.0,-5220.0,-32880.0
6,0.06,32.7643144,35.0164459,481.9,-0.0635,-0.01175,0.99775,0.04,0.44,0.02,31810.0,-5260.0,-32860.0
7,0.07,32.7643144,35.0164459,481.9,-0.06675,-0.01225,0.99675,0.14,-0.08,-0.04,31780.0,-5310.0,-32830.0
8,0.08,32.7643144,35.0164459,481.9,-0.06775,0.01575,0.98475,0.42,-0.06,-0.06,31770.0,-5350.0,-32810.0
9,0.09,32.7643144,35.0164459,481.9,-0.0585,0.0145,0.99475,0.52,-0.1,-0.02,31740.0,-5350.0,-32810.0
10,0.1,32.7643144,35.0164459,481.9,-0.054,-0.0165,1.00775,-0.24,-0.24,0.0,31760.0,-5350.0,-32810.0
11,0.11,32.7643144,35.0164459,481.9,-0.06275,-0.014,0.98925,-0.62,0.0,-0.02,31760.0,-5290.0,-32840.0
12,0.12,32.7643144,35.0164459,481.9,-0.069,0.01475,0.9815,0.22,0.54,-0.02,31740.0,-5310.0,-32820.0
13,0.13,32.7643144,35.0164459,481.9,-0.066,0.0075,0.9985,0.92,0.3,0.04,31750.0,-5310.0,-32820.0
14,0.14,32.7643144,35.0164459,481.9,-0.06675,-0.011,1.01175,-0.04,-0.16,0.12,31770.0,-5320.0,-32810.0
15,0.15,32.7643144,35.0164459,481.9,-0.07025,-0.0015,0.99325,-0.9,-0.3,-0.06,31790.0,-5440.0,-32810.0
16,0.16,32.7643144,35.0164459,481.9,-0.0625,0.006,0.983,-0.24,-0.24,-0.02,31880.0,-5620.0,-32750.0
17,0.17,32.7643144,35.0164459,481.9,-0.052,-0.0065,0.9965,0.56,-0.38,-0.02,31940.0,-5690.0,-32720.0
18,0.18,32.7643144,35.0164459,481.9,-0.05575,-0.006,1.0045,0.2,-0.42,0.02,31930.0,-5700.0,-32730.0
19,0.19,32.7643144,35.0164459,481.9,-0.0655,0.0105,0.998,-0.34,0.22,0.02,31950.0,-5760.0,-32710.0
20,0.2,32.7643144,35.0164459,481.9,-0.066,-0.0025,0.99775,-0.2,0.52,-0.02,31980.0,-5770.0,-32700.0
21,0.21,32.7643144,35.0164459,481.9,-0.0655,-0.02125,1.00575,-0.08,0.18,0.08,31980.0,-5660.0,-32750.0
22,0.22,32.7643144,35.0164459,481.9,-0.069,-0.00025,0.99125,0.16,-0.22,0.02,31910.0,-5510.0,-32770.0
23,0.23,32.7643144,35.0164459,481.9,-0.06325,0.02175,0.9915,0.4,-0.2,0.0,31850.0,-5470.0,-32770.0
24,0.24,32.7643144,35.0164459,481.9,-0.0515,-0.00325,1.00675,0.04,-0.42,0.0,31820.0,-5420.0,-32780.0
25,0.25,32.7643144,35.0164459,481.9,-0.0535,-0.0275,1.0065,-0.78,-0.32,0.02,31840.0,-5400.0,-32770.0
26,0.26,32.7643144,35.0164459,481.9,-0.065,-0.00375,0.98575,-0.42,0.06,0.06,31820.0,-5340.0,-32800.0
27,0.27,32.7643144,35.0164459,481.9,-0.06675,0.0105,0.9885,0.72,0.56,0.04,31790.0,-5340.0,-32810.0
28,0.28,32.7643144,35.0164459,481.9,-0.065,-0.011,1.011,0.56,0.1,0.12,31800.0,-5330.0,-32810.0
29,0.29,32.7643144,35.0164459,481.9,-0.06925,-0.019,1.00675,-0.72,-0.04,0.08,31820.0,-5340.0,-32790.0
30,0.3,32.7643144,35.0164459,481.9,-0.06975,-0.00225,0.98375,-0.8,-0.14,-0.02,31780.0,-5330.0,-32810.0
31,0.31,32.7643144,35.0164459,481.9,-0.058,-0.00825,0.9855,0.3,-0.24,-0.06,31790.0,-5300.0,-32830.0
32,0.32,32.7643144,35.0164459,481.9,-0.051,-0.02275,1.00525,0.46,-0.52,0.02,31790.0,-5330.0,-32800.0
33,0.33,32.7643144,35.0164459,481.9,-0.05975,-0.00875,0.99725,-0.2,-0.16,-0.06,31730.0,-5350.0,-32810.0
34,0.34,32.7643144,35.0164459,481.9,-0.066,0.0,0.99175,-0.36,0.5,-0.02,31700.0,-5340.0,-32810.0
35,0.35000000000000003,32.7643144,35.0164459,481.9,-0.066,-0.0225,0.997,-0.02,0.56,0.0,31740.0,-5340.0,-32810.0
36,0.36,32.7643144,35.0164459,481.9,-0.06925,-0.0265,0.998,0.12,0.08,0.08,31730.0,-5300.0,-32840.0
37,0.37,32.7643144,35.0164459,481.9,-0.071,0.0055,0.987,0.3,-0.26,-0.06,31720.0,-5230.0,-32880.0
38,0.38,32.7643144,35.0164459,481.9,-0.05975,0.0075,0.99325,0.5,-0.38,0.02,31710.0,-5260.0,-32860.0
39,0.39,32.7643144,35.0164459,481.9,-0.05025,-0.026,1.01225,-0.2,-0.42,-0.08,31740.0,-5270.0,-32840.0
40,0.4,32.7643144,35.0164459,481.9,-0.05625,-0.02425,0.99875,-0.6,-0.18,0.0,31720.0,-5230.0,-32870.0
41,0.41000000000000003,32.7643144,35.0164459,481.9,-0.06425,0.00825,0.98325,0.22,0.44,0.0,31740.0,-5180.0,-32890.0
42,0.42,32.7643144,35.0164459,481.9,-0.06175,0.0045,0.99975,0.96,0.58,0.04,31740.0,-5250.0,-32850.0
43,0.43,32.7643144,35.0164459,481.9,-0.0645,-0.0185,1.018,0.14,-0.02,0.06,31720.0,-5290.0,-32830.0
44,0.44,32.7643144,35.0164459,481.9,-0.0695,-0.00975,0.9985,-0.84,0.0,-0.08,31740.0,-5300.0,-32820.0
45,0.45,32.7643144,35.0164459,481.9,-0.06475,0.00375,0.982,-0.1,-0.06,0.02,31770.0,-5310.0,-32800.0
46,0.46,32.7643144,35.0164459,481.9,-0.0535,-0.01075,0.99725,0.8,-0.18,-0.08,31760.0,-5300.0,-32810.0
47,0.47000000000000003,32.7643144,35.0164459,481.9,-0.05525,-0.01275,1.007,0.3,-0.32,-0.02,31780.0,-5310.0,-32800.0
48,0.48,32.7643144,35.0164459,481.9,-0.0645,0.009,0.99575,-0.34,0.14,-0.02,31810.0,-5300.0,-32800.0
49,0.49,32.7643144,35.0164459,481.9,-0.065,0.00075,0.9915,-0.12,0.56,0.04,31800.0,-5310.0,-32790.0
50,0.5,32.7643144,35.0164459,481.9,-0.06525,-0.0205,1.00325,0.02,0.18,0.0,31810.0,-5270.0,-32810.0
51,0.51,32.7643144,35.0164459,481.9,-0.0695,-0.002,0.9945,0.12,-0.24,-0.02,31820.0,-5220.0,-32830.0
52,0.52,32.7643144,35.0164459,481.9,-0.0675,0.0235,0.9865,0.42,-0.16,-0.08,31800.0,-5250.0,-32810.0
53,0.53,32.7643144,35.0164459,481.9,-0.05575,-0.0005,1.003,0.08,-0.3,-0.04,31820.0,-5270.0,-32800.0
54,0.54,32.7643144,35.0164459,481.9,-0.055,-0.022,1.008,-0.52,-0.2,-0.06,31830.0,-5290.0,-32780.0
55,0.55,32.7643144,35.0164459,481.9,-0.065,0.004,0.98325,-0.24,0.2,0.02,31820.0,-5300.0,-32780.0
56,0.56,32.7643144,35.0164459,481.9,-0.06575,0.019,0.98725,0.7,0.5,0.06,31830.0,-5240.0,-32800.0
57,0.5700000000000001,32.7643144,35.0164459,481.9,-0.06175,-0.00325,1.0115,0.46,0.1,0.12,31830.0,-5220.0,-32820.0
58,0.58,32.7643144,35.0164459,481.9,-0.0685,-0.01275,1.0075,-0.7,-0.14,-0.08,31830.0,-5250.0,-32800.0
59,0.59,32.7643144,35.0164459,481.9,-0.0715,0.0035,0.9835,-0.68,0.1,-0.02,31840.0,-5270.0,-32790.0
