,Time_Sample [sec],Lat_GNSS [deg],Long_GNSS [deg],Height_GNSS [m],Acc_X [g],Acc_Y [g],Acc_Z [g],Gyro_X [dps],Gyro_Y [dps],Gyro_Z [dps],Magn_X [nT],Magn_Y [nT],Magn_Z [nT]
0,0.0,32.7588568,35.0228468,477.72,-0.07525,0.0335,0.9825,0.34,0.8,0.06,24920.0,18130.0,-33740.0
1,0.01,32.7588568,35.0228468,477.72,-0.075,0.027,1.00125,0.92,0.6,0.18,24900.0,18150.0,-33740.0
2,0.02,32.7588568,35.0228468,477.72,-0.0805,0.02575,1.00775,-0.16,-0.06,0.08,24850.0,18090.0,-33740.0
3,0.03,32.7588568,35.0228468,477.71,-0.083,0.0355,0.9925,-0.82,-0.1,-0.08,24870.0,18120.0,-33740.0
4,0.04,32.7588568,35.0228468,477.71,-0.06975,0.0235,0.9865,-0.18,-0.34,0.0,24920.0,18210.0,-33730.0
5,0.05,32.7588568,35.0228468,477.71,-0.0615,0.00975,0.99725,0.3,-0.46,-0.04,24910.0,18180.0,-33730.0
6,0.06,32.7588568,35.0228468,477.71,-0.068,0.0285,0.99625,0.32,-0.18,0.06,24870.0,18100.0,-33740.0
7,0.07,32.7588568,35.0228468,477.71,-0.0755,0.042,0.99725,0.06,0.44,-0.02,24820.0,18050.0,-33740.0
8,0.08,32.7588568,35.0228468,477.71,-0.07575,0.0185,1.00125,-0.3,0.44,0.1,24830.0,18030.0,-33740.0
9,0.09,32.7588568,35.0228468,477.71,-0.08,0.0075,0.9995,-0.32,0.22,0.0,24840.0,18040.0,-33740.0
10,0.1,32.7588568,35.0228468,477.71,-0.084,0.03675,0.98775,0.3,-0.02,-0.04,24850.0,18080.0,-33740.0
11,0.11,32.7588568,35.0228468,477.71,-0.07275,0.048,0.99025,0.76,-0.38,0.02,24850.0,18080.0,-33740.0
12,0.12,32.7588568,35.0228468,477.71,-0.062,0.0215,1.0075,0.08,-0.6,0.02,24810.0,18030.0,-33740.0
13,0.13,32.7588568,35.0228468,477.71,-0.0665,0.0135,1.00025,-0.92,-0.48,-0.06,24870.0,18070.0,-33740.0
14,0.14,32.7588568,35.0228468,477.71,-0.076,0.0315,0.98175,-0.12,0.52,0.02,24890.0,18160.0,-33730.0
15,0.15,32.7588568,35.0228468,477.71,-0.0775,0.034,0.99075,0.96,0.72,0.14,24830.0,18110.0,-33740.0
16,0.16,32.7588568,35.0228468,477.71,-0.08025,0.0275,1.007,0.56,0.2,0.1,24810.0,18060.0,-33740.0
17,0.17,32.7588568,35.0228468,477.71,-0.0845,0.03775,0.9995,-0.52,-0.14,0.0,24790.0,18030.0,-33740.0
