Lat_GNSS,Long_GNSS,Height_GNSS,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magn_X,Magn_Y,Magn_Z
32.7588669,35.0228427,477.22,-0.06325,0.04725,0.9845,-0.02,-0.1,-0.14,26500.0,18410.0,-33490.0
32.7588669,35.0228427,477.22,-0.0555,0.03025,1.00075,0.28,-0.44,-0.08,26480.0,18350.0,-33480.0
32.7588669,35.0228427,477.22,-0.06225,0.043,0.99675,-0.16,-0.38,-0.1,26440.0,18300.0,-33480.0
32.7588669,35.0228427,477.22,-0.071,0.055,0.99425,-0.46,0.48,-0.1,26390.0,18280.0,-33480.0
32.7588669,35.0228427,477.22,-0.07175,0.02575,1.0025,-0.38,0.68,-0.08,26400.0,18290.0,-33480.0
32.7588669,35.0228427,477.22,-0.079,0.0125,0.996,-0.48,0.44,-0.06,26420.0,18300.0,-33480.0
32.7588669,35.0228427,477.22,-0.08475,0.04625,0.979,-0.12,0.08,-0.02,26410.0,18310.0,-33480.0
32.7588669,35.0228427,477.22,-0.0775,0.04425,0.98975,0.32,-0.18,-0.12,26390.0,18300.0,-33480.0
32.7588669,35.0228427,477.22,-0.07225,0.004,1.00875,-0.58,-0.4,-0.08,26400.0,18310.0,-33480.0
32.7588669,35.0228427,477.22,-0.0795,0.00775,0.993,-1.16,-0.04,-0.04,26480.0,18440.0,-33480.0
32.7588669,35.0228427,477.22,-0.08925,0.03475,0.97975,-0.16,0.52,0.12,26460.0,18410.0,-33490.0
32.7588669,35.0228427,477.22,-0.0915,0.019,0.9945,0.7,0.64,0.12,26430.0,18380.0,-33480.0
32.7588669,35.0228427,477.22,-0.09125,0.003,1.01,-0.24,0.06,0.12,26400.0,18360.0,-33490.0
32.7588669,35.0228427,477.22,-0.09175,0.025,0.99525,-0.92,-0.18,0.02,26360.0,18360.0,-33490.0
32.7588669,35.0228427,477.22,-0.0825,0.025,0.97925,-0.26,-0.3,0.04,26350.0,18360.0,-33490.0
32.7588669,35.0228427,477.22,-0.07175,0.00225,1.0,0.32,-0.3,0.06,26410.0,18410.0,-33490.0
32.7588669,35.0228427,477.22,-0.0755,0.01825,1.00275,-0.04,-0.14,0.06,26440.0,18460.0,-33490.0
32.7588669,35.0228427,477.22,-0.087,0.03825,0.9935,-0.06,0.38,0.04,26430.0,18380.0,-33490.0
32.7588669,35.0228427,477.22,-0.08825,0.01225,1.00125,-0.14,0.48,0.1,26440.0,18330.0,-33480.0
32.7588669,35.0228427,477.22,-0.086,0.002,1.0015,-0.22,0.06,0.06,26490.0,18460.0,-33490.0
32.7588669,35.0228427,477.22,-0.08175,0.03575,0.98675,0.16,-0.44,-0.06,26540.0,18510.0,-33490.0
32.7588669,35.0228427,477.22,-0.0735,0.04075,0.99525,0.72,-0.58,-0.06,26490.0,18430.0,-33480.0
32.7588669,35.0228427,477.22,-0.06225,0.00725,1.0085,-0.02,-0.64,-0.1,26420.0,18390.0,-33490.0
32.7588669,35.0228427,477.22,-0.0655,0.012,1.0015,-0.7,-0.3,-0.06,26390.0,18360.0,-33490.0
32.7588669,35.0228427,477.22,-0.0775,0.04175,0.98525,0.18,0.4,0.0,26410.0,18330.0,-33490.0
32.7588669,35.0228427,477.22,-0.07925,0.03075,0.99425,0.98,0.62,0.04,26390.0,18290.0,-33490.0
32.7588669,35.0228427,477.22,-0.07825,0.00975,1.01275,0.04,0.1,0.02,26390.0,18280.0,-33490.0
32.7588669,35.0228427,477.22,-0.079,0.03075,0.995,-0.68,-0.2,-0.08,26420.0,18290.0,-33480.0
32.7588669,35.0228427,477.22,-0.07075,0.04,0.97825,-0.04,-0.36,-0.06,26440.0,18280.0,-33480.0
32.7588669,35.0228427,477.22,-0.0585,0.01225,1.001,0.5,-0.4,-0.12,26500.0,18360.0,-33480.0
32.7588669,35.0228427,477.22,-0.06125,0.01625,1.00375,-0.04,-0.24,0.02,26460.0,18320.0,-33480.0
32.7588669,35.0228427,477.22,-0.07525,0.045,0.98975,-0.14,0.28,0.0,26400.0,18280.0,-33480.0
32.7588669,35.0228427,477.22,-0.07775,0.029,0.99625,0.18,0.52,0.1,26410.0,18260.0,-33480.0
32.7588669,35.0228427,477.22,-0.0775,0.00475,1.00375,0.04,0.2,0.08,26470.0,18330.0,-33480.0
32.7588669,35.0228427,477.22,-0.07925,0.03425,0.987,-0.04,-0.2,0.04,26480.0,18360.0,-33480.0
32.7588669,35.0228427,477.22,-0.0755,0.05825,0.98225,0.64,-0.2,0.02,26490.0,18370.0,-33480.0
32.7588669,35.0228427,477.22,-0.065,0.0245,1.004,0.38,-0.32,0.04,26490.0,18320.0,-33480.0
32.7588669,35.0228427,477.22,-0.06875,0.01325,1.005,-0.56,0.04,0.02,26480.0,18300.0,-33480.0
32.7588669,35.0228427,477.22,-0.08125,0.05125,0.97975,-0.12,0.52,0.1,26470.0,18290.0,-33480.0
32.7588669,35.0228427,477.22,-0.0825,0.052,0.988,0.92,0.74,0.06,26490.0,18350.0,-33490.0
32.7588669,35.0228427,477.22,-0.08125,0.01925,1.0125,0.42,0.2,0.1,26530.0,18450.0,-33490.0
32.7588669,35.0228427,477.22,-0.0865,0.0285,0.99925,-0.7,-0.08,0.04,26450.0,18370.0,-33490.0
32.7588669,35.0228427,477.22,-0.084,0.04675,0.979,-0.22,-0.06,0.02,26420.0,18320.0,-33490.0
32.7588669,35.0228427,477.22,-0.0715,0.02025,0.997,0.62,-0.24,-0.04,26410.0,18300.0,-33490.0
32.7588669,35.0228427,477.22,-0.07175,0.011,1.0105,0.32,-0.36,0.0,26390.0,18290.0,-33490.0
32.7588669,35.0228427,477.22,-0.0825,0.042,0.9925,-0.06,0.0,0.0,26380.0,18280.0,-33490.0
32.7588669,35.0228427,477.22,-0.08475,0.03325,0.9925,0.2,0.38,0.02,26400.0,18270.0,-33490.0
32.7588669,35.0228427,477.22,-0.08375,0.00125,1.01075,0.04,0.14,-0.02,26360.0,18250.0,-33490.0
32.7588669,35.0228427,477.22,-0.0865,0.01875,0.992,-0.02,-0.26,0.02,26370.0,18180.0,-33480.0
32.7588669,35.0228427,477.22,-0.0835,0.048,0.983,0.56,-0.32,0.08,26420.0,17990.0,-33480.0
32.7588669,35.0228427,477.22,-0.07125,0.022,1.0035,0.64,-0.54,0.08,26410.0,17840.0,-33480.0
32.7588669,35.0228427,477.22,-0.07,0.0025,1.01075,-0.3,-0.54,-0.04,26430.0,17740.0,-33480.0
32.7588669,35.0228427,477.22,-0.07725,0.03375,0.9855,-0.3,-0.06,0.0,26470.0,17680.0,-33480.0
32.7588669,35.0228427,477.22,-0.0785,0.04075,0.984,0.84,0.32,0.08,26470.0,17670.0,-33480.0
32.7588669,35.0228427,477.22,-0.07675,0.01025,1.00775,0.64,0.06,0.06,26450.0,17780.0,-33480.0
32.7588669,35.0228427,477.22,-0.0805,0.012,1.00325,-0.42,-0.26,0.08,26440.0,18010.0,-33480.0
32.7588669,35.0228427,477.22,-0.0805,0.038,0.9815,-0.32,-0.34,0.0,26410.0,18110.0,-33480.0
32.7588669,35.0228427,477.22,-0.06775,0.024,0.9835,0.62,-0.54,0.0,26370.0,18130.0,-33480.0
32.7588669,35.0228427,477.22,-0.06175,0.01075,1.00325,0.42,-0.76,0.02,26340.0,18130.0,-33480.0
32.7588669,35.0228427,477.22,-0.0705,0.03725,0.99675,0.0,-0.26,-0.02,26420.0,18280.0,-33490.0
32.7588669,35.0228427,477.22,-0.07725,0.04075,0.988,0.12,0.46,0.1,26440.0,18320.0,-33490.0
32.7588669,35.0228427,477.22,-0.07475,0.00825,1.0005,-0.04,0.5,0.1,26420.0,18250.0,-33490.0
32.7588669,35.0228427,477.22,-0.07725,0.01675,0.9935,-0.1,0.22,-0.04,26410.0,18210.0,-33480.0
