Lat_GNSS,Long_GNSS,Height_GNSS,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magn_X,Magn_Y,Magn_Z
32.7588732,35.0228385,477.49,-0.08175,0.039,1.00025,1.04,0.86,0.06,28770.0,14090.0,-33690.0
32.7588732,35.0228385,477.49,-0.08075,0.036,1.00475,-0.04,-0.06,0.08,28740.0,14060.0,-33690.0
32.7588732,35.0228385,477.49,-0.0735,0.05975,0.98025,-0.5,-0.72,-0.1,28730.0,14030.0,-33680.0
32.7588732,35.0228385,477.49,-0.06275,0.05075,0.98125,0.1,-0.86,-0.12,28730.0,14020.0,-33680.0
32.7588732,35.0228385,477.49,-0.05675,0.0285,1.00075,0.24,-0.38,-0.08,28750.0,14070.0,-33690.0
32.7588732,35.0228385,477.49,-0.06225,0.04075,0.9935,-0.22,0.02,0.06,28760.0,14110.0,-33690.0
32.7588732,35.0228385,477.49,-0.07475,0.05225,0.9935,-0.14,0.52,0.08,28750.0,14080.0,-33690.0
32.7588732,35.0228385,477.49,-0.07925,0.02975,0.997,-0.06,0.44,0.06,28750.0,14060.0,-33690.0
32.7588732,35.0228385,477.49,-0.0745,0.017,0.9995,-0.28,-0.1,0.06,28710.0,14060.0,-33690.0
32.7588732,35.0228386,477.49,-0.0705,0.04175,0.99225,-0.12,-0.62,0.0,28780.0,14200.0,-33700.0
32.7588732,35.0228386,477.49,-0.06575,0.05075,0.9885,0.44,-0.46,-0.14,28790.0,14190.0,-33700.0
32.7588732,35.0228386,477.49,-0.05725,0.02475,1.00475,0.04,-0.24,-0.04,28770.0,14120.0,-33690.0
32.7588732,35.0228386,477.49,-0.06025,0.0175,1.00775,-0.58,0.2,-0.02,28760.0,14060.0,-33690.0
32.7588732,35.0228386,477.49,-0.07125,0.048,0.9845,-0.12,0.5,0.04,28750.0,14010.0,-33680.0
32.7588732,35.0228386,477.49,-0.07525,0.046,0.99475,0.74,0.64,-0.02,28720.0,14000.0,-33690.0
32.7588732,35.0228386,477.49,-0.07325,0.01175,1.021,-0.02,0.06,0.08,28650.0,13950.0,-33690.0
32.7588732,35.0228386,477.49,-0.07025,0.01475,1.00025,-0.92,-0.38,-0.06,28690.0,13970.0,-33690.0
32.7588732,35.0228386,477.49,-0.07225,0.0335,0.99225,-0.16,-0.14,-0.06,28690.0,13930.0,-33680.0
32.7588732,35.0228386,477.49,-0.062,0.011,0.9985,0.7,-0.16,0.06,28700.0,13970.0,-33680.0
32.7588732,35.0228386,477.49,-0.05925,0.0,1.02575,0.26,-0.12,0.08,28700.0,14030.0,-33690.0
32.7588732,35.0228386,477.49,-0.06775,0.03025,0.98825,-0.3,-0.08,0.0,28680.0,13990.0,-33690.0
32.7588732,35.0228386,477.49,-0.074,0.035,0.99875,0.22,0.44,0.02,28640.0,13970.0,-33690.0
32.7588732,35.0228386,477.49,-0.073,0.00425,1.006,0.32,0.32,0.14,28670.0,14020.0,-33690.0
32.7588732,35.0228386,477.49,-0.073,0.016,0.99325,0.0,0.06,0.02,28650.0,13970.0,-33690.0
32.7588732,35.0228386,477.49,-0.07525,0.056,0.97775,0.32,-0.26,0.08,28650.0,13980.0,-33690.0
32.7588732,35.0228386,477.49,-0.06975,0.0475,0.99075,0.64,-0.18,-0.04,28690.0,14020.0,-33690.0
32.7588732,35.0228386,477.49,-0.06675,0.01975,0.996,-0.24,-0.1,0.0,28720.0,13990.0,-33690.0
32.7588732,35.0228386,477.49,-0.0685,0.036,0.986,-0.7,-0.06,0.04,28700.0,13960.0,-33690.0
32.7588732,35.0228386,477.49,-0.07475,0.0495,0.976,0.18,0.3,0.02,28680.0,13970.0,-33690.0
32.7588732,35.0228385,477.49,-0.07325,0.0255,0.9935,0.58,0.2,0.0,28730.0,14070.0,-33690.0
32.7588732,35.0228385,477.49,-0.07125,0.01425,1.0105,-0.32,-0.08,0.1,28710.0,14020.0,-33690.0
32.7588732,35.0228385,477.49,-0.0725,0.0355,0.97675,-0.46,-0.22,-0.02,28700.0,13960.0,-33690.0
32.7588732,35.0228385,477.49,-0.066,0.02975,0.9935,0.32,-0.14,-0.1,28750.0,14010.0,-33690.0
32.7588732,35.0228385,477.49,-0.061,0.0115,1.00725,0.58,-0.2,0.0,28700.0,14020.0,-33690.0
32.7588732,35.0228385,477.49,-0.06175,0.0225,0.999,0.08,-0.06,0.02,28720.0,14000.0,-33690.0
32.7588732,35.0228385,477.49,-0.06775,0.037,1.00275,0.16,0.26,0.02,28730.0,13950.0,-33680.0
32.7588732,35.0228385,477.49,-0.0695,0.0265,1.00325,0.52,0.38,0.0,28720.0,13950.0,-33680.0
32.7588732,35.0228385,477.49,-0.07225,0.0255,0.996,0.38,0.2,0.06,28700.0,13910.0,-33680.0
32.7588732,35.0228385,477.49,-0.07025,0.05475,0.9955,0.34,-0.08,0.0,28700.0,13970.0,-33680.0
32.7588732,35.0228385,477.49,-0.0695,0.0655,0.9945,0.56,-0.14,0.0,28720.0,14020.0,-33690.0
32.7588732,35.0228385,477.49,-0.0665,0.04075,0.996,0.08,-0.16,0.0,28770.0,14030.0,-33690.0
32.7588732,35.0228385,477.49,-0.065,0.0345,1.00525,-0.6,-0.06,0.08,28750.0,14000.0,-33680.0
32.7588732,35.0228385,477.49,-0.06725,0.056,0.9845,-0.08,0.04,0.08,28740.0,13900.0,-33680.0
32.7588732,35.0228385,477.49,-0.07025,0.049,0.996,0.6,0.16,-0.02,28770.0,13630.0,-33670.0
32.7588732,35.0228385,477.49,-0.06975,0.024,1.01525,-0.02,0.0,0.1,28820.0,13500.0,-33660.0
32.7588732,35.0228385,477.49,-0.06925,0.0265,1.00275,-0.76,-0.04,0.02,28830.0,13500.0,-33670.0
32.7588732,35.0228385,477.49,-0.0715,0.03425,0.994,-0.2,-0.02,0.04,28840.0,13430.0,-33660.0
32.7588732,35.0228385,477.49,-0.066,0.0165,1.0055,0.6,0.0,0.0,28850.0,13370.0,-33660.0
32.7588732,35.0228385,477.49,-0.06025,0.01175,1.01075,0.3,-0.22,0.02,28860.0,13520.0,-33660.0
