Lat_GNSS,Long_GNSS,Height_GNSS,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magn_X,Magn_Y,Magn_Z
32.7643188,35.0164557,482.31,-0.0755,-0.014,1.00175,-0.38,0.02,-0.04,35400.0,-1490.0,-31190.0
32.7643188,35.0164557,482.31,-0.0665,-0.01925,0.99875,0.3,-0.3,0.02,35410.0,-1580.0,-31170.0
32.7643188,35.0164557,482.31,-0.06075,-0.02025,1.0095,0.3,-0.58,0.06,35410.0,-1620.0,-31150.0
32.7643188,35.0164557,482.31,-0.0635,-0.00975,1.0065,0.02,-0.34,-0.04,35420.0,-1660.0,-31140.0
32.7643188,35.0164557,482.31,-0.0695,-0.013,1.00875,0.02,0.36,-0.04,35370.0,-1640.0,-31160.0
32.7643188,35.0164557,482.31,-0.07175,-0.02525,1.01075,0.22,0.62,0.04,35360.0,-1540.0,-31190.0
32.7643188,35.0164557,482.31,-0.075,-0.0165,1.0035,0.34,0.3,0.08,35390.0,-1550.0,-31180.0
32.7643188,35.0164557,482.31,-0.0775,0.003,1.00125,0.6,-0.08,-0.02,35370.0,-1550.0,-31180.0
32.7643188,35.0164557,482.3,-0.07,-0.00175,1.01,0.76,-0.3,-0.02,35330.0,-1490.0,-31200.0
32.7643188,35.0164557,482.3,-0.0635,-0.018,1.01075,0.22,-0.54,0.12,35350.0,-1430.0,-31220.0
32.7643188,35.0164557,482.3,-0.069,-0.0135,1.004,-0.06,-0.1,0.06,35410.0,-1520.0,-31190.0
32.7643188,35.0164557,482.3,-0.075,0.00225,0.9965,0.52,0.24,0.02,35450.0,-1570.0,-31170.0
32.7643188,35.0164557,482.3,-0.073,0.00125,1.0025,0.9,0.1,0.1,35430.0,-1600.0,-31170.0
32.7643188,35.0164557,482.3,-0.07375,-0.005,1.01425,0.24,-0.3,0.16,35410.0,-1650.0,-31160.0
32.7643188,35.0164557,482.3,-0.07825,-0.00075,1.00125,-0.22,-0.12,0.02,35370.0,-1690.0,-31160.0
32.7643188,35.0164557,482.3,-0.07325,0.0,0.9945,0.12,0.1,0.02,35410.0,-1700.0,-31150.0
32.7643188,35.0164557,482.3,-0.06325,-0.00575,1.003,0.52,-0.12,0.06,35420.0,-1730.0,-31140.0
32.7643188,35.0164557,482.3,-0.063,-0.00025,0.99975,0.28,-0.26,0.02,35370.0,-1740.0,-31140.0
32.7643188,35.0164557,482.3,-0.06575,0.007,0.9995,-0.04,0.02,0.0,35370.0,-1680.0,-31160.0
32.7643188,35.0164557,482.3,-0.0685,-0.002,1.00725,0.16,0.26,0.04,35420.0,-1690.0,-31150.0
32.7643188,35.0164557,482.3,-0.071,-0.01225,0.99825,0.24,0.26,0.06,35440.0,-1670.0,-31150.0
32.7643188,35.0164557,482.3,-0.07025,-0.00075,0.99775,0.16,-0.1,0.02,35440.0,-1680.0,-31150.0
32.7643188,35.0164557,482.3,-0.06725,0.015,1.00025,0.54,-0.18,0.0,35450.0,-1720.0,-31140.0
32.7643188,35.0164557,482.3,-0.05775,0.0035,0.997,0.4,-0.4,-0.02,35420.0,-1750.0,-31140.0
32.7643188,35.0164557,482.3,-0.05525,-0.0095,1.00975,-0.18,-0.32,-0.06,35410.0,-1680.0,-31160.0
32.7643188,35.0164557,482.3,-0.06175,0.005,0.991,-0.2,0.02,0.06,35450.0,-1690.0,-31150.0
