Lat_GNSS,Long_GNSS,Height_GNSS,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magn_X,Magn_Y,Magn_Z
32.7643189,35.0164451,482.05,-0.0655,0.003,1.0,0.78,0.5,0.1,32370.0,-4100.0,-32340.0
32.764319,35.0164451,482.04,-0.067,-0.012,1.00725,-0.14,0.12,0.04,32430.0,-4040.0,-32360.0
32.764319,35.0164451,482.04,-0.07075,0.005,0.993,-0.58,-0.1,-0.04,32410.0,-4060.0,-32350.0
32.764319,35.0164451,482.04,-0.06375,0.0075,0.98325,0.28,-0.12,-0.04,32390.0,-4090.0,-32330.0
32.764319,35.0164451,482.04,-0.05475,-0.00675,0.99725,0.76,-0.28,0.0,32320.0,-4110.0,-32340.0
32.764319,35.0164451,482.04,-0.0575,0.00425,1.00175,0.18,-0.18,-0.02,32330.0,-4110.0,-32330.0
32.764319,35.0164451,482.04,-0.0655,0.023,0.99225,-0.04,0.22,0.0,32350.0,-4110.0,-32330.0
32.764319,35.0164451,482.04,-0.06625,0.00675,0.99075,0.0,0.46,0.04,32340.0,-4130.0,-32310.0
32.764319,35.0164451,482.04,-0.06725,-0.00225,0.999,-0.16,0.2,0.02,32370.0,-4090.0,-32330.0
32.764319,35.0164451,482.04,-0.06825,0.0235,0.988,0.06,-0.26,-0.02,32370.0,-4110.0,-32310.0
32.764319,35.0164451,482.04,-0.0635,0.02925,0.988,0.24,-0.28,-0.08,32360.0,-4080.0,-32330.0
32.764319,35.0164451,482.04,-0.05575,-0.005,1.00425,-0.26,-0.36,-0.04,32390.0,-4080.0,-32330.0
32.764319,35.0164451,482.04,-0.05775,-0.017,1.0045,-0.92,-0.24,-0.02,32390.0,-4110.0,-32310.0
32.764319,35.0164451,482.04,-0.06575,0.005,0.98925,-0.16,0.32,-0.04,32400.0,-4300.0,-32280.0
32.764319,35.0164451,482.04,-0.066,0.00075,0.996,0.62,0.5,-0.02,32460.0,-4460.0,-32230.0
32.764319,35.0164451,482.04,-0.06525,-0.02425,1.021,0.2,0.08,0.08,32510.0,-4520.0,-32230.0
32.764319,35.0164451,482.04,-0.0685,-0.018,1.009,-0.72,-0.24,-0.04,32520.0,-4510.0,-32240.0
32.764319,35.0164451,482.04,-0.067,-0.00225,0.99125,-0.2,-0.22,0.02,32540.0,-4530.0,-32240.0
32.764319,35.0164451,482.04,-0.056,-0.01525,1.0,0.58,-0.2,0.08,32580.0,-4550.0,-32220.0
32.764319,35.0164451,482.04,-0.053,-0.0195,1.0115,0.32,-0.32,0.1,32530.0,-4400.0,-32240.0
32.764319,35.0164451,482.04,-0.0635,0.00375,1.00175,-0.26,0.04,0.02,32490.0,-4220.0,-32300.0
32.764319,35.0164451,482.04,-0.06725,0.001,0.994,-0.12,0.4,0.0,32470.0,-4080.0,-32330.0
32.764319,35.0164451,482.04,-0.06625,-0.02675,1.006,-0.1,0.32,0.12,32410.0,-4100.0,-32330.0
32.764319,35.0164451,482.04,-0.06975,-0.02025,1.0015,-0.16,-0.04,0.14,32410.0,-4090.0,-32320.0
32.764319,35.0164451,482.04,-0.07025,0.00925,0.985,0.22,-0.1,-0.04,32440.0,-4090.0,-32310.0
32.764319,35.0164451,482.04,-0.05875,-0.0105,1.00025,0.38,-0.26,0.0,32430.0,-4110.0,-32290.0
32.764319,35.0164451,482.04,-0.05675,-0.0415,1.014,-0.36,-0.3,0.04,32380.0,-4060.0,-32330.0
32.764319,35.0164451,482.04,-0.064,-0.02225,0.99025,-0.42,0.0,-0.02,32370.0,-4060.0,-32340.0
32.764319,35.0164451,482.04,-0.06725,-0.00475,0.98825,0.78,0.48,0.06,32390.0,-4070.0,-32330.0
32.764319,35.0164451,482.04,-0.068,-0.02225,1.00225,1.12,0.4,0.08,32410.0,-4090.0,-32310.0
32.764319,35.0164451,482.04,-0.07075,-0.02525,1.00925,0.1,-0.06,0.04,32430.0,-4070.0,-32320.0
32.764319,35.0164451,482.04,-0.0735,-0.00725,0.99275,-0.26,-0.22,0.0,32400.0,-4070.0,-32320.0
32.764319,35.0164451,482.04,-0.063,-0.012,0.98175,0.5,-0.3,-0.02,32360.0,-4100.0,-32320.0
32.764319,35.0164451,482.04,-0.0565,-0.02075,1.00375,0.84,-0.44,0.04,32380.0,-4110.0,-32310.0
32.764319,35.0164451,482.04,-0.06225,-0.00325,1.00025,0.56,-0.1,0.04,32410.0,-4100.0,-32320.0
32.764319,35.0164451,482.04,-0.069,0.00225,0.9945,0.36,0.3,0.02,32370.0,-4100.0,-32330.0
32.764319,35.0164451,482.04,-0.068,-0.02,1.007,0.24,0.48,0.12,32350.0,-4080.0,-32340.0
32.764319,35.0164451,482.04,-0.0705,-0.016,0.998,0.44,0.22,0.12,32390.0,-4060.0,-32350.0
32.764319,35.0164451,482.04,-0.07225,0.011,0.99075,0.78,0.08,-0.06,32390.0,-4090.0,-32330.0
32.764319,35.0164451,482.04,-0.063,0.0055,1.00425,0.9,-0.14,0.12,32420.0,-4140.0,-32300.0
32.764319,35.0164451,482.04,-0.056,-0.0165,1.008,0.3,-0.32,0.08,32440.0,-4100.0,-32320.0
32.764319,35.0164451,482.05,-0.06125,-0.00875,0.99875,0.16,-0.18,0.0,32470.0,-4010.0,-32360.0
32.764319,35.0164451,482.05,-0.06575,0.0075,0.99775,1.1,0.46,0.0,32480.0,-3990.0,-32380.0
32.764319,35.0164451,482.05,-0.06575,-0.00225,1.00625,1.34,0.7,0.12,32480.0,-3970.0,-32390.0
32.764319,35.0164451,482.05,-0.06875,-0.012,1.01825,0.4,0.3,0.16,32450.0,-4020.0,-32360.0
32.764319,35.0164451,482.05,-0.0725,-0.00375,1.0055,-0.18,0.02,0.06,32430.0,-4110.0,-32330.0
32.764319,35.0164451,482.05,-0.065,-0.0055,0.9975,0.56,-0.18,0.04,32430.0,-4140.0,-32310.0
32.764319,35.0164451,482.05,-0.0555,-0.0145,1.00775,1.08,-0.36,0.1,32420.0,-4130.0,-32310.0
32.764319,35.0164451,482.05,-0.05775,-0.005,1.0135,0.86,-0.28,0.1,32420.0,-4150.0,-32310.0
32.764319,35.0164451,482.05,-0.0665,0.00425,1.01,0.68,0.32,0.1,32440.0,-4170.0,-32300.0
32.764319,35.0164451,482.05,-0.0675,-0.01275,1.0075,0.72,0.66,0.16,32440.0,-4150.0,-32310.0
32.764319,35.0164451,482.05,-0.0715,-0.015,1.008,0.94,0.48,0.12,32370.0,-4140.0,-32330.0
32.764319,35.0164451,482.05,-0.07475,0.0095,0.99825,1.28,0.22,0.16,32390.0,-4160.0,-32320.0
32.764319,35.0164451,482.05,-0.06725,0.01225,1.0025,1.42,0.0,0.08,32420.0,-4160.0,-32310.0
32.764319,35.0164451,482.05,-0.05725,-0.00725,1.0075,0.76,-0.34,0.18,32450.0,-4180.0,-32290.0
32.764319,35.0164451,482.05,-0.06125,-0.00375,0.998,0.16,-0.18,0.1,32440.0,-4200.0,-32280.0
32.764319,35.0164451,482.05,-0.06975,0.0135,0.9865,0.74,0.52,0.1,32410.0,-4210.0,-32280.0
32.764319,35.0164451,482.05,-0.071,0.01175,0.99075,1.26,0.74,0.14,32370.0,-4170.0,-32310.0
32.764319,35.0164451,482.05,-0.076,0.007,1.003,0.58,0.32,0.24,32370.0,-4120.0,-32340.0
32.764319,35.0164451,482.05,-0.08075,0.0165,0.99025,-0.28,0.04,0.06,32390.0,-4140.0,-32320.0
32.764319,35.0164451,482.06,-0.075,0.01875,0.98125,-0.08,-0.12,0.0,32390.0,-4100.0,-32340.0
32.764319,35.0164451,482.06,-0.06025,0.01,0.98475,0.4,-0.36,0.08,32400.0,-4070.0,-32350.0
32.764319,35.0164451,482.06,-0.058,0.01725,0.99,0.2,-0.5,0.0,32420.0,-4130.0,-32320.0
32.764319,35.0164451,482.06,-0.06475,0.026,0.98975,-0.08,0.14,-0.06,32380.0,-4180.0,-32300.0
32.764319,35.0164451,482.06,-0.066,0.01,0.99225,-0.12,0.64,0.0,32350.0,-4200.0,-32290.0
32.764319,35.0164451,482.06,-0.068,0.00175,0.9915,-0.18,0.46,0.04,32390.0,-4170.0,-32300.0
32.764319,35.0164451,482.06,-0.07125,0.0195,0.98175,0.08,0.04,-0.06,32390.0,-4160.0,-32310.0
32.764319,35.0164451,482.06,-0.06575,0.0305,0.98425,0.44,-0.26,-0.14,32430.0,-4180.0,-32280.0
32.764319,35.0164451,482.06,-0.05025,0.015,0.99175,-0.02,-0.7,-0.08,32440.0,-4150.0,-32290.0
32.764319,35.0164451,482.06,-0.0475,0.00725,0.99075,-0.7,-0.64,-0.12,32420.0,-4150.0,-32300.0
32.764319,35.0164451,482.06,-0.05375,0.02125,0.979,-0.48,0.04,-0.14,32410.0,-4150.0,-32310.0
32.764319,35.0164451,482.06,-0.05525,0.02975,0.978,0.3,0.68,-0.02,32470.0,-4140.0,-32290.0
32.764319,35.0164451,482.06,-0.0575,0.0285,0.98625,0.08,0.58,0.06,32460.0,-4180.0,-32280.0
32.764319,35.0164451,482.06,-0.061,0.035,0.98075,-0.84,0.06,-0.02,32450.0,-4170.0,-32280.0
32.764319,35.0164451,482.06,-0.061,0.039,0.97125,-1.22,-0.22,-0.22,32460.0,-4180.0,-32270.0
32.764319,35.0164451,482.06,-0.04575,0.03025,0.96625,-0.86,-0.48,-0.04,32470.0,-4190.0,-32260.0
32.764319,35.0164451,482.06,-0.03925,0.02675,0.97175,-0.68,-0.54,-0.06,32460.0,-4130.0,-32290.0
32.764319,35.0164451,482.06,-0.047,0.03825,0.9735,-0.96,-0.2,-0.02,32480.0,-4090.0,-32310.0
32.764319,35.0164451,482.06,-0.05425,0.03425,0.97,-1.24,0.46,-0.04,32480.0,-4080.0,-32320.0
32.764319,35.0164451,482.06,-0.054,0.01675,0.97725,-1.46,0.3,0.02,32470.0,-4090.0,-32320.0
32.764319,35.0164451,482.06,-0.05525,0.017,0.9715,-1.54,-0.16,-0.08,32490.0,-4080.0,-32320.0
32.764319,35.0164451,482.06,-0.05225,0.03,0.97025,-1.2,-0.4,-0.22,32470.0,-4040.0,-32340.0
32.764319,35.0164451,482.06,-0.042,0.0215,0.98275,-1.08,-0.42,-0.22,32420.0,-4090.0,-32330.0
32.764319,35.0164451,482.06,-0.03775,-0.00075,0.9855,-1.84,-0.36,-0.24,32420.0,-4110.0,-32310.0
32.764319,35.0164451,482.06,-0.0435,-0.00075,0.98525,-2.02,0.1,-0.22,32400.0,-4120.0,-32310.0
32.764319,35.0164451,482.06,-0.05,0.0075,0.97725,-1.14,0.44,-0.18,32380.0,-4100.0,-32320.0
32.764319,35.0164451,482.06,-0.0505,-0.0005,0.988,-0.68,0.32,-0.14,32390.0,-4110.0,-32320.0
32.764319,35.0164451,482.06,-0.05525,-0.01325,1.00425,-1.22,-0.14,-0.2,32390.0,-4120.0,-32310.0
32.764319,35.0164451,482.06,-0.0605,-0.01525,0.99275,-1.82,-0.12,-0.24,32340.0,-4100.0,-32320.0
32.764319,35.0164451,482.06,-0.05725,-0.0225,0.98825,-1.36,0.0,-0.28,32350.0,-4080.0,-32330.0
32.764319,35.0164451,482.06,-0.052,-0.033,0.9945,-0.8,-0.12,-0.18,32370.0,-4050.0,-32350.0
32.764319,35.0164451,482.06,-0.055,-0.028,0.99725,-0.8,-0.16,-0.14,32380.0,-3990.0,-32370.0
32.764319,35.0164451,482.06,-0.06375,-0.027,1.0025,-1.02,0.16,-0.16,32380.0,-4050.0,-32340.0
32.764319,35.0164451,482.06,-0.0655,-0.04625,1.0085,-1.2,0.4,-0.06,32350.0,-4050.0,-32340.0
32.764319,35.0164451,482.06,-0.07075,-0.055,1.002,-1.12,0.36,-0.02,32320.0,-4090.0,-32330.0
32.764319,35.0164451,482.06,-0.0765,-0.041,1.00075,-0.6,0.12,0.0,32360.0,-4070.0,-32330.0
32.764319,35.0164451,482.06,-0.07425,-0.03875,1.00775,-0.06,0.04,-0.04,32400.0,-4050.0,-32320.0
32.764319,35.0164451,482.06,-0.06675,-0.05825,1.0115,-0.4,-0.24,0.0,32380.0,-4030.0,-32340.0
32.764319,35.0164451,482.06,-0.06825,-0.06125,1.01375,-0.74,-0.24,0.04,32360.0,-4020.0,-32350.0
32.764319,35.0164451,482.06,-0.07625,-0.04225,1.0005,0.0,0.16,0.04,32340.0,-4050.0,-32340.0
32.7643189,35.0164451,482.05,-0.077,-0.03875,1.00525,0.96,0.36,0.14,32350.0,-4010.0,-32360.0
32.7643189,35.0164451,482.05,-0.08,-0.04475,1.02125,0.56,0.04,0.26,32400.0,-3950.0,-32370.0
32.7643189,35.0164451,482.05,-0.08525,-0.0385,1.0145,-0.1,-0.1,0.14,32390.0,-4010.0,-32350.0
32.7643189,35.0164451,482.05,-0.08475,-0.03275,1.006,0.08,-0.1,0.08,32360.0,-4040.0,-32340.0
32.7643189,35.0164451,482.05,-0.075,-0.0365,1.00675,0.74,-0.2,0.16,32310.0,-4050.0,-32350.0
32.7643189,35.0164451,482.05,-0.072,-0.02875,1.015,0.9,-0.38,0.14,32330.0,-4080.0,-32330.0
32.7643189,35.0164451,482.05,-0.07675,-0.01275,1.012,0.6,-0.14,0.08,32370.0,-4100.0,-32320.0
32.7643189,35.0164451,482.05,-0.0775,-0.01575,1.0155,0.44,0.22,0.14,32350.0,-4100.0,-32320.0
32.7643189,35.0164451,482.05,-0.078,-0.02275,1.01,0.5,0.08,0.2,32360.0,-4090.0,-32330.0
32.7643189,35.0164451,482.05,-0.0815,-0.00925,1.0055,0.78,-0.2,0.12,32340.0,-4110.0,-32320.0
32.7643189,35.0164451,482.05,-0.0805,0.0115,1.00675,1.1,-0.24,0.08,32330.0,-4090.0,-32330.0
32.7643189,35.0164451,482.05,-0.06825,0.006,1.008,1.04,-0.4,0.04,32390.0,-4040.0,-32350.0
32.7643189,35.0164451,482.05,-0.0625,-0.00275,1.01475,0.4,-0.4,0.0,32390.0,-4090.0,-32330.0
32.7643189,35.0164451,482.05,-0.06775,0.0125,0.9985,0.3,-0.04,-0.02,32360.0,-4110.0,-32330.0
32.7643189,35.0164451,482.05,-0.06875,0.028,0.9935,0.92,0.32,0.02,32370.0,-4140.0,-32310.0
32.7643189,35.0164451,482.05,-0.065,0.02125,1.007,0.96,0.18,0.06,32390.0,-4120.0,-32310.0
32.7643189,35.0164451,482.05,-0.0695,0.01625,1.00825,0.1,-0.1,0.06,32370.0,-4110.0,-32320.0
32.7643189,35.0164451,482.05,-0.0715,0.02625,0.99175,-0.34,-0.22,-0.1,32380.0,-4100.0,-32340.0
32.7643189,35.0164451,482.05,-0.061,0.02525,0.99625,0.22,-0.28,-0.02,32410.0,-4130.0,-32310.0
32.7643189,35.0164451,482.05,-0.0545,0.01875,0.99675,0.46,-0.48,0.0,32440.0,-4310.0,-32280.0
32.7643189,35.0164451,482.05,-0.05175,0.02225,0.9975,0.02,-0.5,0.0,32490.0,-4420.0,-32270.0
