Lat_GNSS,Long_GNSS,Height_GNSS,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magn_X,Magn_Y,Magn_Z
32.7643175,35.0164517,483.05,-0.07075,0.003,0.98825,0.16,0.0,0.04,32210.0,-4320.0,-32540.0
32.7643175,35.0164517,483.05,-0.0585,0.013,0.98575,0.94,-0.42,0.04,32130.0,-4160.0,-32600.0
32.7643175,35.0164517,483.05,-0.0465,-0.01325,1.01375,0.06,-0.74,-0.02,32110.0,-4060.0,-32630.0
32.7643175,35.0164517,483.05,-0.05125,-0.018,1.0025,-0.96,-0.44,-0.1,32080.0,-4070.0,-32620.0
32.7643175,35.0164517,483.05,-0.062,0.00025,0.985,-0.32,0.56,-0.02,32080.0,-4010.0,-32640.0
32.7643175,35.0164517,483.05,-0.0615,-0.00175,0.992,0.86,1.1,0.1,32080.0,-3980.0,-32650.0
32.7643175,35.0164517,483.05,-0.0665,-0.008,1.009,0.64,0.52,0.1,32080.0,-3920.0,-32680.0
32.7643175,35.0164517,483.05,-0.07075,0.0045,1.0035,-0.5,-0.16,-0.04,32060.0,-3970.0,-32640.0
32.7643175,35.0164517,483.05,-0.06375,0.00625,0.986,-0.58,-0.5,-0.04,32070.0,-3990.0,-32630.0
32.7643175,35.0164517,483.05,-0.05,-0.0175,0.9945,0.0,-0.62,-0.02,32100.0,-4020.0,-32610.0
32.7643175,35.0164517,483.05,-0.0475,-0.01425,0.99725,0.18,-0.36,0.0,32080.0,-4030.0,-32610.0
32.7643175,35.0164517,483.05,-0.06025,0.01325,0.9925,0.32,0.28,-0.02,32020.0,-4050.0,-32610.0
32.7643175,35.0164517,483.05,-0.062,0.002,1.0005,-0.08,0.76,0.1,32030.0,-4050.0,-32610.0
32.7643175,35.0164517,483.05,-0.06425,-0.02475,1.00425,-0.6,0.42,0.06,32070.0,-4040.0,-32600.0
32.7643175,35.0164517,483.05,-0.07025,-0.0135,0.99375,-0.42,-0.04,-0.06,32100.0,-4010.0,-32610.0
32.7643175,35.0164517,483.05,-0.06475,0.0135,0.985,0.54,-0.34,-0.08,32110.0,-3960.0,-32630.0
32.7643175,35.0164517,483.05,-0.0505,0.0015,0.99825,0.62,-0.62,0.02,32100.0,-3940.0,-32640.0
32.7643175,35.0164517,483.05,-0.046,-0.0225,1.01525,-0.58,-0.56,-0.04,32080.0,-3990.0,-32620.0
32.7643175,35.0164517,483.05,-0.057,-0.01,0.989,-0.98,0.12,-0.02,32060.0,-4040.0,-32600.0
32.7643175,35.0164517,483.05,-0.06375,0.0,0.98625,0.26,0.84,0.02,32060.0,-4060.0,-32600.0
32.7643175,35.0164517,483.05,-0.063,-0.01025,1.00025,0.84,0.68,0.12,32020.0,-4010.0,-32630.0
32.7643175,35.0164517,483.05,-0.06925,-0.00375,1.0075,0.08,0.06,0.02,32000.0,-3990.0,-32640.0
32.7643175,35.0164517,483.05,-0.06975,0.01025,0.99425,-0.66,-0.34,-0.08,32040.0,-3950.0,-32660.0
32.7643175,35.0164517,483.05,-0.0555,-0.001,0.984,-0.36,-0.52,-0.06,32020.0,-3940.0,-32670.0
32.7643175,35.0164517,483.05,-0.04775,-0.0185,0.99775,0.0,-0.48,-0.08,32020.0,-4010.0,-32630.0
32.7643175,35.0164517,483.05,-0.05225,0.00575,0.99025,0.18,-0.08,-0.04,32020.0,-3990.0,-32640.0
32.7643175,35.0164517,483.05,-0.0615,0.0215,0.99,0.1,0.6,0.06,32020.0,-3930.0,-32680.0
32.7643175,35.0164517,483.05,-0.06175,-0.0035,1.00125,-0.44,0.66,0.08,32000.0,-3990.0,-32650.0
32.7643175,35.0164517,483.05,-0.07,-0.012,0.986,-0.92,0.24,0.12,32030.0,-4040.0,-32620.0
32.7643175,35.0164517,483.05,-0.074,0.0145,0.9845,-0.32,-0.1,0.0,32020.0,-4060.0,-32620.0
32.7643175,35.0164517,483.05,-0.06475,0.02075,0.98,0.42,-0.42,0.08,31960.0,-4080.0,-32620.0
32.7643175,35.0164517,483.05,-0.04625,0.0005,0.99575,-0.22,-0.88,0.16,31980.0,-4090.0,-32610.0
32.7643175,35.0164517,483.05,-0.0475,-0.00225,0.9945,-1.34,-0.78,-0.1,32010.0,-4110.0,-32600.0
32.7643175,35.0164517,483.05,-0.054,0.013,0.978,-0.82,0.16,-0.2,32020.0,-4080.0,-32620.0
32.7643175,35.0164517,483.05,-0.0575,0.00925,0.98475,0.1,0.76,0.0,32010.0,-4070.0,-32630.0
32.7643175,35.0164517,483.05,-0.0595,0.00725,0.99875,-0.1,0.56,0.02,32010.0,-4020.0,-32650.0
32.7643175,35.0164517,483.05,-0.06625,0.02175,0.993,-1.02,-0.06,-0.12,31980.0,-4050.0,-32640.0
32.7643175,35.0164517,483.05,-0.05875,0.018,0.981,-1.2,-0.42,-0.18,31980.0,-4090.0,-32620.0
32.7643175,35.0164517,483.05,-0.0435,0.0055,0.98175,-0.86,-0.86,-0.14,31980.0,-4100.0,-32610.0
32.7643175,35.0164517,483.05,-0.04125,0.01175,0.982,-0.74,-0.6,-0.22,31970.0,-4110.0,-32620.0
32.7643175,35.0164517,483.05,-0.04775,0.02725,0.98725,-0.68,0.02,-0.22,31990.0,-4120.0,-32610.0
32.7643175,35.0164517,483.05,-0.053,0.01325,0.987,-1.1,0.6,-0.1,31970.0,-4090.0,-32630.0
32.7643175,35.0164517,483.05,-0.054,-0.0055,0.9915,-1.64,0.34,-0.04,31930.0,-4060.0,-32660.0
32.7643175,35.0164517,483.05,-0.06275,0.0065,0.97925,-1.36,0.02,-0.14,31910.0,-4060.0,-32670.0
32.7643175,35.0164517,483.05,-0.059,0.016,0.983,-0.64,-0.32,-0.22,31910.0,-4050.0,-32670.0
