,Time_Sample [sec],Lat_GNSS [deg],Long_GNSS [deg],Height_GNSS [m],Acc_X [g],Acc_Y [g],Acc_Z [g],Gyro_X [dps],Gyro_Y [dps],Gyro_Z [dps],Magn_X [nT],Magn_Y [nT],Magn_Z [nT]
0,0.0,32.7588686,35.0228552,477.51,-0.0625,0.0545,0.98475,0.02,0.34,0.0,23890.0,15050.0,-33820.0
1,0.01,32.7588686,35.0228552,477.51,-0.0565,0.03625,0.9925,-0.24,-0.36,0.0,23910.0,15070.0,-33860.0
2,0.02,32.7588686,35.0228552,477.52,-0.05725,0.05025,1.0,0.06,-0.3,0.08,23920.0,15120.0,-33910.0
3,0.03,32.7588686,35.0228552,477.52,-0.06775,0.06425,0.99075,0.26,0.52,0.08,23870.0,15240.0,-33920.0
4,0.04,32.7588686,35.0228552,477.52,-0.071,0.04175,0.98525,-0.16,0.28,0.02,23860.0,15230.0,-33900.0
5,0.05,32.7588686,35.0228552,477.52,-0.0655,0.03175,0.99875,-0.18,-0.6,-0.04,23860.0,15160.0,-33870.0
6,0.06,32.7588686,35.0228552,477.52,-0.0615,0.061,1.00325,0.3,-0.22,-0.04,23840.0,15130.0,-33840.0
7,0.07,32.7588686,35.0228552,477.52,-0.0615,0.06975,0.99,0.18,0.5,0.02,23880.0,15090.0,-33830.0
8,0.08,32.7588686,35.0228552,477.52,-0.058,0.04,0.9895,-0.3,0.0,0.02,23890.0,15080.0,-33820.0
9,0.09,32.7588686,35.0228552,477.52,-0.0565,0.0365,1.0,-0.02,-0.4,0.0,23860.0,15110.0,-33820.0
10,0.1,32.7588686,35.0228552,477.52,-0.06525,0.06375,1.0005,0.36,0.38,0.02,23880.0,15100.0,-33830.0
11,0.11,32.7588686,35.0228552,477.52,-0.0695,0.06175,0.99175,0.0,0.6,-0.04,23890.0,15080.0,-33850.0
12,0.12,32.7588686,35.0228552,477.52,-0.06725,0.0395,0.9975,-0.34,-0.28,0.06,23860.0,15170.0,-33830.0
13,0.13,32.7588686,35.0228552,477.52,-0.0635,0.04825,1.0015,0.08,-0.36,0.06,23850.0,15180.0,-33830.0
