,Time_Sample [sec],Lat_GNSS [deg],Long_GNSS [deg],Height_GNSS [m],Acc_X [g],Acc_Y [g],Acc_Z [g],Gyro_X [dps],Gyro_Y [dps],Gyro_Z [dps],Magn_X [nT],Magn_Y [nT],Magn_Z [nT]
0,0.0,32.7588757,35.0228402,478.99,-0.0555,0.026,1.0055,-0.06,-0.46,0.0,22270.0,17640.0,-34420.0
1,0.01,32.7588757,35.0228402,478.99,-0.05375,0.0545,1.00975,0.58,-0.16,0.06,22280.0,17620.0,-34420.0
2,0.02,32.7588757,35.0228402,478.99,-0.054,0.07175,0.98825,0.12,0.44,0.06,22270.0,17640.0,-34420.0
3,0.03,32.7588757,35.0228402,478.99,-0.0495,0.0465,0.98625,-0.36,-0.16,-0.04,22270.0,17590.0,-34420.0
4,0.04,32.7588757,35.0228402,478.99,-0.04375,0.0355,1.0015,-0.02,-0.46,0.0,22290.0,17580.0,-34420.0
5,0.05,32.7588757,35.0228402,478.99,-0.051,0.0585,0.995,0.32,0.28,0.06,22270.0,17630.0,-34420.0
6,0.06,32.7588757,35.0228402,478.99,-0.0575,0.05975,0.98725,-0.04,0.44,-0.04,22370.0,17690.0,-34390.0
7,0.07,32.7588757,35.0228402,478.99,-0.056,0.0405,0.9995,-0.24,-0.34,-0.04,22410.0,17600.0,-34390.0
8,0.08,32.7588757,35.0228402,478.99,-0.053,0.047,1.0045,0.02,-0.36,0.0,22440.0,17590.0,-34390.0
9,0.09,32.7588757,35.0228402,478.99,-0.056,0.05975,0.98825,0.12,0.3,0.04,22550.0,17660.0,-34370.0
10,0.1,32.7588757,35.0228402,478.99,-0.0505,0.043,0.985,-0.34,-0.04,0.04,22480.0,17660.0,-34380.0
11,0.11,32.7588757,35.0228402,478.99,-0.042,0.03325,1.00075,-0.08,-0.6,0.02,22340.0,17620.0,-34400.0
12,0.12,32.7588757,35.0228402,478.99,-0.04625,0.0555,1.001,0.24,-0.02,0.0,22280.0,17590.0,-34410.0
13,0.13,32.7588757,35.0228402,478.99,-0.056,0.05825,0.986,-0.06,0.58,0.04,22290.0,17550.0,-34410.0
14,0.14,32.7588757,35.0228402,478.99,-0.05675,0.02775,0.99325,-0.44,-0.12,0.0,22260.0,17530.0,-34420.0
15,0.15,32.7588757,35.0228402,478.99,-0.052,0.02925,1.01175,0.06,-0.52,-0.04,22270.0,17500.0,-34420.0
16,0.16,32.7588757,35.0228402,478.99,-0.0525,0.062,1.0015,0.36,0.12,0.08,22320.0,17480.0,-34420.0
17,0.17,32.7588757,35.0228402,478.99,-0.04875,0.056,0.9845,-0.24,0.2,0.02,22330.0,17480.0,-34410.0
18,0.18,32.7588757,35.0228402,478.99,-0.04275,0.02525,0.9985,-0.38,-0.44,0.0,22330.0,17520.0,-34410.0
19,0.19,32.7588757,35.0228402,478.99,-0.04475,0.03625,1.00825,0.1,-0.12,0.04,22350.0,17570.0,-34400.0
20,0.2,32.7588757,35.0228402,478.99,-0.05525,0.05725,0.99275,0.22,0.58,0.0,22290.0,17520.0,-34410.0
21,0.21,32.7588757,35.0228402,478.99,-0.057,0.04025,0.99025,-0.3,0.08,0.0,22310.0,17510.0,-34410.0
22,0.22,32.7588757,35.0228402,478.99,-0.0535,0.0295,1.00925,-0.1,-0.5,-0.02,22320.0,17500.0,-34410.0
23,0.23,32.7588757,35.0228402,478.99,-0.0545,0.0505,1.0035,0.26,0.06,0.08,22340.0,17520.0,-34400.0
24,0.24,32.7588757,35.0228402,478.99,-0.05375,0.04875,0.984,-0.12,0.34,0.0,22290.0,17540.0,-34410.0
25,0.25,32.7588757,35.0228402,478.99,-0.04475,0.02525,0.994,-0.3,-0.46,-0.02,22290.0,17530.0,-34410.0
26,0.26,32.7588757,35.0228402,478.99,-0.04125,0.0375,1.00775,0.26,-0.36,0.0,22290.0,17510.0,-34410.0
27,0.27,32.7588757,35.0228402,478.99,-0.0515,0.0605,0.9935,0.2,0.58,0.0,22360.0,17600.0,-34400.0
28,0.28,32.7588758,35.0228402,478.98,-0.05825,0.03825,0.9845,-0.36,0.34,0.04,22420.0,17650.0,-34380.0
29,0.29,32.7588758,35.0228402,478.98,-0.05475,0.019,1.005,-0.06,-0.52,0.0,22480.0,17700.0,-34370.0
30,0.3,32.7588758,35.0228402,478.98,-0.05175,0.0475,1.00775,0.48,-0.14,0.0,22480.0,17700.0,-34370.0
31,0.31,32.7588758,35.0228402,478.98,-0.052,0.066,0.98775,0.12,0.36,-0.02,22480.0,17690.0,-34370.0
32,0.32,32.7588758,35.0228402,478.98,-0.046,0.0375,0.987,-0.44,-0.2,0.0,22370.0,17600.0,-34390.0
33,0.33,32.7588758,35.0228402,478.98,-0.042,0.0265,1.0025,-0.02,-0.52,0.02,22270.0,17630.0,-34410.0
34,0.34,32.7588758,35.0228402,478.98,-0.0505,0.05325,0.99775,0.34,0.36,0.02,22210.0,17640.0,-34410.0
35,0.35000000000000003,32.7588758,35.0228402,478.98,-0.057,0.05525,0.98675,-0.02,0.48,0.02,22230.0,17600.0,-34420.0
36,0.36,32.7588758,35.0228402,478.98,-0.0545,0.0345,0.99975,-0.26,-0.42,0.0,22190.0,17600.0,-34420.0
37,0.37,32.7588758,35.0228402,478.98,-0.0505,0.04325,1.00775,0.18,-0.28,0.02,22170.0,17580.0,-34420.0
38,0.38,32.7588758,35.0228402,478.98,-0.05275,0.05975,0.99025,0.16,0.36,0.08,22230.0,17600.0,-34420.0
39,0.39,32.7588758,35.0228402,478.98,-0.0485,0.04125,0.98625,-0.3,0.0,0.0,22330.0,17710.0,-34400.0
40,0.4,32.7588758,35.0228402,478.98,-0.0415,0.03125,1.004,-0.08,-0.54,0.02,22290.0,17620.0,-34410.0
41,0.41000000000000003,32.7588758,35.0228402,478.98,-0.04675,0.05875,1.0025,0.36,0.16,0.06,22260.0,17560.0,-34420.0
42,0.42,32.7588758,35.0228402,478.98,-0.0585,0.061,0.98625,-0.12,0.68,0.0,22250.0,17560.0,-34420.0
43,0.43,32.7588758,35.0228402,478.98,-0.0585,0.02875,0.995,-0.4,-0.16,0.04,22250.0,17620.0,-34420.0
44,0.44,32.7588758,35.0228402,478.98,-0.05225,0.03325,1.01225,0.22,-0.44,-0.02,22280.0,17670.0,-34410.0
45,0.45,32.7588758,35.0228402,478.98,-0.0535,0.06775,0.99875,0.44,0.32,0.02,22310.0,17680.0,-34410.0
46,0.46,32.7588758,35.0228402,478.98,-0.05125,0.0575,0.983,-0.32,0.28,-0.02,22300.0,17640.0,-34410.0
47,0.47000000000000003,32.7588758,35.0228402,478.98,-0.045,0.027,0.9985,-0.38,-0.52,-0.02,22320.0,17640.0,-34410.0
48,0.48,32.7588757,35.0228402,478.98,-0.0465,0.0425,1.00475,0.3,-0.06,0.04,22350.0,17700.0,-34400.0
49,0.49,32.7588757,35.0228402,478.98,-0.058,0.06275,0.98875,0.14,0.68,-0.04,22400.0,17720.0,-34390.0
50,0.5,32.7588757,35.0228402,478.98,-0.0605,0.0425,0.99075,-0.38,0.02,-0.04,22420.0,17610.0,-34390.0
51,0.51,32.7588757,35.0228402,478.98,-0.05475,0.03125,1.00875,-0.1,-0.62,0.04,22390.0,17570.0,-34400.0
52,0.52,32.7588757,35.0228402,478.98,-0.055,0.0525,0.99925,0.24,0.08,0.02,22310.0,17600.0,-34410.0
53,0.53,32.7588757,35.0228402,478.98,-0.05425,0.0515,0.98275,-0.18,0.32,0.02,22290.0,17630.0,-34420.0
54,0.54,32.7588757,35.0228402,478.98,-0.044,0.0285,0.99525,-0.32,-0.6,0.02,22290.0,17620.0,-34420.0
55,0.55,32.7588757,35.0228402,478.98,-0.0395,0.04,1.00775,0.14,-0.52,0.02,22240.0,17650.0,-34420.0
56,0.56,32.7588757,35.0228402,478.98,-0.05075,0.06025,0.99225,0.12,0.54,-0.04,22270.0,17670.0,-34420.0
57,0.5700000000000001,32.7588757,35.0228402,478.98,-0.057,0.038,0.98375,-0.36,0.34,-0.02,22290.0,17640.0,-34420.0
58,0.58,32.7588757,35.0228402,478.98,-0.0535,0.01925,1.00675,-0.12,-0.58,0.0,22300.0,17730.0,-34410.0
59,0.59,32.7588757,35.0228402,478.98,-0.0505,0.0485,1.0115,0.34,-0.22,0.02,22340.0,17710.0,-34400.0
