Lat_GNSS,Long_GNSS,Height_GNSS,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magn_X,Magn_Y,Magn_Z
32.7643227,35.016463,483.48,-0.05925,0.02825,0.9925,0.12,0.7,-0.06,29310.0,-2460.0,-33320.0
32.7643227,35.016463,483.48,-0.06425,0.0025,0.989,-0.32,0.28,0.0,29330.0,-2450.0,-33310.0
32.7643227,35.016463,483.48,-0.06,-0.007,1.004,-0.12,-0.62,-0.04,29320.0,-2420.0,-33310.0
32.7643227,35.016463,483.48,-0.057,0.02675,1.00375,0.34,-0.16,0.04,29300.0,-2390.0,-33320.0
32.7643227,35.016463,483.48,-0.0545,0.03325,0.98775,0.0,0.38,-0.04,29320.0,-2430.0,-33320.0
32.7643227,35.016463,483.48,-0.05225,-0.00275,0.9865,-0.54,-0.24,0.02,29320.0,-2460.0,-33320.0
32.7643227,35.016463,483.48,-0.051,-0.004,1.00075,-0.04,-0.42,-0.04,29280.0,-2410.0,-33320.0
32.7643227,35.016463,483.48,-0.05775,0.02825,1.00025,0.42,0.36,0.04,29290.0,-2390.0,-33310.0
32.7643227,35.016463,483.49,-0.06175,0.02175,0.99125,-0.18,0.44,-0.04,29300.0,-2400.0,-33320.0
32.7643227,35.016463,483.49,-0.0625,-0.004,0.9975,-0.38,-0.32,0.0,29300.0,-2420.0,-33320.0
32.7643227,35.016463,483.49,-0.06,0.011,1.00425,0.2,-0.2,0.02,29320.0,-2450.0,-33320.0
32.7643227,35.016463,483.49,-0.058,0.02775,0.9935,0.22,0.32,-0.02,29300.0,-2430.0,-33320.0
32.7643227,35.016463,483.49,-0.052,0.00575,0.98875,-0.42,-0.22,-0.02,29310.0,-2410.0,-33320.0
32.7643227,35.016463,483.49,-0.0485,-0.0005,1.00275,-0.16,-0.68,0.06,29330.0,-2460.0,-33320.0
32.7643227,35.016463,483.49,-0.05725,0.02625,1.003,0.26,0.24,0.1,29360.0,-2510.0,-33320.0
32.7643227,35.016463,483.49,-0.0665,0.019,0.99025,-0.1,0.64,0.02,29300.0,-2410.0,-33320.0
32.7643227,35.016463,483.49,-0.06525,-0.009,0.996,-0.36,-0.32,0.02,29250.0,-2360.0,-33320.0
32.7643227,35.016463,483.49,-0.05725,0.00875,1.0105,0.2,-0.64,0.04,29290.0,-2370.0,-33310.0
32.7643227,35.016463,483.49,-0.05375,0.03825,1.00175,0.4,0.36,0.02,29300.0,-2340.0,-33320.0
32.7643227,35.016463,483.49,-0.05375,0.01475,0.98375,-0.28,0.48,-0.02,29280.0,-2360.0,-33330.0
32.7643227,35.016463,483.49,-0.0545,-0.01125,0.99725,-0.32,-0.6,0.12,29310.0,-2360.0,-33320.0
32.7643227,35.016463,483.49,-0.05725,0.01775,1.00975,0.44,-0.16,0.04,29280.0,-2330.0,-33320.0
32.7643227,35.016463,483.49,-0.0625,0.0365,0.998,0.22,0.7,0.02,29330.0,-2400.0,-33310.0
32.7643227,35.016463,483.49,-0.06675,0.00925,0.989,-0.42,0.2,0.0,29360.0,-2440.0,-33320.0
32.7643227,35.016463,483.49,-0.062,-0.0005,1.004,-0.1,-0.58,-0.02,29350.0,-2420.0,-33320.0
32.7643227,35.016463,483.49,-0.05725,0.02475,1.00475,0.28,0.0,0.02,29330.0,-2380.0,-33320.0
32.7643227,35.016463,483.49,-0.05325,0.02225,0.989,-0.08,0.38,-0.04,29340.0,-2410.0,-33320.0
32.7643227,35.016463,483.49,-0.04975,0.00125,0.99175,-0.34,-0.42,0.0,29370.0,-2450.0,-33310.0
32.7643226,35.016463,483.49,-0.0525,0.0175,1.00425,0.1,-0.38,0.04,29380.0,-2450.0,-33320.0
32.7643226,35.016463,483.49,-0.06525,0.032,1.00025,-0.2,0.34,0.14,29370.0,-2430.0,-33330.0
32.7643226,35.016463,483.49,-0.064,-0.001,0.98425,-0.68,-0.36,0.04,29380.0,-2430.0,-33320.0
32.7643226,35.016463,483.49,-0.05575,-0.00875,0.9945,-0.02,-0.66,0.02,29380.0,-2440.0,-33320.0
32.7643226,35.016463,483.49,-0.05575,0.02775,1.00675,0.54,0.24,0.0,29390.0,-2420.0,-33330.0
32.7643226,35.016463,483.49,-0.05775,0.0305,0.9915,-0.04,0.64,0.0,29360.0,-2400.0,-33330.0
32.7643226,35.016463,483.49,-0.05125,-0.00475,0.985,-0.54,-0.62,0.02,29360.0,-2370.0,-33330.0
32.7643226,35.016463,483.49,-0.04775,-0.004,0.9965,0.02,-0.66,0.08,29350.0,-2360.0,-33330.0
32.7643226,35.016463,483.49,-0.05525,0.0275,0.999,0.4,0.54,-0.04,29340.0,-2360.0,-33320.0
32.7643226,35.016463,483.49,-0.0625,0.022,0.9915,-0.06,0.48,0.04,29280.0,-2240.0,-33330.0
32.7643226,35.016463,483.49,-0.0635,-0.00125,0.99725,-0.46,-0.66,0.06,29230.0,-2230.0,-33330.0
32.7643226,35.016463,483.49,-0.05875,0.012,1.00475,-0.06,-0.56,0.12,29270.0,-2240.0,-33320.0
32.7643226,35.016463,483.49,-0.057,0.0315,0.99675,0.08,0.2,0.12,29250.0,-2200.0,-33320.0
32.7643226,35.016463,483.49,-0.0535,0.008,0.98975,-0.7,-0.64,0.08,29270.0,-2250.0,-33320.0
32.7643226,35.016463,483.49,-0.04425,0.0025,0.99825,-0.24,-0.92,0.06,29280.0,-2290.0,-33320.0
32.7643226,35.016463,483.49,-0.05225,0.0235,1.00175,0.22,0.12,0.14,29260.0,-2240.0,-33320.0
32.7643226,35.016463,483.49,-0.065,0.01825,0.9985,-0.26,0.62,0.04,29270.0,-2230.0,-33320.0
32.7643226,35.016463,483.49,-0.0655,-0.0065,1.001,-0.6,-0.66,0.06,29290.0,-2270.0,-33320.0
32.7643226,35.016463,483.49,-0.0565,0.006,1.008,-0.14,-1.28,0.14,29290.0,-2270.0,-33320.0
32.7643226,35.016463,483.49,-0.05225,0.0345,1.0035,0.12,-0.46,0.16,29320.0,-2320.0,-33320.0
32.7643227,35.0164629,483.48,-0.052,0.0135,0.98775,-0.56,-0.12,0.16,29320.0,-2350.0,-33320.0
32.7643227,35.0164629,483.48,-0.05325,-0.0145,0.9915,-0.64,-0.86,0.08,29310.0,-2340.0,-33320.0
32.7643227,35.0164629,483.48,-0.05475,0.0105,1.008,0.0,-0.92,0.16,29320.0,-2370.0,-33320.0
32.7643227,35.0164629,483.48,-0.05825,0.03125,1.00825,0.06,-0.16,0.08,29340.0,-2390.0,-33320.0
