,SampleTimeFine [micro_sec],Acc_X [m_sec_2],Acc_Y [m_sec_2],Acc_Z [m_sec_2],Gyr_X [dps],Gyr_Y [dps],Gyr_Z [dps]
0,1559530735.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1559539068.0,-0.6303715705871582,0.4775619208812713,9.802335739135742,-3.1685194969177246,-3.127562522888184,-0.3021070957183838
2,1559547401.0,-0.556772768497467,0.4507215917110443,9.94898509979248,-3.093623399734497,-2.747549295425415,-0.3021070957183838
3,1559555734.0,-0.6896870732307434,0.7655830383300781,9.7952299118042,-2.9205222129821777,-2.5096700191497803,-0.2991102337837219
4,1559564067.0,-0.971440315246582,0.7707207202911377,9.570931434631348,-3.184579610824585,-2.3488895893096924,-0.3327161073684692
5,1559572400.0,-1.1416116952896118,0.3761320114135742,9.72968292236328,-3.477734327316284,-2.54148268699646,-0.2408378571271896
6,1559580733.0,-1.117287278175354,0.1735035628080368,10.002923965454102,-3.2781996726989746,-2.8919882774353027,-0.2236507087945938
7,1559589066.0,-0.9698053002357484,0.5946337580680847,9.990385055541992,-2.6406610012054443,-3.121926784515381,-0.1877651512622833
8,1559597399.0,-0.7499969601631165,1.0422128438949585,9.63698959350586,-2.789172649383545,-3.2452855110168457,-0.4046921133995056
9,1559605732.0,-0.5822715759277344,0.7866987586021423,9.502824783325195,-3.475659370422364,-3.1844255924224854,-0.3373266756534576
10,1559614065.0,-0.5141929388046265,0.2567571997642517,9.911161422729492,-3.6578540802001953,-2.969829797744751,-0.3313841819763183
11,1559622398.0,-0.6818942427635193,0.182102620601654,10.218238830566406,-3.160194635391236,-2.4172022342681885,-0.2043887823820114
12,1559630731.0,-0.8950290679931641,0.7587339282035828,9.946784973144531,-2.639201402664185,-2.438462495803833,-0.3524390757083893
13,1559639064.0,-1.044387936592102,0.9310641288757324,9.59982967376709,-2.9075357913970947,-2.588536024093628,-0.3945744633674621
14,1559647397.0,-0.989877223968506,0.5562366247177124,9.656902313232422,-3.489030599594116,-2.7803871631622314,-0.2453459948301315
15,1559655730.0,-0.9508793950080872,0.395645260810852,9.91606903076172,-3.399688005447388,-2.8097920417785645,-0.2281844317913055
16,1559664063.0,-0.937790870666504,0.5287679433822632,9.95007038116455,-2.9913201332092285,-2.962862730026245,-0.3207798898220062
17,1559672396.0,-0.9042477607727052,0.7804440259933472,9.704404830932615,-3.007636308670044,-3.0308430194854736,-0.2796946465969085
18,1559680729.0,-0.7600794434547424,0.5329698324203491,9.69067668914795,-3.359806537628174,-3.170082092285156,-0.3889393806457519
19,1559689062.0,-0.5950396656990051,0.3240610659122467,9.960887908935549,-3.223001003265381,-2.899057626724243,-0.3190637230873108
20,1559697395.0,-0.6232042908668518,0.6257845163345337,9.8916015625,-2.977052688598633,-2.478830099105835,-0.2891718447208404
21,1559705728.0,-0.8087418675422668,0.7383882999420166,9.66682243347168,-3.050898790359497,-2.3814196586608887,-0.3429873883724212
22,1559714061.0,-1.1121277809143066,0.4233177602291107,9.67166805267334,-3.360549211502075,-2.421326398849488,-0.2694233357906341
23,1559722394.0,-1.1272969245910645,0.1363406181335449,9.954682350158691,-3.133223056793213,-2.7730612754821777,-0.3418604135513305
24,1559730727.0,-1.0893181562423706,0.456878125667572,10.01649570465088,-2.5956568717956543,-2.967037916183472,-0.2357405871152877
25,1559739060.0,-0.8990073800086975,0.9963414669036864,9.61039924621582,-2.556953430175781,-3.27653431892395,-0.3041305840015411
26,1559747393.0,-0.6623933911323547,0.9532214403152466,9.40442180633545,-3.266775608062744,-3.229071617126465,-0.3471369445323944
27,1559755726.0,-0.5852221250534058,0.3073961138725281,9.77606964111328,-3.738718032836914,-2.9785385131835938,-0.3612760007381439
28,1559764059.0,-0.6472907066345215,0.0644493028521537,10.174232482910156,-3.2449779510498047,-2.7017767429351807,-0.2624050378799438
29,1559772392.0,-0.8499512076377869,0.5342209935188293,10.06056308746338,-2.6441190242767334,-2.4594149589538574,-0.2715237140655517
30,1559780725.0,-1.0017915964126587,1.024718999862671,9.629916191101074,-2.70146918296814,-2.592327117919922,-0.3174756169319153
31,1559789058.0,-0.9853493571281432,0.7596827149391174,9.512735366821287,-3.361830234527588,-2.8299248218536377,-0.3531306684017181
32,1559797391.0,-0.966467559337616,0.382312148809433,9.769449234008787,-3.461341381072998,-2.8047971725463867,-0.3150423169136047
33,1559805724.0,-0.9392315149307252,0.453787088394165,9.957630157470703,-3.0761544704437256,-3.042036294937134,-0.3332540392875671
34,1559814057.0,-0.901275098323822,0.6687214374542236,9.789812088012695,-2.919369697570801,-3.1691598892211914,-0.3814088106155395
35,1559822390.0,-0.7995012998580933,0.6370721459388733,9.71164608001709,-3.110374927520752,-3.1858601570129395,-0.2868666052818298
36,1559830723.0,-0.5750800967216492,0.4032826423645019,9.87339973449707,-3.2692859172821045,-3.0247981548309326,-0.2921943962574005
37,1559839056.0,-0.5758380889892578,0.5968611836433411,9.9351167678833,-2.99603271484375,-2.638483762741089,-0.2975733578205108
38,1559847389.0,-0.7451772093772888,0.8572677373886108,9.699058532714844,-2.925465583801269,-2.3825716972351074,-0.3159131407737732
39,1559855722.0,-1.0086270570755005,0.6158475279808044,9.621234893798828,-3.408858060836792,-2.4311623573303223,-0.3688066005706787
40,1559864055.0,-1.1490274667739868,0.1643318235874176,9.88569450378418,-3.504962205886841,-2.5495259761810303,-0.3347652554512024
41,1559872388.0,-1.0686562061309814,0.2479220926761627,10.10447120666504,-2.958047151565552,-3.038168430328369,-0.3228290379047394
42,1559880721.0,-0.8890124559402466,0.8704824447631836,9.857436180114746,-2.4688920974731445,-3.178534507751465,-0.3394782841205597
43,1559889054.0,-0.68852698802948,1.1637790203094482,9.449432373046877,-2.9841482639312744,-3.212883234024048,-0.4106346368789673
44,1559897387.0,-0.5724141597747803,0.6303306221961975,9.591607093811035,-3.759747266769409,-2.9924468994140625,-0.3701128959655761
45,1559905720.0,-0.6163794994354248,0.0691820308566093,10.030598640441896,-3.594356298446656,-2.54289174079895,-0.2396339923143386
46,1559914053.0,-0.8279656767845154,0.2938405573368072,10.197583198547363,-2.81150770187378,-2.403473138809204,-0.2609449923038482
47,1559922386.0,-1.0163646936416626,0.8371838927268982,9.7769136428833,-2.528470516204834,-2.606209754943848,-0.3650156259536743
48,1559930719.0,-1.039267659187317,0.9118396043777466,9.494306564331056,-3.146209239959717,-2.74906063079834,-0.3191149532794952
49,1559939052.0,-0.9484046101570128,0.4753338098526001,9.685415267944336,-3.4951908588409424,-2.857473134994507,-0.2647743821144104
50,1559947385.0,-0.8994995355606079,0.3498283922672272,9.947683334350586,-3.3139827251434326,-2.9211113452911377,-0.2958828508853912
51,1559955718.0,-0.9001573324203491,0.6459679007530212,9.848278999328612,-2.8642220497131348,-2.903027534484864,-0.2364834100008011
52,1559964051.0,-0.8945712447166443,0.7105101346969604,9.69222640991211,-3.142699956893921,-3.0565338134765625,-0.3605587780475616
53,1559972384.0,-0.7241674065589905,0.4115081131458282,9.789742469787598,-3.341339111328125,-3.1982064247131348,-0.180977389216423
54,1559980717.0,-0.5937073230743408,0.365292876958847,9.991467475891112,-3.036836862564087,-2.908893823623657,-0.2129951864480972
55,1559989050.0,-0.6699978709220886,0.7256516814231873,9.88691234588623,-2.8740835189819336,-2.674010753631592,-0.2149674445390701
56,1559997383.0,-0.8656002283096313,0.879440426826477,9.6143798828125,-3.212038040161133,-2.407622814178467,-0.3303852081298828
57,1560005716.0,-1.0808757543563845,0.3525021970272064,9.684326171875,-3.568203926086426,-2.544377565383911,-0.3810245990753174
58,1560014049.0,-1.1177890300750732,0.1080693304538726,10.011982917785645,-3.2321197986602783,-2.760075092315674,-0.2193219065666198
59,1560022382.0,-1.018670678138733,0.5315109491348267,10.010656356811523,-2.5710928440093994,-3.02520751953125,-0.2681682407855987
60,1560030715.0,-0.8477051854133606,1.0568554401397705,9.52359390258789,-2.6511120796203613,-3.2952587604522705,-0.2509042620658874
61,1560039048.0,-0.635188102722168,0.9161317348480223,9.41917896270752,-3.401378631591797,-3.066370010375977,-0.324365884065628
62,1560047381.0,-0.5852480530738831,0.2430339306592941,9.809089660644531,-3.789178133010864,-2.8464205265045166,-0.2294907569885254
63,1560055714.0,-0.7053532004356384,0.1126680001616478,10.199111938476562,-3.318413496017456,-2.5116677284240723,-0.1986768096685409
64,1560064047.0,-0.897183895111084,0.6345109343528748,9.998578071594238,-2.605518579483032,-2.3556771278381348,-0.3473418653011322
65,1560072380.0,-1.0770963430404663,0.9671353697776794,9.551602363586426,-2.9690098762512207,-2.5574400424957275,-0.3706763982772827
66,1560080713.0,-1.0122756958007812,0.6491702198982239,9.541013717651367,-3.482959747314453,-2.8192951679229736,-0.3115331530570984
67,1560089046.0,-0.9175270199775696,0.3215692937374115,9.882116317749023,-3.49420428276062,-2.9936766624450684,-0.3221374452114105
68,1560097379.0,-0.8843220472335815,0.4968576431274414,9.90904426574707,-3.000362157821656,-2.988579511642456,-0.3160668909549713
69,1560105712.0,-0.8411515951156616,0.7480552792549133,9.725180625915527,-2.9384524822235107,-3.0415754318237305,-0.3844569027423858
70,1560114045.0,-0.7440373301506042,0.5598017573356628,9.707398414611816,-3.359166145324707,-3.1402158737182617,-0.360584408044815
71,1560122378.0,-0.6053765416145325,0.3341824412345886,9.95804214477539,-3.292850971221924,-2.986478805541992,-0.2682194709777832
72,1560130711.0,-0.6347827911376953,0.5680570602416992,9.984582901000977,-3.014654397964477,-2.6729862689971924,-0.284817487001419
73,1560139044.0,-0.8519256114959717,0.9010694622993468,9.668439865112305,-2.988041400909424,-2.4209423065185547,-0.360148936510086
74,1560147377.0,-1.0626827478408811,0.6792170405387878,9.509825706481934,-3.477273464202881,-2.4764482975006104,-0.2991102337837219
75,1560155710.0,-1.1200964450836182,0.1744484007358551,9.830384254455566,-3.516411781311035,-2.938298463821411,-0.3775154054164886
76,1560164043.0,-1.0322906970977783,0.3356259167194366,10.043900489807127,-3.020750999450684,-3.033711671829224,-0.2451666593551635
77,1560172376.0,-0.8144142031669617,0.8548163771629333,9.865629196166992,-2.641327142715454,-3.173923969268799,-0.2587165832519531
78,1560180709.0,-0.6139134168624878,1.034044861793518,9.505624771118164,-3.3108577728271484,-3.116753339767456,-0.4097125232219696
79,1560189042.0,-0.5045297741889954,0.4801667928695678,9.706169128417969,-3.681879997253418,-2.8565890789031982,-0.4005938768386841
80,1560197375.0,-0.6440811157226562,-0.0231493730098009,10.13595199584961,-3.499916076660156,-2.513998746871948,-0.3340992927551269
81,1560205708.0,-0.8935886025428772,0.3246617913246155,10.1709623336792,-2.706131219863892,-2.2444088459014893,-0.2952937483787536
82,1560214041.0,-1.059674859046936,0.9000490307807922,9.754444122314451,-2.545863151550293,-2.42893385887146,-0.3304876983165741
83,1560222374.0,-1.0852211713790894,0.8452726006507874,9.47202205657959,-3.232145309448242,-2.703134536743164,-0.3031572997570038
84,1560230707.0,-0.9571270942687988,0.429869145154953,9.743853569030762,-3.5373902320861816,-2.8675007820129395,-0.1984975188970565
85,1560239040.0,-0.8741061091423035,0.3657528460025787,10.022967338562012,-3.1639344692230225,-2.9305121898651123,-0.2200903296470642
86,1560247373.0,-0.8774499297142029,0.6631349921226501,9.85290241241455,-2.7811291217803955,-2.93076753616333,-0.2263657599687576
87,1560255706.0,-0.8268632888793945,0.7617488503456116,9.677854537963867,-3.1422393321990967,-3.0433428287506104,-0.3339199721813202
88,1560264039.0,-0.6718446612358093,0.4553924202919006,9.811798095703123,-3.314725637435913,-3.08701491355896,-0.2486502081155777
89,1560272372.0,-0.6003144979476929,0.5043566823005676,9.940842628479004,-3.108863592147827,-2.7923483848571777,-0.2258791327476501
90,1560280705.0,-0.7101193070411682,0.8156406283378601,9.789668083190918,-2.852055072784424,-2.546144485473633,-0.317193865776062
91,1560289038.0,-0.9517795443534852,0.7970970273017883,9.56002140045166,-3.2998175621032715,-2.3721725940704346,-0.376183420419693
92,1560297371.0,-1.0973966121673584,0.3433918952941894,9.781702041625977,-3.592153310775757,-2.6466805934906006,-0.4070998430252075
93,1560305704.0,-1.1064106225967407,0.1804461926221847,10.039467811584473,-3.2621395587921143,-2.869626998901367,-0.2835367918014526
94,1560314037.0,-0.9931684136390686,0.7044934630393982,9.92221736907959,-2.5923783779144287,-3.226996660232544,-0.3941390216350555
95,1560322370.0,-0.7616168856620789,1.1178101301193235,9.525748252868652,-2.894779920578003,-3.321103572845459,-0.3217276334762573
96,1560330703.0,-0.624563455581665,0.7993972897529602,9.431727409362791,-3.719122886657715,-3.161680221557617,-0.3788473308086395
97,1560339036.0,-0.5791937112808228,0.1535352319478988,9.883567810058594,-3.794915437698364,-2.746063470840454,-0.2729837298393249
