Lat_GNSS,Long_GNSS,Height_GNSS,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magn_X,Magn_Y,Magn_Z
32.7588566,35.0228445,477.43,-0.07525,0.0665,0.99425,1.12,-0.2,-0.06,23340.0,-14830.0,-34560.0
32.7588566,35.0228445,477.43,-0.06575,0.0425,0.97225,-0.06,-0.3,-0.06,23320.0,-14800.0,-34540.0
32.7588566,35.0228445,477.43,-0.06425,0.02175,1.00075,-1.08,-0.24,0.06,23330.0,-14830.0,-34530.0
32.7588566,35.0228445,477.43,-0.074,0.05075,1.0135,0.42,0.24,-0.02,23360.0,-14830.0,-34540.0
32.7588566,35.0228445,477.43,-0.077,0.06775,0.98525,1.1,0.32,-0.06,23330.0,-14830.0,-34530.0
32.7588566,35.0228445,477.43,-0.07325,0.039,0.98125,-0.66,-0.06,0.04,23360.0,-14800.0,-34560.0
32.7588566,35.0228445,477.43,-0.075,0.03025,1.01175,-0.88,-0.28,0.08,23340.0,-14800.0,-34550.0
32.7588566,35.0228445,477.43,-0.07625,0.0545,1.006,0.84,0.0,0.02,23330.0,-14780.0,-34540.0
32.7588566,35.0228445,477.43,-0.06575,0.05325,0.977,0.64,-0.1,-0.04,23350.0,-14810.0,-34540.0
32.7588566,35.0228445,477.43,-0.05975,0.03475,0.99225,-0.92,-0.36,0.02,23310.0,-14770.0,-34540.0
32.7588566,35.0228445,477.43,-0.07,0.049,1.01225,-0.22,-0.02,0.08,23310.0,-14750.0,-34530.0
32.7588566,35.0228445,477.43,-0.077,0.05825,0.98875,0.82,0.38,0.0,23380.0,-14810.0,-34560.0
32.7588566,35.0228445,477.43,-0.07375,0.0335,0.9795,-0.4,0.3,-0.02,23420.0,-14780.0,-34590.0
32.7588566,35.0228445,477.43,-0.07575,0.03,1.00975,-0.7,-0.1,-0.02,23410.0,-14770.0,-34580.0
32.7588566,35.0228445,477.43,-0.0775,0.063,1.009,0.72,-0.1,0.02,23380.0,-14760.0,-34560.0
32.7588566,35.0228444,477.43,-0.0695,0.06175,0.9745,0.64,-0.26,-0.04,23420.0,-14770.0,-34590.0
32.7588566,35.0228444,477.43,-0.06075,0.02725,0.98425,-1.02,-0.38,0.02,23450.0,-14730.0,-34610.0
32.7588566,35.0228444,477.43,-0.0675,0.03625,1.01325,-0.4,-0.1,0.02,23410.0,-14670.0,-34600.0
32.7588566,35.0228444,477.43,-0.075,0.066,0.9985,1.16,0.38,0.0,23390.0,-14720.0,-34580.0
32.7588566,35.0228444,477.43,-0.074,0.0515,0.97575,0.06,0.2,-0.04,23390.0,-14770.0,-34570.0
32.7588566,35.0228444,477.43,-0.076,0.028,1.00225,-1.22,-0.12,-0.04,23360.0,-14770.0,-34550.0
32.7588566,35.0228444,477.43,-0.08075,0.04625,1.0145,0.12,0.0,0.06,23380.0,-14760.0,-34570.0
32.7588566,35.0228444,477.43,-0.074,0.05975,0.98275,0.94,-0.08,-0.02,23380.0,-14760.0,-34560.0
32.7588566,35.0228444,477.43,-0.062,0.03725,0.97925,-0.58,-0.46,0.0,23390.0,-14770.0,-34570.0
32.7588566,35.0228444,477.43,-0.065,0.03775,1.01125,-0.78,-0.3,0.06,23410.0,-14800.0,-34570.0
32.7588566,35.0228444,477.43,-0.0745,0.057,1.00425,0.68,0.22,0.02,23440.0,-14800.0,-34600.0
32.7588566,35.0228444,477.43,-0.0745,0.045,0.97975,0.24,0.36,-0.06,23390.0,-14760.0,-34570.0
32.7588566,35.0228444,477.43,-0.07475,0.02525,1.0,-0.94,0.06,0.04,23380.0,-14780.0,-34560.0
32.7588566,35.0228444,477.43,-0.0795,0.05025,1.01525,0.1,-0.1,0.08,23400.0,-14800.0,-34560.0
32.7588566,35.0228444,477.43,-0.07475,0.06875,0.98625,1.06,-0.28,0.0,23380.0,-14750.0,-34550.0
32.7588566,35.0228444,477.43,-0.06375,0.03575,0.9735,-0.62,-0.38,0.0,23390.0,-14730.0,-34580.0
32.7588566,35.0228444,477.43,-0.06425,0.024,1.009,-1.06,-0.24,0.06,23400.0,-14780.0,-34600.0
32.7588566,35.0228444,477.43,-0.07425,0.05575,1.01225,0.8,0.34,0.1,23390.0,-14770.0,-34570.0
32.7588566,35.0228444,477.43,-0.07575,0.0625,0.9805,0.84,0.32,-0.04,23370.0,-14770.0,-34560.0
32.7588566,35.0228444,477.43,-0.07325,0.031,0.987,-1.04,-0.04,0.0,23370.0,-14740.0,-34570.0
32.7588566,35.0228444,477.42,-0.0765,0.0335,1.01225,-0.68,-0.2,0.08,23420.0,-14690.0,-34610.0
32.7588566,35.0228444,477.42,-0.07575,0.057,0.9955,1.04,-0.06,0.1,23460.0,-14720.0,-34640.0
32.7588566,35.0228444,477.42,-0.06475,0.0445,0.9745,0.26,-0.3,-0.02,23480.0,-14770.0,-34630.0
32.7588566,35.0228444,477.42,-0.06275,0.03125,1.001,-0.98,-0.4,0.04,23410.0,-14790.0,-34580.0
32.7588566,35.0228444,477.42,-0.07375,0.05125,1.012,0.14,0.08,0.04,23360.0,-14770.0,-34560.0
32.7588566,35.0228444,477.42,-0.07775,0.05575,0.983,0.78,0.34,0.0,23390.0,-14890.0,-34560.0
32.7588566,35.0228444,477.42,-0.0725,0.02825,0.98275,-0.62,0.08,0.02,23400.0,-14910.0,-34550.0
32.7588566,35.0228444,477.42,-0.07325,0.03275,1.01325,-0.6,-0.3,0.0,23390.0,-14820.0,-34550.0
