Lat_GNSS,Long_GNSS,Height_GNSS,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magn_X,Magn_Y,Magn_Z
32.7588601,35.0228483,477.34,-0.07125,0.053,1.001,0.82,-0.42,-0.06,23590.0,17510.0,-34120.0
32.7588601,35.0228483,477.34,-0.06125,0.02375,0.9815,-0.34,-0.34,0.02,23590.0,17510.0,-34130.0
32.7588601,35.0228483,477.34,-0.06475,0.0255,0.98625,-0.84,-0.2,0.06,23580.0,17520.0,-34130.0
32.7588601,35.0228483,477.34,-0.07275,0.055,1.0045,0.56,-0.08,0.04,23620.0,17530.0,-34120.0
32.7588601,35.0228483,477.34,-0.06925,0.04625,1.002,0.44,0.14,-0.06,23630.0,17580.0,-34120.0
32.7588601,35.0228483,477.34,-0.07,0.018,0.9905,-0.8,0.36,0.04,23590.0,17720.0,-34100.0
32.7588601,35.0228483,477.34,-0.07775,0.03275,0.99375,-0.44,0.28,0.04,23600.0,17830.0,-34080.0
32.7588601,35.0228483,477.34,-0.07625,0.05525,1.001,0.9,-0.06,0.0,23660.0,17830.0,-34070.0
32.7588601,35.0228483,477.34,-0.0625,0.0375,0.9905,0.14,-0.06,-0.06,23660.0,17850.0,-34080.0
32.7588601,35.0228483,477.34,-0.05925,0.021,0.988,-1.1,-0.04,0.04,23650.0,17750.0,-34090.0
32.7588601,35.0228483,477.34,-0.071,0.0425,1.00225,0.06,-0.02,0.0,23690.0,17680.0,-34100.0
32.7588601,35.0228483,477.34,-0.072,0.0475,1.00325,0.88,0.18,0.02,23680.0,17660.0,-34100.0
32.7588601,35.0228483,477.34,-0.0705,0.02075,0.99275,-0.18,0.2,0.0,23690.0,17690.0,-34100.0
32.7588601,35.0228483,477.34,-0.07675,0.029,0.99475,-0.62,0.12,0.02,23710.0,17740.0,-34090.0
32.7588601,35.0228483,477.34,-0.08025,0.05625,1.00125,0.62,-0.06,0.0,23710.0,17730.0,-34090.0
32.7588601,35.0228483,477.34,-0.06875,0.0445,0.99375,0.5,-0.22,-0.02,23760.0,17670.0,-34090.0
32.7588601,35.0228482,477.34,-0.062,0.01525,0.9855,-0.92,-0.26,0.0,23810.0,17760.0,-34070.0
32.7588601,35.0228482,477.34,-0.0685,0.035,0.998,-0.46,-0.34,0.08,23780.0,17820.0,-34070.0
32.7588601,35.0228482,477.34,-0.07425,0.0565,1.00625,0.92,-0.08,0.02,23690.0,17840.0,-34090.0
32.7588601,35.0228482,477.34,-0.07025,0.03575,0.99575,0.02,0.14,0.0,23710.0,17800.0,-34090.0
32.7588601,35.0228482,477.34,-0.0745,0.02075,0.98975,-1.08,0.24,0.02,23770.0,17800.0,-34080.0
32.7588601,35.0228482,477.34,-0.08075,0.04325,0.99675,0.0,0.04,0.08,23810.0,17770.0,-34080.0
32.7588601,35.0228482,477.34,-0.0735,0.0505,0.99925,0.84,-0.18,0.0,23810.0,17750.0,-34080.0
32.7588601,35.0228482,477.34,-0.06075,0.02525,0.9905,-0.42,-0.4,0.0,23800.0,17800.0,-34080.0
32.7588601,35.0228482,477.34,-0.06475,0.029,0.9915,-0.86,-0.2,0.06,23800.0,17840.0,-34070.0
32.7588601,35.0228482,477.34,-0.074,0.052,1.00125,0.5,0.04,0.06,23810.0,17870.0,-34070.0
32.7588601,35.0228482,477.34,-0.07175,0.03925,0.997,0.5,0.22,-0.02,23830.0,17970.0,-34060.0
32.7588601,35.0228482,477.34,-0.0705,0.01525,0.991,-0.74,0.12,0.02,23780.0,18050.0,-34050.0
32.7588601,35.0228482,477.34,-0.0765,0.03775,0.99725,-0.28,-0.12,0.06,23780.0,17970.0,-34060.0
32.7588601,35.0228482,477.34,-0.07375,0.0585,0.9995,1.02,-0.3,-0.02,23830.0,17940.0,-34060.0
32.7588601,35.0228482,477.34,-0.0625,0.034,0.99025,0.06,-0.3,-0.04,23850.0,17880.0,-34070.0
32.7588601,35.0228482,477.34,-0.06275,0.019,0.9895,-1.06,-0.18,0.04,23870.0,17880.0,-34060.0
32.7588601,35.0228482,477.34,-0.073,0.0465,1.00175,0.18,-0.02,0.06,23890.0,17920.0,-34050.0
32.7588601,35.0228482,477.34,-0.0725,0.0545,1.001,0.98,0.1,0.02,23890.0,17900.0,-34060.0
32.7588601,35.0228482,477.34,-0.0685,0.02575,0.9895,-0.38,0.16,-0.1,23900.0,17900.0,-34060.0
32.7588601,35.0228482,477.34,-0.07375,0.02625,0.99225,-0.86,0.08,0.06,23920.0,17920.0,-34050.0
32.7588601,35.0228483,477.34,-0.07775,0.05125,1.00175,0.46,-0.06,0.06,23940.0,18020.0,-34040.0
32.7588601,35.0228483,477.34,-0.06575,0.04375,0.9965,0.7,-0.2,-0.08,23920.0,18040.0,-34030.0
32.7588601,35.0228483,477.34,-0.06,0.02325,0.9895,-0.7,-0.22,0.1,23870.0,18020.0,-34040.0
32.7588601,35.0228483,477.34,-0.07025,0.03825,0.9955,-0.48,-0.12,0.06,23840.0,18040.0,-34050.0
32.7588601,35.0228483,477.34,-0.0755,0.04975,1.00125,0.76,0.12,0.06,23810.0,18030.0,-34060.0
32.7588601,35.0228483,477.34,-0.07075,0.02775,0.994,0.12,0.2,-0.06,23860.0,18000.0,-34050.0
32.7588601,35.0228483,477.34,-0.072,0.02225,0.99475,-0.8,0.04,0.02,23850.0,17960.0,-34060.0
32.7588601,35.0228483,477.34,-0.077,0.05175,1.0045,0.3,-0.24,0.06,23870.0,17950.0,-34060.0
32.7588601,35.0228483,477.34,-0.0695,0.05225,0.99925,0.76,-0.34,-0.06,23880.0,17960.0,-34050.0
32.7588601,35.0228483,477.34,-0.062,0.0195,0.9875,-0.58,-0.3,-0.02,23870.0,18040.0,-34040.0
32.7588601,35.0228483,477.34,-0.069,0.0265,0.99475,-0.72,-0.22,0.04,23860.0,18190.0,-34030.0
32.7588601,35.0228483,477.34,-0.07575,0.057,1.0075,0.82,-0.12,0.04,23880.0,18200.0,-34010.0
32.7588601,35.0228483,477.34,-0.07075,0.04575,0.9995,0.6,0.06,-0.02,23940.0,18190.0,-34000.0
32.7588601,35.0228483,477.34,-0.0705,0.01825,0.98875,-0.94,-0.02,0.04,23940.0,18170.0,-34000.0
32.7588601,35.0228483,477.34,-0.078,0.03325,0.9965,-0.46,-0.06,0.08,23930.0,18090.0,-34010.0
32.7588601,35.0228483,477.34,-0.0765,0.05075,1.0,0.98,-0.42,-0.06,23920.0,18020.0,-34020.0
32.7588601,35.0228483,477.34,-0.061,0.03375,0.994,0.32,-0.54,0.0,23960.0,18000.0,-34020.0
32.7588601,35.0228483,477.34,-0.064,0.02775,0.98625,-0.78,-0.54,0.04,24020.0,17940.0,-34020.0
32.7588601,35.0228483,477.34,-0.07225,0.04625,0.996,0.02,-0.2,0.0,24130.0,17690.0,-34040.0
32.7588601,35.0228483,477.34,-0.07225,0.0395,0.9975,0.7,0.08,0.02,24120.0,17590.0,-34060.0
32.7588601,35.0228483,477.34,-0.0675,0.018,0.99175,-0.2,0.08,-0.02,24160.0,17570.0,-34050.0
32.7588601,35.0228483,477.34,-0.07375,0.03675,0.99425,-0.28,-0.06,0.04,24200.0,17570.0,-34040.0
32.7588601,35.0228483,477.34,-0.07425,0.05975,0.9995,0.66,-0.2,0.0,24200.0,17440.0,-34060.0
32.7588601,35.0228483,477.34,-0.06325,0.0385,0.98975,0.18,-0.3,0.02,24170.0,17460.0,-34060.0
32.7588601,35.0228483,477.34,-0.0615,0.016,0.988,-0.96,-0.24,0.0,24100.0,17630.0,-34050.0
