Lat_GNSS,Long_GNSS,Height_GNSS,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magn_X,Magn_Y,Magn_Z
32.7643172,35.0164456,482.78,-0.04875,0.0,0.99125,-0.08,-0.32,0.0,31950.0,-4300.0,-33370.0
32.7643172,35.0164456,482.78,-0.05375,0.012,0.98825,-0.28,-0.34,0.04,31910.0,-4290.0,-33400.0
32.7643172,35.0164456,482.78,-0.059,0.02675,1.00125,0.26,-0.06,0.06,31970.0,-4350.0,-33400.0
32.7643172,35.0164456,482.78,-0.0585,0.01,0.99675,0.16,0.32,0.04,31980.0,-4370.0,-33380.0
32.7643172,35.0164456,482.78,-0.06175,-0.003,0.99225,-0.42,0.32,0.08,31960.0,-4360.0,-33390.0
32.7643172,35.0164456,482.78,-0.068,0.02025,1.00225,0.24,0.02,0.14,32000.0,-4400.0,-33380.0
32.7643172,35.0164456,482.78,-0.06075,0.03425,0.999,0.78,-0.28,0.06,31950.0,-4330.0,-33390.0
32.7643172,35.0164456,482.78,-0.05075,0.01025,0.98175,-0.18,-0.5,0.08,31960.0,-4340.0,-33400.0
32.7643172,35.0164456,482.78,-0.054,0.00075,0.98575,-0.66,-0.42,0.06,31980.0,-4360.0,-33400.0
32.7643172,35.0164456,482.78,-0.06125,0.0205,1.00875,0.26,-0.12,0.16,31960.0,-4330.0,-33390.0
32.7643172,35.0164456,482.78,-0.058,0.02375,1.00275,0.6,0.22,-0.06,31960.0,-4330.0,-33390.0
32.7643172,35.0164456,482.78,-0.061,0.00675,0.9835,-0.26,0.4,0.06,31920.0,-4220.0,-33430.0
32.7643172,35.0164456,482.78,-0.0705,0.01025,0.99525,-0.44,0.22,0.08,31920.0,-4210.0,-33420.0
32.7643172,35.0164456,482.78,-0.067,0.021,1.0105,0.38,-0.04,0.0,31930.0,-4230.0,-33400.0
32.7643172,35.0164456,482.78,-0.054,0.00975,0.9945,0.18,-0.38,0.02,31930.0,-4250.0,-33390.0
32.7643172,35.0164456,482.78,-0.05175,0.005,0.98525,-0.46,-0.6,0.04,31970.0,-4290.0,-33380.0
32.7643172,35.0164456,482.78,-0.05775,0.021,1.002,-0.16,-0.26,0.08,31970.0,-4310.0,-33380.0
32.7643172,35.0164456,482.78,-0.05725,0.016,1.00625,0.06,0.18,0.0,32000.0,-4340.0,-33370.0
32.7643172,35.0164456,482.78,-0.06125,-0.00725,0.9915,-0.44,0.5,0.04,31980.0,-4330.0,-33380.0
32.7643172,35.0164456,482.78,-0.0695,0.00025,0.9985,-0.36,0.3,0.08,31970.0,-4320.0,-33380.0
32.7643172,35.0164456,482.78,-0.06975,0.0275,1.01275,0.44,0.06,0.08,31970.0,-4280.0,-33380.0
32.7643172,35.0164456,482.78,-0.058,0.018,0.99375,0.18,-0.38,0.02,31950.0,-4220.0,-33400.0
32.7643172,35.0164456,482.78,-0.0525,-0.00625,0.98025,-0.84,-0.5,0.08,31940.0,-4210.0,-33390.0
32.7643172,35.0164456,482.78,-0.0575,0.0015,1.00175,-0.52,-0.38,0.08,31940.0,-4230.0,-33380.0
32.7643172,35.0164456,482.78,-0.05875,0.018,1.0145,0.4,-0.06,0.02,31950.0,-4230.0,-33400.0
32.7643172,35.0164456,482.78,-0.05875,0.00725,0.99275,0.08,0.34,-0.02,31970.0,-4260.0,-33380.0
32.7643172,35.0164456,482.78,-0.06625,0.0,0.986,-0.62,0.32,0.04,31960.0,-4230.0,-33400.0
32.7643172,35.0164456,482.78,-0.071,0.01225,1.0075,-0.1,0.16,0.04,31920.0,-4140.0,-33430.0
32.7643172,35.0164456,482.78,-0.06,0.009,1.00275,0.22,-0.28,-0.04,31880.0,-4060.0,-33440.0
32.7643172,35.0164456,482.78,-0.05025,-0.00575,0.98375,-0.28,-0.64,0.02,31880.0,-4100.0,-33440.0
32.7643172,35.0164456,482.78,-0.0535,0.006,0.9925,-0.26,-0.6,0.02,31920.0,-4150.0,-33420.0
32.7643172,35.0164456,482.78,-0.05725,0.02075,1.007,0.24,-0.16,0.06,31860.0,-4010.0,-33460.0
32.7643172,35.0164456,482.78,-0.0565,0.001,0.99425,0.0,0.38,0.06,31830.0,-3960.0,-33480.0
32.7643172,35.0164456,482.78,-0.06275,-0.0135,0.98775,-0.38,0.52,0.08,31830.0,-3950.0,-33500.0
32.7643172,35.0164456,482.78,-0.06825,0.012,1.0065,0.26,0.16,0.06,31870.0,-4000.0,-33470.0
32.7643172,35.0164456,482.78,-0.05975,0.02675,1.00175,0.72,-0.2,-0.04,31900.0,-4090.0,-33440.0
32.7643172,35.0164456,482.78,-0.05075,0.00175,0.97925,-0.22,-0.52,-0.06,31940.0,-4180.0,-33420.0
32.7643172,35.0164456,482.78,-0.05275,-0.00625,0.9865,-0.66,-0.52,0.08,31960.0,-4190.0,-33400.0
32.7643172,35.0164456,482.78,-0.05875,0.016,1.012,0.24,-0.1,0.04,31950.0,-4210.0,-33410.0
