Lat_GNSS,Long_GNSS,Height_GNSS,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magn_X,Magn_Y,Magn_Z
32.7643192,35.0164477,482.85,-0.067,0.02975,1.01425,0.3,-0.4,0.14,31890.0,-3750.0,-33320.0
32.7643192,35.0164477,482.85,-0.056,0.0225,0.99425,0.46,-0.68,0.12,31920.0,-3800.0,-33330.0
32.7643192,35.0164477,482.85,-0.0535,0.0005,0.981,-0.52,-0.78,0.14,31940.0,-3790.0,-33330.0
32.7643192,35.0164477,482.85,-0.05975,0.01075,1.00225,-0.84,-0.54,0.18,31910.0,-3770.0,-33330.0
32.7643192,35.0164477,482.85,-0.06275,0.0235,1.01425,0.26,-0.04,0.06,31920.0,-3790.0,-33330.0
32.7643192,35.0164477,482.85,-0.06125,0.0125,0.99175,0.42,0.34,-0.04,31920.0,-3820.0,-33320.0
32.7643192,35.0164477,482.85,-0.06675,0.0085,0.986,-0.34,0.3,0.08,31880.0,-3840.0,-33320.0
32.7643192,35.0164477,482.85,-0.07,0.0215,1.00325,-0.4,0.14,0.06,31880.0,-3820.0,-33330.0
32.7643192,35.0164477,482.85,-0.06125,0.016,1.0,0.06,-0.34,0.02,31890.0,-3810.0,-33340.0
32.7643192,35.0164477,482.85,-0.05175,0.0035,0.9845,0.0,-0.7,0.06,31870.0,-3750.0,-33350.0
32.7643192,35.0164477,482.85,-0.055,0.01425,0.99,-0.36,-0.8,0.12,31840.0,-3760.0,-33340.0
32.7643192,35.0164477,482.85,-0.061,0.02525,1.00175,-0.1,-0.2,0.08,31850.0,-3810.0,-33340.0
32.7643192,35.0164478,482.84,-0.06025,0.005,0.993,-0.06,0.4,0.04,31890.0,-3800.0,-33360.0
32.7643192,35.0164478,482.84,-0.0635,-0.00925,0.9865,-0.4,0.48,0.06,31890.0,-3800.0,-33370.0
32.7643192,35.0164478,482.84,-0.0685,0.01675,1.00525,0.12,0.2,0.08,31890.0,-3800.0,-33370.0
32.7643192,35.0164478,482.84,-0.061,0.0295,1.00275,0.58,-0.16,0.02,31870.0,-3790.0,-33350.0
32.7643192,35.0164478,482.84,-0.0525,0.005,0.97575,-0.14,-0.48,0.02,31870.0,-3800.0,-33340.0
32.7643192,35.0164478,482.84,-0.05375,-0.0055,0.986,-0.92,-0.62,0.1,31870.0,-3820.0,-33340.0
32.7643192,35.0164478,482.84,-0.06125,0.017,1.0165,0.12,-0.18,0.0,31860.0,-3820.0,-33330.0
32.7643192,35.0164478,482.84,-0.0585,0.0205,1.0045,0.58,0.32,0.04,31850.0,-3840.0,-33330.0
32.7643192,35.0164478,482.84,-0.06025,0.00325,0.9815,-0.22,0.56,0.0,31880.0,-3870.0,-33330.0
32.7643192,35.0164478,482.84,-0.068,0.00975,0.9995,-0.6,0.4,0.06,31870.0,-3870.0,-33340.0
32.7643192,35.0164478,482.84,-0.06675,0.0195,1.01525,0.06,0.02,-0.02,31850.0,-3800.0,-33350.0
32.7643192,35.0164478,482.84,-0.05425,0.0055,0.99675,0.14,-0.4,-0.06,31860.0,-3830.0,-33330.0
32.7643192,35.0164478,482.84,-0.04975,0.00075,0.987,-0.38,-0.74,0.02,31870.0,-3850.0,-33330.0
32.7643192,35.0164478,482.84,-0.057,0.02225,1.009,-0.2,-0.46,0.06,31860.0,-3850.0,-33330.0
32.7643192,35.0164478,482.84,-0.0595,0.0165,1.00925,0.06,0.34,-0.1,31830.0,-3830.0,-33330.0
32.7643192,35.0164478,482.84,-0.06025,-0.0135,0.99225,-0.44,0.66,0.0,31860.0,-3850.0,-33320.0
32.7643192,35.0164478,482.84,-0.06875,-0.00525,1.001,-0.32,0.52,-0.04,31830.0,-3770.0,-33320.0
32.7643192,35.0164478,482.84,-0.07025,0.02475,1.0135,0.58,0.16,0.02,31800.0,-3760.0,-33340.0
32.7643192,35.0164478,482.84,-0.0575,0.01475,0.99,0.16,-0.44,-0.04,31840.0,-3820.0,-33340.0
32.7643192,35.0164478,482.84,-0.05325,-0.01125,0.98,-0.84,-0.74,0.0,31860.0,-3800.0,-33350.0
32.7643192,35.0164478,482.84,-0.06125,-0.00075,1.00325,-0.44,-0.4,-0.06,31860.0,-3790.0,-33360.0
32.7643192,35.0164478,482.84,-0.06025,0.0175,1.01225,0.66,0.1,-0.04,31840.0,-3800.0,-33360.0
32.7643192,35.0164478,482.84,-0.05875,0.0055,0.9885,0.3,0.52,0.0,31830.0,-3770.0,-33340.0
32.7643192,35.0164478,482.84,-0.06725,0.0,0.98225,-0.6,0.58,0.08,31830.0,-3810.0,-33340.0
32.7643192,35.0164478,482.84,-0.07225,0.01325,1.00325,-0.12,0.3,0.06,31860.0,-3850.0,-33340.0
32.7643192,35.0164478,482.84,-0.059,0.00975,0.99975,0.44,-0.3,-0.04,31890.0,-3850.0,-33350.0
32.7643192,35.0164478,482.84,-0.05,-0.00275,0.97925,-0.06,-0.74,0.02,31890.0,-3830.0,-33340.0
32.7643192,35.0164478,482.84,-0.05475,0.0105,0.98775,-0.34,-0.64,0.06,31870.0,-3830.0,-33340.0
32.7643192,35.0164478,482.84,-0.05875,0.02,1.0035,0.2,0.04,0.02,31850.0,-3800.0,-33340.0
32.7643192,35.0164478,482.84,-0.058,0.00075,0.9955,-0.04,0.58,0.02,31850.0,-3780.0,-33340.0
32.7643192,35.0164478,482.84,-0.0635,-0.0055,0.989,-0.32,0.66,0.06,31860.0,-3770.0,-33350.0
32.7643192,35.0164478,482.84,-0.0685,0.0215,1.00175,0.22,0.28,0.06,31870.0,-3740.0,-33340.0
32.7643192,35.0164478,482.84,-0.05775,0.03025,1.0005,0.6,-0.28,0.0,31830.0,-3680.0,-33340.0
32.7643192,35.0164478,482.84,-0.05075,0.00725,0.98775,-0.52,-0.62,-0.04,31820.0,-3710.0,-33330.0
32.7643192,35.0164478,482.84,-0.055,0.001,0.98925,-0.74,-0.48,-0.04,31850.0,-3740.0,-33330.0
32.7643192,35.0164478,482.84,-0.06325,0.01925,1.014,0.28,0.02,-0.06,31860.0,-3720.0,-33340.0
32.7643192,35.0164478,482.84,-0.06025,0.012,1.00175,0.46,0.54,-0.06,31880.0,-3740.0,-33340.0
32.7643192,35.0164478,482.84,-0.06375,0.00025,0.99,-0.46,0.66,-0.02,31880.0,-3780.0,-33350.0
32.7643192,35.0164478,482.84,-0.0725,0.01075,1.00525,-0.42,0.26,0.02,31860.0,-3750.0,-33340.0
32.7643192,35.0164478,482.84,-0.067,0.01875,1.009,0.34,-0.18,0.0,31900.0,-3780.0,-33340.0
32.7643192,35.0164478,482.83,-0.052,0.0035,0.99875,-0.02,-0.7,-0.1,31910.0,-3750.0,-33360.0
32.7643192,35.0164478,482.83,-0.04975,0.004,0.99575,-0.6,-0.72,0.0,31900.0,-3740.0,-33360.0
32.7643192,35.0164478,482.83,-0.05775,0.027,1.0085,0.06,-0.2,0.0,31930.0,-3780.0,-33350.0
32.7643192,35.0164478,482.83,-0.05875,0.01525,1.005,0.22,0.52,0.06,31950.0,-3850.0,-33340.0
32.7643192,35.0164478,482.83,-0.06275,-0.008,0.99375,-0.6,0.8,0.04,31910.0,-3790.0,-33340.0
32.7643192,35.0164478,482.83,-0.0725,0.00575,1.00775,-0.32,0.56,0.08,31880.0,-3760.0,-33330.0
32.7643192,35.0164478,482.83,-0.06825,0.03,1.0115,0.64,0.0,-0.02,31890.0,-3820.0,-33330.0
32.7643192,35.0164478,482.83,-0.054,0.012,0.9825,-0.02,-0.58,0.02,31920.0,-3800.0,-33340.0
32.7643192,35.0164478,482.83,-0.05325,-0.011,0.9745,-1.08,-0.74,-0.02,31920.0,-3800.0,-33330.0
32.7643192,35.0164478,482.83,-0.06075,0.00225,1.00175,-0.16,-0.24,0.06,31900.0,-3740.0,-33340.0
32.7643192,35.0164478,482.83,-0.0595,0.0115,1.00475,0.88,0.32,-0.02,31960.0,-3800.0,-33340.0
32.7643192,35.0164478,482.83,-0.0625,0.00525,0.98075,0.2,0.76,0.0,32080.0,-3980.0,-33310.0
