,Time_Sample [sec],Lat_GNSS [deg],Long_GNSS [deg],Height_GNSS [m],Acc_X [g],Acc_Y [g],Acc_Z [g],Gyro_X [dps],Gyro_Y [dps],Gyro_Z [dps],Magn_X [nT],Magn_Y [nT],Magn_Z [nT]
0,0.0,32.7603699,35.0226227,471.14,-0.00025,0.0135,0.9985,-0.04,-0.04,0.0,-39970.0,-1180.0,4800.0
1,0.01,32.7603699,35.0226227,471.14,-0.00025,0.01325,0.99875,-0.08,0.0,0.04,-40030.0,-1250.0,5000.0
2,0.02,32.7603699,35.0226227,471.14,-0.0005,0.0135,0.99875,0.0,0.0,0.06,-40090.0,-1230.0,4970.0
3,0.03,32.7603699,35.0226227,471.14,-0.00025,0.0135,0.9985,0.0,-0.06,0.04,-40090.0,-1230.0,4900.0
4,0.04,32.7603699,35.0226227,471.14,-0.00025,0.01325,0.999,0.02,-0.02,0.08,-40090.0,-1180.0,5040.0
5,0.05,32.7603699,35.0226227,471.14,-0.0005,0.01325,0.99875,0.0,0.0,0.02,-40130.0,-1220.0,4970.0
6,0.06,32.7603699,35.0226227,471.14,-0.0005,0.0135,0.99875,-0.04,0.0,0.0,-40040.0,-1290.0,4900.0
7,0.07,32.7603699,35.0226227,471.14,0.0,0.0135,0.99875,0.0,-0.02,0.06,-39990.0,-1200.0,4900.0
8,0.08,32.7603699,35.0226227,471.14,-0.00025,0.01325,0.99875,0.02,0.0,0.0,-40050.0,-1320.0,4970.0
9,0.09,32.7603699,35.0226227,471.14,-0.00025,0.01375,0.99875,-0.04,-0.02,0.04,-40040.0,-1300.0,4940.0
10,0.1,32.7603699,35.0226227,471.14,0.0,0.01375,0.99875,0.0,0.04,0.06,-39990.0,-1170.0,4770.0
11,0.11,32.7603699,35.0226227,471.14,0.0,0.0135,0.999,-0.02,0.02,0.04,-40040.0,-1250.0,4990.0
12,0.12,32.7603699,35.0226227,471.14,-0.00025,0.0135,0.999,0.0,0.06,0.0,-40050.0,-1300.0,4960.0
13,0.13,32.7603699,35.0226227,471.14,-0.00025,0.01375,0.99875,-0.02,0.04,0.04,-40060.0,-1290.0,4890.0
14,0.14,32.7603699,35.0226227,471.14,0.0,0.0135,0.99875,-0.06,0.0,0.0,-40020.0,-1230.0,5050.0
15,0.15,32.7603699,35.0226227,471.14,-0.00075,0.01325,0.99875,-0.04,0.08,0.04,-40070.0,-1300.0,4990.0
16,0.16,32.7603699,35.0226227,471.14,-0.00075,0.0135,0.99875,-0.04,0.04,0.08,-40030.0,-1330.0,4960.0
17,0.17,32.7603699,35.0226227,471.14,-0.00075,0.01325,0.999,-0.02,0.02,0.02,-40000.0,-1180.0,4900.0
18,0.18,32.7603699,35.0226227,471.14,-0.00075,0.013,0.99875,-0.04,0.0,0.04,-40040.0,-1270.0,4990.0
19,0.19,32.7603699,35.0226227,471.14,-0.00075,0.01325,0.99875,0.04,0.02,0.04,-40010.0,-1250.0,4920.0
20,0.2,32.7603699,35.0226227,471.14,-0.0005,0.0135,0.9985,-0.02,0.0,0.08,-39930.0,-1180.0,4710.0
21,0.21,32.7603699,35.0226227,471.14,-0.00025,0.0135,0.99825,0.06,-0.06,0.0,-39910.0,-1240.0,4860.0
22,0.22,32.7603699,35.0226227,471.14,-0.0005,0.01375,0.99875,-0.04,-0.02,0.04,-39940.0,-1230.0,4780.0
23,0.23,32.7603699,35.0226227,471.14,-0.0005,0.014,0.99875,0.0,-0.14,0.0,-39970.0,-1170.0,4690.0
24,0.24,32.7603699,35.0226227,471.14,-0.00025,0.0135,0.999,0.04,-0.04,0.02,-39920.0,-1100.0,4790.0
25,0.25,32.7603699,35.0226227,471.14,-0.0005,0.01375,0.99925,0.0,0.0,-0.02,-39990.0,-1170.0,4790.0
26,0.26,32.7603699,35.0226227,471.14,-0.00025,0.01375,0.999,0.0,-0.04,-0.06,-40020.0,-1130.0,4810.0
27,0.27,32.7603699,35.0226227,471.14,0.0,0.01375,0.9985,-0.04,0.02,-0.08,-40070.0,-1000.0,4830.0
28,0.28,32.7603699,35.0226227,471.14,0.0,0.01375,0.9985,0.0,-0.02,0.0,-40110.0,-1060.0,4980.0
29,0.29,32.7603699,35.0226227,471.14,0.0,0.01325,0.9985,-0.02,0.0,0.06,-40140.0,-1040.0,4950.0
30,0.3,32.7603699,35.0226227,471.14,0.0,0.0135,0.99875,-0.06,0.0,0.0,-40120.0,-1080.0,4840.0
31,0.31,32.7603699,35.0226227,471.14,0.0,0.013,0.99925,-0.04,0.04,0.04,-40300.0,-1230.0,5200.0
32,0.32,32.7603699,35.0226227,471.14,-0.0005,0.01325,0.9995,0.0,0.12,0.0,-40480.0,-1350.0,5220.0
33,0.33,32.7603699,35.0226227,471.14,-0.0005,0.0135,0.999,0.04,0.04,0.06,-40530.0,-1420.0,5220.0
