,Time_Sample [sec],Lat_GNSS [deg],Long_GNSS [deg],Height_GNSS [m],Acc_X [g],Acc_Y [g],Acc_Z [g],Gyro_X [dps],Gyro_Y [dps],Gyro_Z [dps],Magn_X [nT],Magn_Y [nT],Magn_Z [nT]
0,0.0,32.7602063,35.0224365,470.92,0.009,0.022,0.9985,0.04,0.04,0.02,2190.0,32500.0,3450.0
1,0.01,32.7602063,35.0224365,470.92,0.009,0.022,0.9985,-0.04,0.02,-0.02,2180.0,32530.0,3370.0
2,0.02,32.7602063,35.0224365,470.92,0.00925,0.022,0.99875,0.04,-0.04,0.02,2130.0,32570.0,3320.0
3,0.03,32.7602063,35.0224365,470.92,0.00925,0.022,0.9985,0.02,0.14,0.0,2090.0,32590.0,3570.0
4,0.04,32.7602063,35.0224365,470.92,0.00925,0.022,0.99875,0.02,0.0,0.02,2020.0,32540.0,3550.0
5,0.05,32.7602063,35.0224365,470.93,0.00925,0.022,0.9985,-0.02,0.08,0.0,2100.0,32550.0,3410.0
6,0.06,32.7602063,35.0224365,470.93,0.0095,0.022,0.9985,0.0,0.04,0.0,2130.0,32630.0,3470.0
7,0.07,32.7602063,35.0224365,470.93,0.00925,0.02175,0.9985,0.0,-0.02,0.02,2030.0,32540.0,3550.0
8,0.08,32.7602063,35.0224365,470.93,0.00925,0.022,0.99875,0.0,-0.02,0.06,2030.0,32530.0,3580.0
9,0.09,32.7602063,35.0224365,470.93,0.00925,0.022,0.9985,0.04,0.06,0.02,2030.0,32600.0,3550.0
10,0.1,32.7602063,35.0224365,470.93,0.009,0.02175,0.9985,0.0,0.0,0.02,2040.0,32530.0,3650.0
11,0.11,32.7602063,35.0224365,470.93,0.00875,0.022,0.99875,-0.04,0.06,0.06,2010.0,32570.0,3600.0
12,0.12,32.7602063,35.0224365,470.93,0.00925,0.022,0.9985,-0.04,0.04,0.0,2010.0,32570.0,3520.0
13,0.13,32.7602063,35.0224365,470.93,0.00925,0.022,0.99875,0.0,0.02,0.04,2070.0,32520.0,3690.0
14,0.14,32.7602063,35.0224365,470.93,0.00875,0.022,0.99875,0.0,0.02,-0.04,2050.0,32540.0,3550.0
15,0.15,32.7602063,35.0224365,470.93,0.009,0.02175,0.99875,-0.02,-0.02,-0.04,2130.0,32540.0,3430.0
16,0.16,32.7602063,35.0224365,470.93,0.00925,0.022,0.9985,-0.04,-0.04,0.06,2120.0,32610.0,3550.0
17,0.17,32.7602063,35.0224365,470.93,0.009,0.022,0.99825,0.04,-0.04,-0.02,2030.0,32530.0,3580.0
18,0.18,32.7602063,35.0224365,470.93,0.00925,0.02225,0.9985,-0.04,-0.04,-0.02,2030.0,32500.0,3590.0
19,0.19,32.7602063,35.0224365,470.93,0.00925,0.022,0.9985,0.0,0.04,0.02,2070.0,32570.0,3570.0
20,0.2,32.7602063,35.0224365,470.93,0.00925,0.022,0.9985,0.0,0.04,0.0,2080.0,32500.0,3640.0
21,0.21,32.7602063,35.0224365,470.93,0.009,0.022,0.99875,-0.02,-0.04,0.0,2110.0,32520.0,3560.0
22,0.22,32.7602063,35.0224365,470.93,0.009,0.022,0.99875,0.04,-0.02,0.0,2100.0,32570.0,3460.0
23,0.23,32.7602063,35.0224365,470.93,0.00925,0.022,0.9985,-0.02,0.04,0.0,2090.0,32570.0,3640.0
24,0.24,32.7602063,35.0224365,470.93,0.00925,0.022,0.9985,-0.04,0.04,0.06,2060.0,32600.0,3540.0
25,0.25,32.7602062,35.0224366,470.93,0.00925,0.022,0.99875,0.02,-0.02,0.0,2120.0,32600.0,3400.0
26,0.26,32.7602062,35.0224366,470.93,0.00925,0.02175,0.99875,0.0,-0.04,0.1,2210.0,32640.0,3490.0
27,0.27,32.7602062,35.0224366,470.93,0.00925,0.022,0.99825,0.0,-0.04,0.02,2090.0,32570.0,3520.0
28,0.28,32.7602062,35.0224366,470.93,0.009,0.022,0.99875,-0.02,0.0,0.0,2110.0,32550.0,3540.0
29,0.29,32.7602062,35.0224366,470.93,0.0095,0.022,0.9985,0.0,-0.02,0.04,2100.0,32630.0,3560.0
30,0.3,32.7602062,35.0224366,470.93,0.00925,0.02175,0.99825,-0.02,0.04,-0.02,2070.0,32540.0,3640.0
31,0.31,32.7602062,35.0224366,470.93,0.009,0.02175,0.9985,0.04,0.06,0.0,2070.0,32540.0,3620.0
32,0.32,32.7602062,35.0224366,470.93,0.0095,0.02175,0.99825,0.0,-0.02,0.0,2090.0,32560.0,3550.0
33,0.33,32.7602062,35.0224366,470.93,0.0095,0.02175,0.9985,-0.04,0.02,-0.06,2080.0,32540.0,3700.0
34,0.34,32.7602062,35.0224366,470.93,0.009,0.02175,0.99875,0.0,0.0,0.0,2090.0,32500.0,3620.0
35,0.35000000000000003,32.7602062,35.0224366,470.93,0.00925,0.02175,0.99875,0.06,-0.02,0.04,2180.0,32480.0,3440.0
36,0.36,32.7602062,35.0224366,470.93,0.0095,0.02175,0.9985,0.04,0.0,0.04,2240.0,32530.0,3540.0
37,0.37,32.7602062,35.0224366,470.93,0.009,0.022,0.9985,0.04,0.0,0.0,2130.0,32430.0,3490.0
38,0.38,32.7602062,35.0224366,470.93,0.009,0.022,0.9985,-0.06,0.0,-0.02,1980.0,32330.0,3540.0
39,0.39,32.7602062,35.0224366,470.93,0.00925,0.022,0.9985,0.0,0.04,-0.02,1900.0,32420.0,3580.0
40,0.4,32.7602062,35.0224366,470.93,0.00925,0.022,0.9985,0.0,-0.02,-0.02,1840.0,32270.0,3680.0
41,0.41000000000000003,32.7602062,35.0224366,470.93,0.009,0.02225,0.9985,-0.08,-0.02,-0.02,1830.0,32250.0,3650.0
42,0.42,32.7602062,35.0224366,470.93,0.009,0.022,0.9985,0.0,-0.06,-0.02,1780.0,32340.0,3600.0
43,0.43,32.7602062,35.0224366,470.93,0.00925,0.022,0.99875,-0.02,0.0,-0.06,1720.0,32290.0,3820.0
44,0.44,32.7602062,35.0224366,470.93,0.009,0.022,0.9985,-0.04,0.04,-0.1,1690.0,32300.0,3800.0
45,0.45,32.7602062,35.0224366,470.94,0.00925,0.022,0.9985,0.04,0.04,0.06,1890.0,32410.0,3560.0
46,0.46,32.7602062,35.0224366,470.94,0.00925,0.02175,0.99875,-0.06,-0.02,0.04,2030.0,32500.0,3650.0
47,0.47000000000000003,32.7602062,35.0224366,470.94,0.00925,0.0215,0.9985,-0.02,0.0,0.0,2000.0,32490.0,3600.0
48,0.48,32.7602062,35.0224366,470.94,0.0095,0.02175,0.9985,0.0,-0.02,-0.02,2000.0,32530.0,3570.0
49,0.49,32.7602062,35.0224366,470.94,0.0095,0.02175,0.9985,0.04,0.02,0.04,2050.0,32640.0,3620.0
50,0.5,32.7602062,35.0224366,470.94,0.00925,0.022,0.99825,0.04,0.06,-0.04,2000.0,32520.0,3650.0
51,0.51,32.7602062,35.0224366,470.94,0.009,0.022,0.9985,0.02,0.02,-0.02,2010.0,32520.0,3620.0
52,0.52,32.7602062,35.0224366,470.94,0.00925,0.02225,0.99875,0.04,0.0,0.0,2020.0,32610.0,3540.0
53,0.53,32.7602062,35.0224366,470.94,0.00925,0.022,0.9985,-0.04,0.0,0.04,2010.0,32530.0,3720.0
54,0.54,32.7602062,35.0224366,470.94,0.009,0.022,0.9985,-0.02,0.06,0.0,2010.0,32490.0,3660.0
55,0.55,32.7602062,35.0224366,470.94,0.00925,0.02225,0.9985,0.08,0.02,0.0,2040.0,32500.0,3510.0
56,0.56,32.7602062,35.0224366,470.94,0.009,0.022,0.9985,0.04,0.02,0.04,2060.0,32500.0,3710.0
57,0.5700000000000001,32.7602062,35.0224366,470.94,0.009,0.02175,0.9985,0.02,0.0,0.0,2020.0,32450.0,3640.0
58,0.58,32.7602062,35.0224366,470.94,0.0095,0.02175,0.9985,0.04,0.02,-0.02,2060.0,32430.0,3600.0
59,0.59,32.7602062,35.0224366,470.94,0.00925,0.02175,0.99875,0.0,0.0,0.1,2060.0,32550.0,3630.0
60,0.6,32.7602062,35.0224366,470.94,0.00925,0.0215,0.999,0.04,-0.02,0.02,1990.0,32490.0,3690.0
61,0.61,32.7602062,35.0224366,470.94,0.00925,0.02175,0.99875,0.02,0.02,0.0,2020.0,32530.0,3600.0
62,0.62,32.7602062,35.0224366,470.94,0.0095,0.022,0.99875,0.04,-0.02,0.04,2040.0,32600.0,3510.0
63,0.63,32.7602062,35.0224366,470.94,0.0095,0.022,0.99875,0.02,0.08,-0.08,2010.0,32500.0,3690.0
64,0.64,32.7602062,35.0224366,470.94,0.009,0.022,0.9985,-0.04,-0.02,0.06,1980.0,32530.0,3650.0
65,0.65,32.7602062,35.0224366,470.94,0.00925,0.02225,0.9985,-0.02,0.02,0.04,2060.0,32590.0,3440.0
66,0.66,32.7602062,35.0224366,470.94,0.0095,0.022,0.99875,0.0,-0.02,0.02,2140.0,32620.0,3490.0
67,0.67,32.7602062,35.0224366,470.94,0.00925,0.022,0.99875,-0.08,-0.02,0.04,2120.0,32600.0,3360.0
68,0.68,32.7602062,35.0224366,470.94,0.00925,0.02225,0.99875,0.04,0.06,0.02,2160.0,32540.0,3360.0
69,0.6900000000000001,32.7602062,35.0224366,470.94,0.0095,0.022,0.9985,-0.08,-0.02,0.04,2140.0,32660.0,3440.0
70,0.7000000000000001,32.7602062,35.0224366,470.94,0.00925,0.02175,0.99875,0.06,0.04,0.0,2100.0,32590.0,3470.0
71,0.71,32.7602062,35.0224366,470.94,0.00925,0.02175,0.9985,0.0,0.02,0.04,2060.0,32580.0,3500.0
72,0.72,32.7602062,35.0224366,470.94,0.00925,0.02175,0.99875,-0.02,0.02,0.02,2040.0,32630.0,3470.0
73,0.73,32.7602062,35.0224366,470.94,0.00925,0.0215,0.9985,0.04,0.06,-0.02,2040.0,32520.0,3670.0
74,0.74,32.7602062,35.0224366,470.94,0.009,0.02175,0.9985,0.04,0.0,0.04,2030.0,32490.0,3620.0
75,0.75,32.7602062,35.0224366,470.94,0.0095,0.02225,0.9985,0.0,0.02,0.06,2060.0,32540.0,3450.0
76,0.76,32.7602062,35.0224366,470.94,0.0095,0.022,0.9985,-0.04,0.02,0.02,2140.0,32600.0,3530.0
77,0.77,32.7602062,35.0224366,470.94,0.009,0.022,0.99875,-0.04,0.02,-0.02,2110.0,32560.0,3430.0
