,Time_Sample [sec],Lat_GNSS [deg],Long_GNSS [deg],Height_GNSS [m],Acc_X [g],Acc_Y [g],Acc_Z [g],Gyro_X [dps],Gyro_Y [dps],Gyro_Z [dps],Magn_X [nT],Magn_Y [nT],Magn_Z [nT]
0,0.0,32.760369,35.0226217,470.51,0.002,0.01325,0.999,-0.02,0.02,0.06,-39570.0,-1090.0,4570.0
1,0.01,32.760369,35.0226217,470.51,0.002,0.0135,0.9985,0.0,-0.06,-0.04,-39620.0,-1130.0,4610.0
2,0.02,32.760369,35.0226217,470.51,0.0025,0.013,0.999,-0.02,0.02,-0.02,-39650.0,-1060.0,4730.0
3,0.03,32.760369,35.0226217,470.51,0.002,0.01325,0.9985,-0.06,0.0,0.02,-39680.0,-1080.0,4660.0
4,0.04,32.760369,35.0226217,470.51,0.0025,0.01325,0.99875,0.0,0.0,-0.02,-39700.0,-1050.0,4580.0
5,0.05,32.760369,35.0226217,470.51,0.00225,0.013,0.999,0.0,-0.08,0.02,-39690.0,-1040.0,4730.0
6,0.06,32.760369,35.0226217,470.51,0.002,0.01325,0.99875,-0.02,0.0,0.06,-39720.0,-1120.0,4720.0
7,0.07,32.760369,35.0226217,470.51,0.00225,0.013,0.99875,0.0,-0.04,-0.06,-39680.0,-1080.0,4550.0
8,0.08,32.760369,35.0226217,470.51,0.00225,0.013,0.99875,0.04,-0.02,0.02,-39680.0,-1070.0,4720.0
9,0.09,32.760369,35.0226217,470.51,0.00225,0.01325,0.999,-0.04,0.0,0.0,-39670.0,-1090.0,4610.0
10,0.1,32.760369,35.0226217,470.51,0.00225,0.01325,0.99875,0.06,0.02,0.1,-39670.0,-1050.0,4520.0
11,0.11,32.760369,35.0226217,470.51,0.00225,0.013,0.99875,-0.02,0.0,0.08,-39690.0,-1040.0,4670.0
12,0.12,32.760369,35.0226217,470.51,0.002,0.0135,0.99875,0.06,0.06,0.04,-39730.0,-1070.0,4660.0
13,0.13,32.760369,35.0226217,470.51,0.00225,0.01325,0.99875,-0.06,-0.04,-0.06,-39740.0,-1040.0,4600.0
14,0.14,32.760369,35.0226217,470.51,0.00175,0.013,0.99875,0.02,0.04,0.02,-39690.0,-1060.0,4690.0
15,0.15,32.760369,35.0226217,470.51,0.00175,0.01325,0.999,-0.06,0.06,-0.02,-39680.0,-1010.0,4560.0
16,0.16,32.760369,35.0226217,470.51,0.00225,0.01325,0.99875,-0.06,-0.04,-0.04,-39700.0,-940.0,4510.0
17,0.17,32.7603689,35.0226217,470.52,0.00225,0.013,0.99875,0.0,0.02,0.06,-39640.0,-1030.0,4600.0
18,0.18,32.7603689,35.0226217,470.52,0.00175,0.01325,0.99875,-0.02,0.0,0.02,-39650.0,-1030.0,4540.0
19,0.19,32.7603689,35.0226217,470.52,0.0025,0.01325,0.99875,-0.1,0.02,0.02,-39690.0,-1010.0,4550.0
20,0.2,32.7603689,35.0226217,470.52,0.00225,0.013,0.99875,0.0,-0.02,0.02,-39700.0,-1070.0,4670.0
21,0.21,32.7603689,35.0226217,470.52,0.00225,0.01325,0.9985,-0.02,-0.02,0.04,-39710.0,-1050.0,4640.0
22,0.22,32.7603689,35.0226217,470.52,0.00225,0.01325,0.99875,-0.06,0.06,0.02,-39700.0,-1000.0,4570.0
23,0.23,32.7603689,35.0226217,470.52,0.002,0.013,0.99875,-0.04,-0.06,-0.02,-39740.0,-1080.0,4710.0
24,0.24,32.7603689,35.0226217,470.52,0.00225,0.01325,0.99875,-0.08,0.0,-0.04,-39730.0,-1060.0,4660.0
25,0.25,32.7603689,35.0226217,470.52,0.00225,0.01325,0.99875,-0.04,0.0,0.02,-39720.0,-1000.0,4630.0
26,0.26,32.7603689,35.0226217,470.52,0.00225,0.013,0.999,0.0,0.0,0.0,-39730.0,-1080.0,4700.0
27,0.27,32.7603689,35.0226217,470.52,0.00225,0.0135,0.99875,0.0,-0.04,-0.02,-39690.0,-1020.0,4590.0
28,0.28,32.7603689,35.0226217,470.52,0.00225,0.01325,0.99875,0.08,0.04,0.02,-39700.0,-910.0,4590.0
29,0.29,32.7603689,35.0226217,470.52,0.002,0.013,0.99875,-0.04,0.02,0.02,-39710.0,-1010.0,4640.0
30,0.3,32.7603689,35.0226217,470.52,0.00225,0.01325,0.99875,-0.06,0.06,0.0,-39630.0,-1020.0,4540.0
31,0.31,32.7603689,35.0226217,470.52,0.00225,0.013,0.99875,-0.02,-0.08,0.04,-39570.0,-970.0,4500.0
32,0.32,32.7603689,35.0226217,470.52,0.002,0.01325,0.99875,-0.04,0.04,0.02,-39600.0,-1060.0,4540.0
33,0.33,32.7603689,35.0226217,470.52,0.00225,0.01325,0.99875,-0.06,0.08,0.06,-39580.0,-1020.0,4440.0
34,0.34,32.7603689,35.0226217,470.52,0.00225,0.013,0.99875,-0.08,0.0,-0.04,-39540.0,-930.0,4400.0
35,0.35000000000000003,32.7603689,35.0226217,470.52,0.002,0.013,0.99875,0.0,0.0,0.04,-39570.0,-1050.0,4450.0
36,0.36,32.7603689,35.0226217,470.52,0.002,0.01325,0.99875,0.04,0.0,-0.06,-39600.0,-1110.0,4450.0
37,0.37,32.7603689,35.0226216,470.53,0.002,0.013,0.99875,-0.06,-0.04,0.02,-39730.0,-1120.0,4540.0
38,0.38,32.7603689,35.0226216,470.53,0.002,0.01325,0.99875,0.0,0.0,-0.04,-39860.0,-1210.0,4570.0
39,0.39,32.7603689,35.0226216,470.53,0.002,0.01325,0.99875,-0.02,0.02,0.02,-39950.0,-1260.0,4620.0
40,0.4,32.7603689,35.0226216,470.53,0.0025,0.01325,0.99875,-0.02,0.0,0.0,-40000.0,-1240.0,4780.0
41,0.41000000000000003,32.7603689,35.0226216,470.53,0.00225,0.013,0.99875,-0.04,0.04,0.02,-40090.0,-1320.0,4810.0
42,0.42,32.7603689,35.0226216,470.53,0.0025,0.01325,0.99875,0.04,0.02,0.02,-40060.0,-1330.0,4750.0
43,0.43,32.7603689,35.0226216,470.53,0.00225,0.013,0.99875,0.02,-0.02,0.02,-40030.0,-1210.0,4810.0
44,0.44,32.7603689,35.0226216,470.53,0.00225,0.013,0.99875,0.02,0.02,-0.02,-39910.0,-1190.0,4710.0
45,0.45,32.7603689,35.0226216,470.53,0.00225,0.0135,0.99875,-0.02,0.0,0.0,-39790.0,-1140.0,4570.0
46,0.46,32.7603689,35.0226216,470.53,0.00225,0.013,0.99875,-0.02,0.02,-0.02,-39730.0,-1020.0,4640.0
47,0.47000000000000003,32.7603689,35.0226216,470.53,0.002,0.0135,0.999,-0.02,0.06,0.0,-39680.0,-1010.0,4490.0
48,0.48,32.7603689,35.0226216,470.53,0.00225,0.01325,0.9985,-0.02,0.0,-0.02,-39620.0,-1020.0,4390.0
49,0.49,32.7603689,35.0226216,470.53,0.00225,0.013,0.99875,0.04,0.02,0.0,-39630.0,-980.0,4520.0
50,0.5,32.7603689,35.0226216,470.53,0.002,0.013,0.99875,0.04,0.02,0.0,-39640.0,-1060.0,4500.0
51,0.51,32.7603689,35.0226216,470.53,0.00225,0.01325,0.99875,0.04,0.04,0.0,-39650.0,-1100.0,4470.0
52,0.52,32.7603689,35.0226216,470.53,0.00225,0.013,0.9985,0.04,-0.02,0.02,-39620.0,-1060.0,4590.0
53,0.53,32.7603689,35.0226216,470.53,0.00175,0.01325,0.99875,0.0,0.08,0.06,-39650.0,-1050.0,4480.0
