,Time_Sample [sec],Lat_GNSS [deg],Long_GNSS [deg],Height_GNSS [m],Acc_X [g],Acc_Y [g],Acc_Z [g],Gyro_X [dps],Gyro_Y [dps],Gyro_Z [dps],Magn_X [nT],Magn_Y [nT],Magn_Z [nT]
0,0.0,32.7602981,35.0225406,469.1,-0.00225,0.00975,0.99875,0.0,0.0,0.0,2440.0,32260.0,3250.0
1,0.01,32.7602981,35.0225406,469.1,-0.0025,0.01,0.99875,0.02,-0.02,0.0,2400.0,32240.0,3190.0
2,0.02,32.7602981,35.0225406,469.1,-0.0025,0.01,0.99875,-0.06,0.04,0.0,2400.0,32240.0,3130.0
3,0.03,32.7602981,35.0225406,469.1,-0.00225,0.00975,0.99875,0.0,0.02,-0.02,2430.0,32300.0,3220.0
4,0.04,32.7602981,35.0225406,469.1,-0.0025,0.01,0.999,0.02,0.04,-0.04,2400.0,32230.0,3180.0
5,0.05,32.7602981,35.0225406,469.1,-0.00225,0.01,0.99925,-0.02,0.02,0.02,2400.0,32220.0,3140.0
6,0.06,32.7602981,35.0225406,469.1,-0.00225,0.00975,0.99875,0.02,-0.02,0.0,2360.0,32280.0,3320.0
7,0.07,32.7602981,35.0225406,469.1,-0.0025,0.00975,0.9985,0.04,0.06,-0.02,2290.0,32220.0,3350.0
8,0.08,32.7602981,35.0225406,469.1,-0.00225,0.01,0.99875,0.02,-0.02,0.0,2290.0,32230.0,3300.0
9,0.09,32.7602981,35.0225406,469.1,-0.0025,0.00975,0.99875,-0.02,-0.06,-0.02,2320.0,32220.0,3440.0
10,0.1,32.7602981,35.0225406,469.1,-0.00275,0.00975,0.99875,0.02,0.04,0.0,2280.0,32170.0,3430.0
11,0.11,32.7602981,35.0225406,469.1,-0.00225,0.01,0.999,-0.04,0.06,0.04,2280.0,32200.0,3370.0
12,0.12,32.7602981,35.0225406,469.1,-0.00225,0.00975,0.99875,0.0,0.02,0.02,2290.0,32220.0,3470.0
13,0.13,32.7602981,35.0225406,469.1,-0.00225,0.01,0.99875,0.06,-0.04,0.08,2280.0,32220.0,3410.0
14,0.14,32.7602981,35.0225406,469.1,-0.0025,0.01,0.99875,0.04,0.02,-0.02,2340.0,32240.0,3270.0
15,0.15,32.7602981,35.0225406,469.1,-0.00225,0.00975,0.99875,-0.06,-0.02,-0.04,2300.0,32210.0,3490.0
16,0.16,32.7602981,35.0225406,469.1,-0.0025,0.01,0.99875,0.0,0.04,0.0,2250.0,32200.0,3480.0
17,0.17,32.7602981,35.0225406,469.1,-0.00225,0.01,0.9985,0.06,0.02,0.0,2240.0,32240.0,3410.0
18,0.18,32.7602981,35.0225406,469.1,-0.00225,0.00975,0.99875,0.0,0.02,-0.02,2260.0,32220.0,3520.0
19,0.19,32.7602981,35.0225406,469.1,-0.0025,0.01,0.99875,-0.08,-0.02,0.0,2280.0,32190.0,3470.0
20,0.2,32.7602981,35.0225406,469.1,-0.002,0.01,0.9985,-0.02,-0.02,0.0,2330.0,32240.0,3360.0
21,0.21,32.7602981,35.0225406,469.1,-0.00225,0.00975,0.999,0.04,0.0,0.04,2300.0,32190.0,3460.0
22,0.22,32.7602981,35.0225406,469.1,-0.0025,0.01,0.99875,-0.1,-0.04,0.0,2270.0,32190.0,3450.0
23,0.23,32.7602981,35.0225406,469.1,-0.00225,0.01,0.99875,0.06,0.06,0.0,2330.0,32240.0,3340.0
24,0.24,32.7602981,35.0225406,469.1,-0.0025,0.00975,0.999,-0.02,-0.06,0.0,2360.0,32190.0,3370.0
25,0.25,32.7602981,35.0225406,469.1,-0.0025,0.01,0.99875,-0.04,0.0,-0.02,2350.0,32250.0,3300.0
26,0.26,32.7602981,35.0225406,469.1,-0.00225,0.01,0.9985,-0.06,0.02,-0.04,2350.0,32310.0,3270.0
27,0.27,32.7602981,35.0225406,469.1,-0.0025,0.00975,0.999,-0.06,0.06,0.02,2370.0,32190.0,3330.0
28,0.28,32.7602981,35.0225406,469.1,-0.00275,0.01,0.99875,-0.08,0.0,-0.06,2350.0,32160.0,3350.0
29,0.29,32.7602981,35.0225406,469.1,-0.00225,0.01,0.99875,0.0,-0.02,0.0,2350.0,32230.0,3350.0
30,0.3,32.7602981,35.0225406,469.1,-0.00275,0.01,0.999,0.02,0.0,0.02,2270.0,32150.0,3430.0
31,0.31,32.7602981,35.0225406,469.1,-0.0025,0.01,0.99875,0.0,0.02,0.04,2280.0,32190.0,3380.0
32,0.32,32.7602981,35.0225406,469.1,-0.0025,0.00975,0.999,-0.02,0.04,0.0,2290.0,32250.0,3390.0
33,0.33,32.7602981,35.0225406,469.1,-0.0025,0.00975,0.999,0.08,0.0,0.02,2310.0,32120.0,3350.0
34,0.34,32.7602981,35.0225406,469.1,-0.0025,0.01025,0.99875,-0.02,0.02,0.06,2370.0,32180.0,3200.0
35,0.35000000000000003,32.7602981,35.0225406,469.1,-0.00225,0.00975,0.99875,-0.02,0.04,0.02,2390.0,32270.0,3220.0
36,0.36,32.7602981,35.0225406,469.1,-0.00225,0.00975,0.99875,-0.02,0.04,-0.04,2380.0,32160.0,3200.0
37,0.37,32.7602981,35.0225406,469.1,-0.0025,0.01,0.99875,-0.02,0.0,0.04,2410.0,32140.0,3160.0
38,0.38,32.7602981,35.0225406,469.1,-0.00225,0.00975,0.99875,-0.06,0.0,0.0,2440.0,32210.0,3190.0
39,0.39,32.7602981,35.0225406,469.1,-0.0025,0.01,0.999,-0.04,0.04,0.04,2410.0,32210.0,3140.0
40,0.4,32.7602981,35.0225406,469.1,-0.00225,0.01,0.99875,0.02,-0.06,-0.08,2380.0,32270.0,3050.0
41,0.41000000000000003,32.7602981,35.0225406,469.1,-0.0025,0.00975,0.99875,0.0,-0.02,0.02,2400.0,32300.0,3140.0
42,0.42,32.7602981,35.0225406,469.1,-0.0025,0.00975,0.99875,0.02,0.04,-0.04,2360.0,32220.0,3130.0
43,0.43,32.7602981,35.0225406,469.1,-0.00225,0.01025,0.9985,0.08,0.06,0.1,2370.0,32240.0,3060.0
44,0.44,32.7602981,35.0225406,469.1,-0.00225,0.00975,0.999,-0.06,-0.02,0.02,2390.0,32340.0,3130.0
45,0.45,32.7602981,35.0225406,469.1,-0.0025,0.01,0.999,-0.02,0.0,-0.02,2340.0,32270.0,3080.0
46,0.46,32.7602981,35.0225406,469.1,-0.0025,0.01025,0.99875,0.04,0.02,0.08,2310.0,32240.0,3070.0
47,0.47000000000000003,32.7602981,35.0225406,469.1,-0.0025,0.00975,0.99875,-0.04,0.0,-0.04,2290.0,32210.0,3280.0
48,0.48,32.7602981,35.0225406,469.1,-0.0025,0.01,0.99875,-0.06,0.02,0.04,2210.0,32170.0,3300.0
49,0.49,32.7602981,35.0225406,469.1,-0.00225,0.01,0.9985,-0.04,0.02,0.04,2190.0,32190.0,3240.0
50,0.5,32.7602981,35.0225406,469.1,-0.00225,0.00975,0.99875,-0.02,-0.02,0.02,2180.0,32230.0,3380.0
51,0.51,32.7602981,35.0225406,469.1,-0.00275,0.01,0.99875,0.02,-0.02,-0.06,2120.0,32140.0,3360.0
52,0.52,32.7602981,35.0225406,469.1,-0.00225,0.01,0.99875,0.04,0.08,0.0,1960.0,32040.0,3390.0
53,0.53,32.7602981,35.0225406,469.1,-0.00225,0.00975,0.99875,-0.1,0.0,0.06,1880.0,32050.0,3520.0
54,0.54,32.7602981,35.0225406,469.1,-0.0025,0.01,0.999,-0.06,0.02,-0.02,1820.0,32020.0,3480.0
55,0.55,32.7602981,35.0225406,469.1,-0.002,0.01,0.999,0.0,0.02,0.0,1780.0,32000.0,3460.0
56,0.56,32.7602981,35.0225406,469.1,-0.0025,0.0095,0.99875,0.02,0.08,-0.02,1740.0,31980.0,3630.0
57,0.5700000000000001,32.7602981,35.0225406,469.1,-0.0025,0.01,0.999,-0.08,0.04,0.0,1780.0,32000.0,3560.0
58,0.58,32.7602981,35.0225406,469.1,-0.00225,0.01,0.99875,0.02,0.02,-0.02,1940.0,32150.0,3360.0
59,0.59,32.7602981,35.0225406,469.1,-0.00225,0.00975,0.99875,0.0,-0.02,0.04,2010.0,32160.0,3450.0
60,0.6,32.7602981,35.0225406,469.1,-0.0025,0.01,0.999,-0.06,0.02,0.02,2090.0,32140.0,3350.0
61,0.61,32.7602981,35.0225406,469.1,-0.00225,0.01,0.99875,0.0,0.02,-0.02,2110.0,32200.0,3270.0
62,0.62,32.7602981,35.0225406,469.1,-0.0025,0.00975,0.999,-0.02,0.0,0.0,2110.0,32180.0,3360.0
63,0.63,32.7602981,35.0225406,469.1,-0.0025,0.01025,0.99875,-0.04,-0.04,0.04,2140.0,32170.0,3310.0
64,0.64,32.7602981,35.0225406,469.1,-0.00225,0.01,0.99875,0.02,-0.02,0.0,2230.0,32210.0,3130.0
65,0.65,32.7602981,35.0225406,469.1,-0.0025,0.00975,0.999,-0.02,-0.02,-0.04,2280.0,32160.0,3180.0
