Lat_GNSS,Long_GNSS,Height_GNSS,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magn_X,Magn_Y,Magn_Z
32.7602994,35.02254,468.82,0.0005,0.0145,0.9985,0.04,0.06,-0.02,810.0,34150.0,2810.0
32.7602994,35.02254,468.82,0.001,0.01425,0.99875,-0.02,-0.02,-0.02,820.0,34230.0,2750.0
32.7602994,35.02254,468.82,0.00075,0.014,0.999,0.04,0.0,0.06,800.0,34120.0,2850.0
32.7602994,35.02254,468.82,0.0005,0.0145,0.99875,-0.02,-0.02,0.02,800.0,34130.0,2820.0
32.7602993,35.02254,468.82,0.00075,0.01425,0.99875,0.0,0.08,-0.02,880.0,34200.0,2710.0
32.7602993,35.02254,468.82,0.00075,0.01425,0.9985,0.02,-0.02,0.02,920.0,34120.0,2690.0
32.7602993,35.02254,468.82,0.00075,0.0145,0.99875,0.02,-0.02,0.04,950.0,34120.0,2630.0
32.7602993,35.02254,468.82,0.001,0.0145,0.9985,-0.06,0.0,0.0,990.0,34200.0,2610.0
32.7602993,35.02254,468.82,0.00075,0.01425,0.99875,-0.04,0.0,0.02,970.0,34110.0,2620.0
32.7602993,35.02254,468.82,0.00075,0.0145,0.99875,0.0,0.04,0.02,990.0,34120.0,2570.0
32.7602993,35.02254,468.82,0.001,0.0145,0.9985,-0.1,-0.04,-0.02,1020.0,34180.0,2600.0
32.7602993,35.02254,468.82,0.00075,0.01425,0.99875,-0.02,0.02,0.04,1010.0,34090.0,2580.0
32.7602993,35.02254,468.82,0.00075,0.0145,0.99875,0.02,0.02,0.02,1020.0,34100.0,2540.0
32.7602993,35.02254,468.82,0.00075,0.014,0.9985,0.0,0.02,0.02,1030.0,34210.0,2600.0
32.7602993,35.02254,468.82,0.0005,0.014,0.99875,-0.06,-0.02,0.02,990.0,34120.0,2580.0
32.7602993,35.02254,468.82,0.0005,0.0145,0.9985,0.04,0.04,0.02,1000.0,34100.0,2560.0
32.7602993,35.02254,468.82,0.001,0.01425,0.999,-0.04,0.02,0.02,940.0,34140.0,2760.0
32.7602993,35.02254,468.82,0.0005,0.01425,0.999,0.04,0.06,-0.02,850.0,34100.0,2810.0
32.7602993,35.02254,468.82,0.00075,0.0145,0.99875,0.0,0.0,0.04,830.0,34120.0,2760.0
32.7602993,35.02254,468.82,0.001,0.01425,0.99875,-0.04,0.0,0.02,860.0,34150.0,2840.0
32.7602993,35.02254,468.82,0.00025,0.0145,0.99875,-0.02,-0.02,0.02,870.0,34080.0,2760.0
32.7602993,35.02254,468.82,0.00075,0.01475,0.9985,0.04,0.08,0.0,880.0,34080.0,2710.0
32.7602993,35.02254,468.82,0.001,0.0145,0.99875,0.0,0.02,-0.02,870.0,34130.0,2850.0
32.7602993,35.02254,468.82,0.0005,0.0145,0.99875,-0.04,0.0,-0.02,800.0,34110.0,2830.0
32.7602993,35.02254,468.82,0.00075,0.0145,0.99875,-0.04,-0.02,0.04,860.0,34120.0,2700.0
32.7602993,35.02254,468.82,0.00075,0.01425,0.99875,0.02,-0.02,0.04,900.0,34130.0,2790.0
32.7602993,35.02254,468.82,0.0005,0.01425,0.99875,-0.02,0.0,0.02,870.0,34070.0,2770.0
32.7602993,35.02254,468.82,0.00075,0.01425,0.99875,-0.04,0.0,0.04,840.0,34100.0,2740.0
32.7602993,35.02254,468.82,0.00075,0.014,0.999,-0.06,0.02,0.04,820.0,34110.0,2900.0
32.7602993,35.02254,468.82,0.0005,0.01425,0.9985,0.0,0.04,0.06,780.0,34140.0,2850.0
32.7602993,35.02254,468.82,0.00075,0.01425,0.99875,-0.04,0.02,0.0,780.0,34130.0,2790.0
32.7602993,35.02254,468.82,0.0005,0.014,0.999,0.04,0.06,-0.02,790.0,34090.0,2900.0
32.7602993,35.02254,468.82,0.0005,0.0145,0.99875,0.0,0.04,0.04,790.0,34100.0,2820.0
32.7602993,35.02254,468.82,0.001,0.01425,0.99875,-0.06,0.02,0.02,790.0,34160.0,2760.0
32.7602993,35.02254,468.82,0.00075,0.01425,0.99875,0.0,0.02,0.02,770.0,34140.0,2850.0
32.7602993,35.02254,468.82,0.00075,0.0145,0.999,0.02,-0.02,0.02,780.0,34120.0,2790.0
32.7602993,35.02254,468.82,0.00075,0.0145,0.999,-0.08,-0.04,-0.04,770.0,34180.0,2790.0
32.7602993,35.02254,468.82,0.0005,0.01425,0.99875,-0.02,0.02,0.0,770.0,34110.0,2870.0
32.7602993,35.02254,468.82,0.0005,0.0145,0.99875,-0.04,0.02,-0.06,750.0,34120.0,2830.0
32.7602993,35.02254,468.82,0.00075,0.0145,0.9985,0.04,0.04,-0.02,750.0,34200.0,2790.0
32.7602993,35.02254,468.82,0.0005,0.014,0.99875,-0.02,0.0,0.06,720.0,34130.0,2870.0
32.7602993,35.02254,468.82,0.0005,0.0145,0.99875,-0.04,-0.02,0.0,770.0,34150.0,2760.0
