,Time_Sample [sec],Lat_GNSS [deg],Long_GNSS [deg],Height_GNSS [m],Acc_X [g],Acc_Y [g],Acc_Z [g],Gyro_X [dps],Gyro_Y [dps],Gyro_Z [dps],Magn_X [nT],Magn_Y [nT],Magn_Z [nT]
0,0.0,32.7603063,35.0225407,470.75,-0.00525,0.0165,0.9985,0.02,-0.02,-0.04,-110.0,34870.0,3480.0
1,0.01,32.7603063,35.0225407,470.75,-0.00525,0.01625,0.99875,0.04,0.04,-0.04,-130.0,34840.0,3590.0
2,0.02,32.7603063,35.0225407,470.75,-0.00575,0.0165,0.99875,-0.04,0.0,0.0,-90.0,34810.0,3520.0
3,0.03,32.7603063,35.0225407,470.75,-0.0055,0.01625,0.99875,-0.06,0.02,0.02,-90.0,34910.0,3510.0
4,0.04,32.7603063,35.0225407,470.75,-0.0055,0.01625,0.99875,-0.04,-0.06,0.02,-130.0,34840.0,3580.0
5,0.05,32.7603063,35.0225407,470.75,-0.0055,0.0165,0.99875,0.0,0.04,-0.02,-120.0,34810.0,3570.0
6,0.06,32.7603062,35.0225407,470.77,-0.00525,0.01625,0.99875,-0.02,0.06,0.02,-40.0,34920.0,3460.0
7,0.07,32.7603062,35.0225407,470.77,-0.0055,0.01625,0.99875,0.0,0.02,0.04,-60.0,34860.0,3470.0
8,0.08,32.7603062,35.0225407,470.77,-0.0055,0.01675,0.99875,0.0,0.04,0.04,-70.0,34840.0,3480.0
9,0.09,32.7603062,35.0225407,470.77,-0.0055,0.01625,0.99875,0.0,0.08,-0.04,-60.0,34900.0,3550.0
10,0.1,32.7603062,35.0225407,470.77,-0.0055,0.01625,0.99875,0.04,-0.02,0.0,-100.0,34810.0,3580.0
11,0.11,32.7603062,35.0225407,470.77,-0.0055,0.0165,0.99875,-0.06,-0.02,0.0,-80.0,34770.0,3550.0
12,0.12,32.7603062,35.0225407,470.77,-0.005,0.01625,0.99875,-0.02,0.04,0.0,-70.0,34830.0,3630.0
13,0.13,32.7603062,35.0225407,470.77,-0.00525,0.0165,0.99875,-0.06,0.02,-0.02,-130.0,34850.0,3600.0
14,0.14,32.7603062,35.0225407,470.77,-0.00525,0.0165,0.999,-0.02,-0.02,0.02,-110.0,34870.0,3530.0
15,0.15,32.7603062,35.0225407,470.77,-0.005,0.01625,0.99875,0.0,0.02,0.04,-60.0,34880.0,3620.0
16,0.16,32.7603062,35.0225407,470.77,-0.0055,0.0165,0.99875,-0.06,0.08,-0.04,-50.0,34870.0,3490.0
17,0.17,32.7603062,35.0225407,470.77,-0.0055,0.0165,0.99875,0.0,0.02,-0.02,-20.0,34850.0,3440.0
18,0.18,32.7603062,35.0225407,470.77,-0.005,0.01625,0.99875,0.02,-0.04,0.04,0.0,34880.0,3550.0
19,0.19,32.7603062,35.0225407,470.77,-0.0055,0.01625,0.99875,-0.02,0.02,-0.06,-60.0,34880.0,3510.0
20,0.2,32.7603062,35.0225407,470.77,-0.00525,0.0165,0.9985,-0.02,0.04,0.02,-50.0,34800.0,3490.0
21,0.21,32.7603062,35.0225407,470.77,-0.0055,0.01625,0.99875,0.0,-0.02,0.06,-150.0,34710.0,3680.0
22,0.22,32.7603062,35.0225407,470.77,-0.0055,0.01625,0.9985,-0.02,0.0,-0.02,-330.0,34640.0,3700.0
23,0.23,32.7603062,35.0225407,470.77,-0.00525,0.0165,0.9985,-0.02,0.02,0.02,-400.0,34670.0,3660.0
