Lat_GNSS,Long_GNSS,Height_GNSS,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magn_X,Magn_Y,Magn_Z
32.7602783,35.0225208,471.43,0.00425,0.012,0.99875,0.0,0.02,0.02,-7870.0,41070.0,2310.0
32.7602783,35.0225208,471.43,0.00375,0.012,0.9985,-0.04,-0.02,0.0,-7930.0,40990.0,2300.0
32.7602783,35.0225208,471.43,0.004,0.012,0.9985,0.0,-0.02,0.0,-7950.0,40950.0,2340.0
32.7602783,35.0225208,471.43,0.00425,0.012,0.99875,0.0,0.08,-0.02,-7930.0,41030.0,2410.0
32.7602783,35.0225208,471.43,0.00375,0.01175,0.99875,-0.1,-0.04,0.02,-7960.0,40950.0,2440.0
32.7602783,35.0225208,471.43,0.004,0.01225,0.99875,-0.02,0.02,0.0,-7940.0,40980.0,2410.0
32.7602783,35.0225208,471.43,0.00425,0.012,0.99875,-0.06,0.0,0.02,-7950.0,41110.0,2380.0
32.7602783,35.0225208,471.43,0.00375,0.012,0.99875,0.02,0.06,-0.02,-7980.0,40990.0,2480.0
32.7602783,35.0225208,471.43,0.004,0.012,0.99875,0.02,0.04,0.04,-7960.0,40960.0,2470.0
32.7602783,35.0225208,471.43,0.004,0.012,0.999,0.0,0.0,0.04,-7890.0,41040.0,2340.0
32.7602783,35.0225208,471.43,0.004,0.01175,0.99875,-0.02,0.02,-0.06,-7910.0,40960.0,2470.0
32.7602783,35.0225208,471.43,0.004,0.01225,0.99875,0.02,-0.02,0.02,-7920.0,40970.0,2430.0
32.7602783,35.0225208,471.43,0.004,0.012,0.99875,-0.04,0.0,0.02,-7880.0,41030.0,2310.0
32.7602783,35.0225208,471.43,0.004,0.01175,0.999,-0.02,0.04,0.02,-7890.0,40970.0,2490.0
32.7602783,35.0225208,471.43,0.004,0.012,0.99875,-0.06,0.0,0.02,-7910.0,40970.0,2470.0
32.7602783,35.0225208,471.43,0.004,0.01225,0.99875,-0.06,-0.04,-0.02,-7860.0,41050.0,2280.0
32.7602783,35.0225208,471.43,0.004,0.012,0.9985,-0.02,0.02,-0.02,-7810.0,41020.0,2370.0
32.7602783,35.0225208,471.43,0.00425,0.012,0.99875,0.0,0.02,0.02,-7830.0,40980.0,2330.0
32.7602783,35.0225208,471.43,0.00425,0.01225,0.99875,0.02,0.04,-0.02,-7870.0,41030.0,2300.0
32.7602782,35.0225208,471.41,0.00425,0.012,0.9985,0.0,0.02,0.06,-7820.0,41070.0,2420.0
32.7602782,35.0225208,471.41,0.00375,0.012,0.9985,-0.02,0.02,-0.02,-7810.0,41020.0,2310.0
32.7602782,35.0225208,471.41,0.00425,0.012,0.9985,0.06,0.04,-0.02,-7840.0,41010.0,2290.0
32.7602782,35.0225208,471.41,0.00425,0.012,0.99875,0.12,0.04,0.02,-7840.0,41040.0,2460.0
32.7602782,35.0225208,471.41,0.004,0.012,0.99875,-0.04,-0.06,-0.06,-7880.0,40990.0,2430.0
32.7602782,35.0225208,471.41,0.004,0.01225,0.99875,0.0,0.0,-0.02,-7880.0,41000.0,2370.0
32.7602782,35.0225208,471.41,0.00425,0.012,0.999,-0.02,0.0,0.0,-7840.0,41110.0,2410.0
32.7602782,35.0225208,471.41,0.004,0.012,0.99875,0.02,0.04,0.04,-7880.0,41010.0,2420.0
32.7602782,35.0225208,471.41,0.004,0.01225,0.999,0.02,0.06,0.02,-7850.0,40970.0,2400.0
32.7602782,35.0225208,471.41,0.004,0.012,0.999,0.02,-0.04,0.08,-7840.0,41040.0,2450.0
32.7602782,35.0225208,471.41,0.004,0.01175,0.99875,-0.02,0.0,0.04,-7830.0,40990.0,2400.0
32.7602782,35.0225208,471.41,0.004,0.012,0.999,0.02,-0.02,-0.02,-7790.0,40970.0,2360.0
32.7602782,35.0225208,471.41,0.0045,0.012,0.9985,-0.04,0.02,-0.02,-7820.0,41070.0,2360.0
32.7602782,35.0225208,471.41,0.004,0.012,0.99875,0.02,0.08,0.02,-7840.0,40980.0,2450.0
32.7602782,35.0225208,471.41,0.004,0.012,0.99875,-0.04,0.04,0.04,-7830.0,40940.0,2450.0
32.7602782,35.0225208,471.41,0.004,0.01225,0.999,0.1,-0.02,-0.02,-7820.0,41020.0,2400.0
32.7602782,35.0225208,471.41,0.004,0.01175,0.99875,-0.04,0.04,0.04,-7830.0,40940.0,2490.0
32.7602782,35.0225208,471.41,0.004,0.012,0.99875,0.02,0.02,0.0,-7800.0,40940.0,2440.0
32.7602782,35.0225208,471.41,0.00425,0.012,0.99875,0.0,-0.04,-0.04,-7770.0,41000.0,2320.0
32.7602782,35.0225208,471.41,0.004,0.012,0.99875,-0.06,-0.02,0.0,-7770.0,40900.0,2500.0
32.7602782,35.0225208,471.41,0.00375,0.012,0.99875,0.0,0.02,0.02,-7740.0,40900.0,2400.0
32.7602783,35.0225207,471.38,0.0045,0.012,0.9985,0.0,0.0,0.0,-7660.0,40970.0,2210.0
32.7602783,35.0225207,471.38,0.004,0.012,0.99875,0.08,0.0,0.02,-7620.0,40970.0,2320.0
32.7602783,35.0225207,471.38,0.00375,0.012,0.99875,-0.02,0.06,0.0,-7630.0,40990.0,2220.0
32.7602783,35.0225207,471.38,0.00425,0.01225,0.99875,-0.02,0.0,-0.02,-7690.0,41040.0,2200.0
32.7602783,35.0225207,471.38,0.004,0.012,0.9985,-0.02,-0.06,0.02,-7740.0,41030.0,2420.0
32.7602783,35.0225207,471.38,0.00375,0.012,0.999,-0.04,0.02,-0.04,-7790.0,40970.0,2420.0
32.7602783,35.0225207,471.38,0.004,0.01225,0.99875,0.02,0.02,-0.02,-7800.0,40990.0,2360.0
32.7602783,35.0225207,471.38,0.00425,0.01175,0.9985,0.04,0.04,0.04,-7780.0,41020.0,2510.0
32.7602783,35.0225207,471.38,0.004,0.012,0.99875,0.04,0.0,-0.04,-7820.0,40930.0,2480.0
32.7602783,35.0225207,471.38,0.00425,0.012,0.99875,-0.06,0.0,0.08,-7770.0,40930.0,2400.0
32.7602783,35.0225207,471.38,0.00425,0.012,0.99875,0.04,0.02,0.04,-7720.0,40960.0,2490.0
32.7602783,35.0225207,471.38,0.00425,0.012,0.999,-0.04,0.06,-0.02,-7790.0,40870.0,2520.0
32.7602783,35.0225207,471.38,0.004,0.01225,0.99875,-0.04,-0.02,-0.04,-7750.0,40900.0,2440.0
32.7602783,35.0225207,471.38,0.004,0.01175,0.99875,-0.02,0.04,0.06,-7770.0,41070.0,2470.0
32.7602783,35.0225207,471.38,0.004,0.012,0.999,-0.08,0.0,-0.04,-7820.0,41020.0,2480.0
32.7602783,35.0225207,471.38,0.004,0.01225,0.99875,0.02,0.02,0.04,-7820.0,40990.0,2470.0
32.7602783,35.0225207,471.38,0.0045,0.012,0.99875,0.02,0.02,-0.02,-7740.0,41020.0,2450.0
32.7602783,35.0225207,471.38,0.00425,0.012,0.999,-0.08,0.0,0.08,-7770.0,40930.0,2490.0
32.7602783,35.0225207,471.38,0.004,0.012,0.99875,0.0,0.02,-0.06,-7820.0,40980.0,2520.0
32.7602783,35.0225207,471.35,0.0045,0.012,0.999,0.02,0.0,0.06,-7820.0,41160.0,2430.0
32.7602783,35.0225207,471.35,0.004,0.01175,0.9985,0.06,0.02,-0.02,-7850.0,41110.0,2530.0
32.7602783,35.0225207,471.35,0.00375,0.012,0.99875,-0.06,0.02,0.04,-7850.0,41100.0,2490.0
32.7602783,35.0225207,471.35,0.00425,0.012,0.99875,-0.06,0.02,-0.02,-7870.0,41260.0,2400.0
32.7602783,35.0225207,471.35,0.004,0.01175,0.999,-0.02,-0.02,0.0,-7940.0,41210.0,2590.0
32.7602783,35.0225207,471.35,0.004,0.01225,0.99875,0.04,0.0,0.0,-7940.0,41110.0,2590.0
32.7602783,35.0225207,471.35,0.00425,0.012,0.9985,0.04,0.02,-0.04,-7900.0,41110.0,2470.0
32.7602783,35.0225207,471.35,0.004,0.01175,0.99875,0.0,-0.04,0.06,-7880.0,41020.0,2610.0
32.7602783,35.0225207,471.35,0.004,0.012,0.99875,0.0,0.02,0.0,-7870.0,41000.0,2540.0
32.7602783,35.0225207,471.35,0.00425,0.01225,0.99875,0.04,0.02,0.1,-7870.0,41050.0,2440.0
32.7602783,35.0225207,471.35,0.00425,0.012,0.9985,-0.04,0.04,-0.02,-7800.0,40990.0,2550.0
32.7602783,35.0225207,471.35,0.004,0.012,0.99875,-0.02,0.02,0.0,-7810.0,40930.0,2480.0
32.7602783,35.0225207,471.35,0.004,0.012,0.99875,0.0,0.04,-0.06,-7850.0,40970.0,2450.0
32.7602783,35.0225207,471.35,0.00425,0.012,0.99875,0.06,0.0,0.08,-7830.0,40990.0,2590.0
32.7602783,35.0225207,471.35,0.004,0.012,0.9985,-0.06,0.02,0.02,-7860.0,40920.0,2550.0
32.7602783,35.0225207,471.35,0.00425,0.01225,0.99875,0.04,0.0,-0.02,-7850.0,40910.0,2490.0
32.7602783,35.0225207,471.35,0.004,0.01175,0.99875,-0.06,0.04,-0.06,-7820.0,40970.0,2610.0
32.7602783,35.0225207,471.35,0.00375,0.012,0.9985,-0.04,0.02,-0.02,-7860.0,40970.0,2530.0
32.7602783,35.0225207,471.35,0.004,0.012,0.9985,-0.04,-0.02,-0.04,-7840.0,40990.0,2440.0
32.7602783,35.0225207,471.35,0.00425,0.012,0.99875,0.0,0.0,-0.02,-7820.0,41030.0,2560.0
32.7602783,35.0225207,471.32,0.004,0.012,0.99875,-0.02,0.0,-0.04,-7810.0,40940.0,2470.0
32.7602783,35.0225207,471.32,0.004,0.012,0.99875,-0.02,0.02,0.04,-7750.0,40950.0,2340.0
32.7602783,35.0225207,471.32,0.00425,0.012,0.99875,0.06,0.04,0.0,-7750.0,41030.0,2460.0
32.7602783,35.0225207,471.32,0.004,0.012,0.99875,0.04,0.06,-0.02,-7820.0,40970.0,2450.0
32.7602783,35.0225207,471.32,0.00425,0.01225,0.99875,0.02,0.02,0.02,-7830.0,40940.0,2460.0
32.7602783,35.0225207,471.32,0.004,0.012,0.9985,-0.02,0.06,0.06,-7810.0,41050.0,2510.0
32.7602783,35.0225207,471.32,0.004,0.012,0.99875,0.0,-0.02,0.02,-7960.0,40920.0,2560.0
32.7602783,35.0225207,471.32,0.004,0.01225,0.999,0.02,0.02,0.04,-8080.0,40770.0,2650.0
32.7602783,35.0225207,471.32,0.00425,0.01225,0.99875,0.06,-0.02,0.0,-8130.0,40840.0,2690.0
