,Time_Sample [sec],Lat_GNSS [deg],Long_GNSS [deg],Height_GNSS [m],Acc_X [g],Acc_Y [g],Acc_Z [g],Gyro_X [dps],Gyro_Y [dps],Gyro_Z [dps],Magn_X [nT],Magn_Y [nT],Magn_Z [nT]
0,0.0,32.7602794,35.0225204,471.51,-0.01225,0.00925,0.99875,-0.02,0.04,0.0,-6090.0,39680.0,3090.0
1,0.01,32.7602794,35.0225204,471.51,-0.012,0.00925,0.99875,0.0,0.04,0.04,-6070.0,39650.0,3070.0
2,0.02,32.7602794,35.0225204,471.51,-0.01175,0.00925,0.99875,0.0,0.02,0.02,-6050.0,39740.0,3050.0
3,0.03,32.7602794,35.0225204,471.51,-0.012,0.00925,0.99875,0.0,-0.02,0.06,-6010.0,39680.0,2980.0
4,0.04,32.7602794,35.0225204,471.51,-0.012,0.0095,0.99875,-0.02,-0.02,0.0,-5990.0,39700.0,2950.0
5,0.05,32.7602794,35.0225204,471.51,-0.01175,0.00925,0.999,0.04,0.04,0.1,-6030.0,39800.0,2930.0
6,0.06,32.7602794,35.0225204,471.51,-0.012,0.00925,0.99875,-0.02,-0.02,-0.04,-6060.0,39720.0,3070.0
7,0.07,32.7602794,35.0225204,471.51,-0.012,0.0095,0.99875,-0.04,0.0,-0.02,-6090.0,39760.0,3030.0
8,0.08,32.7602794,35.0225204,471.51,-0.012,0.00925,0.99875,0.02,0.02,0.02,-6080.0,39780.0,2970.0
9,0.09,32.7602794,35.0225204,471.51,-0.01175,0.00925,0.999,-0.02,0.04,-0.06,-6080.0,39690.0,3110.0
10,0.1,32.7602794,35.0225204,471.51,-0.012,0.0095,0.99875,0.02,0.0,-0.04,-6090.0,39680.0,3090.0
11,0.11,32.7602794,35.0225204,471.51,-0.01175,0.0095,0.99875,-0.02,0.04,-0.02,-6090.0,39750.0,2970.0
12,0.12,32.7602794,35.0225204,471.51,-0.012,0.00925,0.99875,-0.06,-0.02,0.04,-6030.0,39710.0,3040.0
13,0.13,32.7602794,35.0225204,471.51,-0.01225,0.0095,0.999,0.06,-0.02,-0.04,-6040.0,39710.0,2970.0
14,0.14,32.7602794,35.0225204,471.51,-0.012,0.0095,0.9985,-0.04,0.02,0.1,-6060.0,39730.0,2930.0
15,0.15,32.7602794,35.0225204,471.51,-0.012,0.009,0.99875,-0.02,-0.02,-0.02,-6070.0,39710.0,3140.0
16,0.16,32.7602794,35.0225204,471.51,-0.01225,0.0095,0.99875,0.0,0.02,0.02,-6100.0,39700.0,3050.0
17,0.17,32.7602794,35.0225204,471.51,-0.012,0.00925,0.99875,-0.02,-0.04,0.06,-6090.0,39710.0,2980.0
18,0.18,32.7602794,35.0225204,471.51,-0.01175,0.00925,0.99875,0.04,0.02,0.0,-6040.0,39730.0,3090.0
19,0.19,32.7602794,35.0225204,471.51,-0.01225,0.009,0.99875,0.0,0.0,0.0,-6100.0,39700.0,3040.0
20,0.2,32.7602794,35.0225204,471.51,-0.012,0.00925,0.99825,0.06,0.04,-0.08,-6130.0,39740.0,2970.0
21,0.21,32.7602794,35.0225204,471.51,-0.01175,0.00925,0.9985,-0.02,0.0,0.0,-6100.0,39750.0,3110.0
22,0.22,32.7602794,35.0225204,471.51,-0.01225,0.009,0.9985,-0.02,0.0,-0.02,-6130.0,39710.0,3050.0
