,Time_Sample [sec],Lat_GNSS [deg],Long_GNSS [deg],Height_GNSS [m],Acc_X [g],Acc_Y [g],Acc_Z [g],Gyro_X [dps],Gyro_Y [dps],Gyro_Z [dps],Magn_X [nT],Magn_Y [nT],Magn_Z [nT]
0,0.0,32.7603045,35.0225391,470.24,-0.0025,0.017,0.999,0.0,0.0,0.0,1140.0,32780.0,3740.0
1,0.01,32.7603045,35.0225391,470.24,-0.002,0.01675,0.99875,-0.02,0.02,0.02,1170.0,32860.0,3650.0
2,0.02,32.7603045,35.0225391,470.24,-0.002,0.01675,0.999,0.02,-0.04,0.06,1190.0,32830.0,3690.0
3,0.03,32.7603045,35.0225391,470.24,-0.002,0.017,0.99875,-0.02,0.04,-0.02,1190.0,32840.0,3670.0
4,0.04,32.7603045,35.0225391,470.24,-0.002,0.017,0.99875,-0.06,0.02,0.02,1170.0,32900.0,3630.0
5,0.05,32.7603045,35.0225391,470.24,-0.002,0.01675,0.99875,-0.04,0.0,-0.02,1160.0,32780.0,3740.0
6,0.06,32.7603045,35.0225391,470.24,-0.00225,0.017,0.99875,-0.06,0.04,-0.06,1170.0,32730.0,3720.0
7,0.07,32.7603045,35.0225391,470.24,-0.00175,0.01675,0.9985,0.0,0.04,0.0,1190.0,32800.0,3680.0
8,0.08,32.7603045,35.0225391,470.24,-0.00225,0.0165,0.9985,-0.02,-0.02,-0.02,1190.0,32710.0,3740.0
9,0.09,32.7603045,35.0225391,470.24,-0.00225,0.017,0.99875,-0.04,0.04,0.02,1220.0,32660.0,3710.0
10,0.1,32.7603045,35.0225391,470.24,-0.002,0.01675,0.9985,0.0,0.0,0.0,1260.0,32710.0,3680.0
11,0.11,32.7603045,35.0225391,470.24,-0.00225,0.0165,0.99875,-0.06,0.02,0.02,1310.0,32610.0,3660.0
12,0.12,32.7603045,35.0225391,470.24,-0.00225,0.01675,0.99875,-0.12,0.0,0.02,1370.0,32620.0,3520.0
13,0.13,32.7603045,35.0225391,470.24,-0.002,0.01675,0.99875,0.0,0.04,-0.06,1420.0,32740.0,3450.0
14,0.14,32.7603045,35.0225391,470.24,-0.0025,0.0165,0.999,-0.08,-0.02,0.06,1400.0,32670.0,3470.0
