Lat_GNSS,Long_GNSS,Height_GNSS,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magn_X,Magn_Y,Magn_Z
32.7602959,35.022544,469.97,-0.00175,0.0135,0.9985,-0.04,0.04,0.02,1060.0,33350.0,4110.0
32.7602959,35.022544,469.97,-0.00225,0.01325,0.99875,0.02,-0.02,0.02,1060.0,33320.0,4220.0
32.7602959,35.022544,469.97,-0.00225,0.0135,0.99875,0.04,0.02,-0.02,1040.0,33330.0,4230.0
32.7602959,35.022544,469.97,-0.002,0.01325,0.99875,0.02,0.04,0.06,1030.0,33410.0,4160.0
32.7602959,35.022544,469.97,-0.00225,0.01325,0.999,-0.04,-0.02,-0.04,1060.0,33350.0,4230.0
32.7602959,35.022544,469.97,-0.00225,0.0135,0.99875,-0.04,0.0,0.02,1080.0,33350.0,4160.0
32.7602959,35.022544,469.97,-0.002,0.01325,0.99875,0.06,0.02,-0.02,1090.0,33470.0,4090.0
32.7602959,35.022544,469.97,-0.002,0.013,0.99875,0.02,0.02,0.0,1040.0,33430.0,4200.0
32.7602959,35.022544,469.97,-0.00225,0.0135,0.99875,0.02,0.02,0.08,1020.0,33400.0,4220.0
32.7602959,35.022544,469.97,-0.002,0.0135,0.99875,-0.02,-0.06,0.02,1060.0,33480.0,4140.0
32.7602959,35.022544,469.97,-0.00225,0.01325,0.999,-0.06,0.04,0.04,1050.0,33370.0,4220.0
32.7602959,35.022544,469.97,-0.002,0.0135,0.99875,0.06,0.0,-0.04,1080.0,33370.0,4150.0
32.7602959,35.022544,469.97,-0.002,0.0135,0.99875,0.0,-0.02,0.02,1040.0,33490.0,4180.0
32.7602959,35.022544,469.97,-0.0025,0.01325,0.99875,-0.06,0.0,0.02,1000.0,33370.0,4290.0
32.7602959,35.022544,469.97,-0.00225,0.0135,0.99875,0.02,0.04,0.0,1040.0,33380.0,4210.0
32.7602959,35.022544,469.97,-0.002,0.01325,0.99875,0.02,-0.02,0.02,1070.0,33560.0,4160.0
32.7602959,35.022544,469.97,-0.00225,0.01325,0.99875,-0.02,-0.04,0.06,980.0,33530.0,4220.0
32.7602959,35.022544,469.97,-0.002,0.0135,0.99875,-0.08,0.04,-0.06,970.0,33530.0,4240.0
32.7602959,35.022544,469.97,-0.00225,0.01325,0.99875,-0.06,-0.04,0.04,830.0,33500.0,4390.0
32.7602959,35.022544,469.97,-0.00225,0.01325,0.99875,-0.02,-0.04,0.02,650.0,33330.0,4520.0
32.7602959,35.022544,469.97,-0.00225,0.0135,0.9985,0.04,0.0,0.02,570.0,33310.0,4520.0
32.7602959,35.022544,469.97,-0.00225,0.0135,0.99875,0.02,0.0,0.06,610.0,33340.0,4560.0
32.7602959,35.022544,469.97,-0.00225,0.01325,0.999,0.0,0.04,0.02,570.0,33200.0,4540.0
32.7602959,35.022544,469.97,-0.00225,0.0135,0.99875,0.0,0.0,0.08,580.0,33140.0,4510.0
32.7602959,35.022544,469.97,-0.00175,0.01325,0.99875,-0.04,0.0,0.08,730.0,33150.0,4520.0
32.7602959,35.022544,469.97,-0.00225,0.01325,0.99875,0.02,-0.02,-0.06,900.0,33180.0,4320.0
32.7602959,35.022544,469.97,-0.00175,0.0135,0.99875,0.0,0.04,0.02,1000.0,33210.0,4270.0
32.7602959,35.022544,469.97,-0.002,0.01325,0.99875,-0.02,-0.04,0.0,1040.0,33310.0,4370.0
32.7602959,35.022544,469.97,-0.00225,0.01325,0.99875,-0.06,0.06,0.04,960.0,33350.0,4370.0
32.7602959,35.022544,469.97,-0.002,0.0135,0.9985,0.0,0.06,0.06,970.0,33410.0,4290.0
32.7602959,35.022544,469.97,-0.00175,0.01325,0.9985,0.0,0.02,0.06,1010.0,33470.0,4390.0
32.7602959,35.022544,469.97,-0.002,0.0135,0.99875,0.04,0.02,-0.06,1040.0,33480.0,4260.0
32.7602959,35.022544,469.97,-0.002,0.0135,0.9985,-0.04,0.04,0.04,1010.0,33500.0,4240.0
32.7602959,35.022544,469.97,-0.00225,0.013,0.99875,-0.02,0.02,-0.02,1020.0,33500.0,4380.0
32.7602959,35.022544,469.97,-0.00225,0.01325,0.99875,-0.04,0.0,-0.04,1050.0,33470.0,4270.0
32.7602959,35.022544,469.97,-0.002,0.0135,0.99875,-0.04,0.06,0.02,1110.0,33470.0,4110.0
32.7602959,35.022544,469.97,-0.002,0.013,0.999,-0.02,0.06,-0.06,1100.0,33460.0,4300.0
32.7602959,35.022544,469.97,-0.00225,0.0135,0.99875,0.02,0.04,-0.08,1070.0,33430.0,4280.0
32.7602959,35.022544,469.97,-0.002,0.0135,0.99875,0.0,0.0,-0.02,1100.0,33450.0,4210.0
32.7602959,35.022544,469.97,-0.00175,0.013,0.99875,0.04,-0.02,0.02,1090.0,33430.0,4370.0
32.7602959,35.022544,469.97,-0.00225,0.01325,0.999,-0.02,-0.02,-0.02,1070.0,33420.0,4320.0
32.7602959,35.022544,469.97,-0.002,0.0135,0.99875,-0.06,0.02,0.02,1080.0,33450.0,4240.0
32.7602959,35.022544,469.97,-0.002,0.01325,0.999,0.02,0.02,0.02,1110.0,33400.0,4340.0
32.7602959,35.022544,469.97,-0.00225,0.0135,0.99875,-0.04,0.02,0.06,1120.0,33390.0,4260.0
32.7602959,35.022544,469.97,-0.00175,0.01325,0.99875,0.08,0.0,0.04,1150.0,33450.0,4150.0
32.7602959,35.022544,469.97,-0.00225,0.01325,0.999,-0.02,0.0,-0.04,1110.0,33420.0,4310.0
32.7602959,35.022544,469.97,-0.00225,0.0135,0.999,0.02,0.02,0.02,1090.0,33400.0,4320.0
32.7602959,35.022544,469.97,-0.002,0.0135,0.99875,-0.06,0.02,0.0,1090.0,33450.0,4290.0
32.7602959,35.022544,469.97,-0.00225,0.01325,0.99875,-0.06,0.04,0.0,1070.0,33400.0,4380.0
32.7602959,35.022544,469.97,-0.00225,0.0135,0.99875,-0.04,0.02,0.0,1070.0,33360.0,4370.0
32.7602959,35.022544,469.97,-0.002,0.01325,0.99875,0.04,0.0,0.06,1110.0,33440.0,4290.0
32.7602959,35.022544,469.97,-0.002,0.01325,0.99875,0.02,0.02,0.02,1090.0,33380.0,4400.0
32.7602959,35.022544,469.97,-0.002,0.0135,0.99875,0.0,-0.06,0.02,1080.0,33380.0,4380.0
32.7602959,35.022544,469.97,-0.002,0.01325,0.99875,0.0,0.04,-0.04,1100.0,33500.0,4320.0
32.7602959,35.022544,469.97,-0.00225,0.01325,0.99875,0.02,0.02,-0.08,1130.0,33410.0,4320.0
32.7602959,35.022544,469.97,-0.002,0.0135,0.99875,-0.1,0.06,0.02,1170.0,33360.0,4270.0
32.7602959,35.022544,469.97,-0.00175,0.01325,0.99875,-0.02,-0.02,-0.04,1130.0,33420.0,4340.0
