Lat_GNSS,Long_GNSS,Height_GNSS,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magn_X,Magn_Y,Magn_Z
32.7602975,35.0225396,469.04,-0.004,0.014,0.99875,-0.04,0.0,-0.04,1380.0,33360.0,3780.0
32.7602975,35.0225396,469.04,-0.00425,0.01425,0.99875,-0.04,0.06,0.06,1330.0,33370.0,3730.0
32.7602975,35.0225397,469.05,-0.00375,0.01425,0.99875,0.06,0.0,0.02,1380.0,33440.0,3570.0
32.7602975,35.0225397,469.05,-0.00375,0.014,0.999,-0.04,-0.06,0.02,1400.0,33480.0,3640.0
32.7602975,35.0225397,469.05,-0.004,0.01425,0.99875,-0.04,-0.02,-0.02,1360.0,33440.0,3650.0
32.7602975,35.0225397,469.05,-0.00375,0.0145,0.99875,0.0,-0.02,0.0,1350.0,33480.0,3570.0
32.7602975,35.0225397,469.05,-0.00375,0.01425,0.99875,0.02,0.0,0.0,1340.0,33470.0,3720.0
32.7602975,35.0225397,469.05,-0.004,0.0145,0.9985,-0.02,0.02,0.04,1350.0,33450.0,3640.0
32.7602975,35.0225397,469.05,-0.00375,0.0145,0.99875,0.02,0.02,-0.02,1310.0,33490.0,3630.0
32.7602975,35.0225397,469.05,-0.00375,0.01425,0.99925,-0.02,0.04,0.08,1300.0,33430.0,3790.0
32.7602975,35.0225397,469.05,-0.00375,0.0145,0.99875,0.0,-0.02,-0.06,1280.0,33410.0,3780.0
32.7602975,35.0225397,469.05,-0.004,0.0145,0.99875,-0.04,0.06,0.04,1300.0,33470.0,3700.0
32.7602975,35.0225397,469.05,-0.004,0.014,0.99875,-0.02,0.02,-0.02,1300.0,33450.0,3740.0
32.7602975,35.0225397,469.05,-0.00375,0.01425,0.999,-0.02,0.0,0.0,1290.0,33440.0,3720.0
32.7602975,35.0225397,469.05,-0.004,0.014,0.99875,0.02,-0.02,0.0,1300.0,33470.0,3690.0
32.7602975,35.0225397,469.05,-0.00375,0.014,0.99875,-0.04,0.06,0.0,1290.0,33450.0,3760.0
32.7602975,35.0225397,469.05,-0.004,0.01425,0.999,0.0,-0.04,0.04,1350.0,33460.0,3620.0
32.7602975,35.0225397,469.05,-0.00375,0.014,0.99875,-0.02,0.02,0.0,1410.0,33500.0,3560.0
32.7602975,35.0225397,469.05,-0.004,0.014,0.99875,-0.04,-0.02,0.0,1420.0,33440.0,3560.0
32.7602975,35.0225397,469.05,-0.004,0.0145,0.99875,0.04,0.06,0.04,1460.0,33430.0,3500.0
32.7602975,35.0225397,469.05,-0.00375,0.01425,0.99875,-0.06,-0.02,0.0,1470.0,33490.0,3480.0
32.7602975,35.0225397,469.05,-0.004,0.01425,0.99875,0.06,0.0,0.0,1450.0,33400.0,3540.0
32.7602975,35.0225397,469.05,-0.004,0.0145,0.99875,-0.02,0.02,0.0,1480.0,33390.0,3480.0
32.7602975,35.0225397,469.05,-0.00375,0.01425,0.99875,-0.04,0.0,-0.02,1510.0,33480.0,3470.0
32.7602975,35.0225397,469.05,-0.00425,0.014,0.9985,-0.02,0.0,0.02,1470.0,33420.0,3500.0
32.7602975,35.0225397,469.05,-0.00375,0.01425,0.999,0.0,0.0,0.0,1470.0,33410.0,3480.0
32.7602975,35.0225397,469.05,-0.00375,0.01425,0.99875,-0.02,0.04,-0.04,1460.0,33480.0,3570.0
32.7602975,35.0225397,469.05,-0.00375,0.01425,0.99875,0.02,0.0,-0.04,1370.0,33410.0,3620.0
32.7602975,35.0225397,469.05,-0.00375,0.0145,0.99875,-0.02,-0.02,-0.02,1360.0,33410.0,3610.0
32.7602975,35.0225397,469.05,-0.00375,0.014,0.99875,-0.02,0.04,-0.02,1360.0,33480.0,3680.0
32.7602975,35.0225397,469.05,-0.004,0.014,0.99875,0.02,0.02,0.02,1310.0,33430.0,3680.0
32.7602975,35.0225397,469.05,-0.00375,0.01425,0.99875,-0.08,0.02,0.02,1300.0,33480.0,3590.0
32.7602975,35.0225397,469.05,-0.004,0.014,0.999,0.02,-0.02,0.06,1370.0,33550.0,3630.0
32.7602975,35.0225397,469.05,-0.00425,0.01425,0.99875,0.0,0.06,-0.04,1320.0,33500.0,3590.0
32.7602975,35.0225397,469.05,-0.00425,0.01425,0.99875,0.02,0.04,0.0,1290.0,33510.0,3580.0
32.7602975,35.0225397,469.05,-0.004,0.01425,0.9985,-0.04,-0.04,-0.02,1300.0,33560.0,3680.0
32.7602975,35.0225397,469.05,-0.00425,0.014,0.99875,-0.02,0.0,-0.02,1260.0,33510.0,3660.0
32.7602975,35.0225397,469.05,-0.004,0.01425,0.99875,-0.06,-0.08,0.04,1350.0,33490.0,3530.0
32.7602975,35.0225397,469.05,-0.00375,0.014,0.99875,-0.02,0.0,0.02,1430.0,33500.0,3570.0
32.7602975,35.0225397,469.05,-0.00425,0.01425,0.99875,0.02,0.06,0.02,1420.0,33500.0,3460.0
32.7602975,35.0225397,469.05,-0.00375,0.01425,0.99875,-0.04,-0.06,-0.02,1380.0,33510.0,3440.0
32.7602975,35.0225397,469.05,-0.004,0.014,0.99875,-0.02,0.0,0.0,1370.0,33500.0,3610.0
32.7602975,35.0225397,469.05,-0.004,0.01425,0.99875,0.02,-0.04,0.02,1400.0,33450.0,3510.0
32.7602975,35.0225397,469.05,-0.004,0.01425,0.99875,0.0,0.04,-0.02,1410.0,33490.0,3390.0
32.7602975,35.0225397,469.05,-0.00375,0.014,0.99875,0.0,0.02,0.1,1360.0,33450.0,3580.0
32.7602975,35.0225397,469.05,-0.00425,0.01425,0.99875,-0.04,0.0,-0.04,1340.0,33430.0,3560.0
32.7602975,35.0225397,469.05,-0.00375,0.014,0.999,-0.02,0.02,0.0,1330.0,33460.0,3510.0
32.7602975,35.0225397,469.05,-0.00375,0.014,0.99875,0.06,0.02,0.02,1330.0,33420.0,3640.0
32.7602975,35.0225397,469.05,-0.004,0.01425,0.99875,0.04,0.04,0.0,1350.0,33420.0,3550.0
32.7602975,35.0225397,469.05,-0.004,0.01425,0.99875,-0.08,0.04,-0.04,1370.0,33510.0,3440.0
32.7602975,35.0225397,469.05,-0.00375,0.014,0.9985,0.02,0.06,-0.02,1330.0,33490.0,3560.0
32.7602975,35.0225397,469.05,-0.00425,0.01425,0.99875,0.04,0.04,-0.02,1340.0,33440.0,3560.0
32.7602975,35.0225397,469.05,-0.004,0.01425,0.99875,0.0,0.0,0.0,1380.0,33490.0,3470.0
32.7602975,35.0225397,469.05,-0.004,0.014,0.9985,-0.04,-0.02,-0.06,1330.0,33470.0,3610.0
32.7602975,35.0225397,469.05,-0.004,0.01425,0.99875,0.0,0.02,-0.02,1320.0,33440.0,3610.0
32.7602975,35.0225397,469.05,-0.00375,0.014,0.9985,-0.02,-0.02,-0.04,1330.0,33490.0,3560.0
32.7602975,35.0225397,469.05,-0.00425,0.014,0.99875,0.04,-0.1,0.02,1320.0,33420.0,3620.0
32.7602975,35.0225397,469.05,-0.004,0.01425,0.99875,-0.02,0.0,-0.02,1390.0,33410.0,3510.0
32.7602975,35.0225397,469.05,-0.00375,0.014,0.9985,0.04,-0.06,0.0,1460.0,33490.0,3420.0
32.7602975,35.0225397,469.05,-0.004,0.01425,0.9985,-0.04,-0.06,-0.02,1450.0,33460.0,3430.0
32.7602975,35.0225397,469.05,-0.00375,0.0145,0.99875,0.0,0.04,-0.08,1470.0,33410.0,3390.0
32.7602975,35.0225397,469.05,-0.00375,0.01425,0.99875,-0.04,-0.02,0.04,1500.0,33460.0,3390.0
32.7602975,35.0225397,469.05,-0.00425,0.014,0.99925,-0.08,0.08,-0.02,1480.0,33450.0,3390.0
32.7602975,35.0225397,469.05,-0.00425,0.0145,0.99875,-0.02,0.04,0.02,1490.0,33460.0,3310.0
32.7602975,35.0225397,469.05,-0.004,0.01425,0.99875,-0.02,0.0,0.04,1500.0,33520.0,3370.0
32.7602975,35.0225397,469.05,-0.004,0.01425,0.99875,0.0,0.0,-0.04,1460.0,33440.0,3370.0
32.7602975,35.0225397,469.05,-0.004,0.0145,0.9985,-0.02,0.0,0.06,1470.0,33410.0,3350.0
32.7602975,35.0225397,469.05,-0.00375,0.014,0.99875,-0.02,-0.02,-0.06,1470.0,33510.0,3400.0
32.7602975,35.0225397,469.05,-0.00425,0.014,0.999,0.06,0.04,0.0,1370.0,33470.0,3440.0
32.7602975,35.0225397,469.05,-0.004,0.0145,0.99875,-0.08,0.02,0.06,1340.0,33460.0,3420.0
32.7602975,35.0225397,469.05,-0.00375,0.01425,0.99875,-0.06,-0.1,-0.02,1360.0,33500.0,3530.0
32.7602975,35.0225397,469.05,-0.00425,0.01425,0.999,0.02,0.0,0.06,1300.0,33430.0,3550.0
32.7602975,35.0225397,469.05,-0.004,0.01425,0.99875,0.02,0.0,0.02,1320.0,33500.0,3430.0
32.7602975,35.0225397,469.05,-0.00375,0.014,0.999,-0.04,0.0,0.06,1300.0,33540.0,3590.0
32.7602975,35.0225397,469.05,-0.004,0.014,0.999,0.02,0.0,0.04,1240.0,33440.0,3580.0
32.7602975,35.0225397,469.05,-0.004,0.01425,0.999,-0.02,-0.02,0.0,1230.0,33420.0,3550.0
32.7602975,35.0225397,469.05,-0.00375,0.014,0.9985,-0.04,0.0,-0.02,1250.0,33440.0,3680.0
32.7602975,35.0225397,469.05,-0.00375,0.014,0.9985,-0.06,-0.02,0.02,1220.0,33430.0,3590.0
32.7602975,35.0225397,469.05,-0.004,0.0145,0.999,-0.08,-0.02,0.02,1240.0,33480.0,3470.0
32.7602975,35.0225397,469.05,-0.00375,0.014,0.99875,0.02,0.0,-0.04,1270.0,33470.0,3570.0
32.7602975,35.0225397,469.05,-0.004,0.01425,0.99875,-0.04,0.02,0.0,1220.0,33410.0,3540.0
