,Time_Sample [sec],Lat_GNSS [deg],Long_GNSS [deg],Height_GNSS [m],Acc_X [g],Acc_Y [g],Acc_Z [g],Gyro_X [dps],Gyro_Y [dps],Gyro_Z [dps],Magn_X [nT],Magn_Y [nT],Magn_Z [nT]
0,0.0,32.7602953,35.0225446,469.65,-0.00925,0.015,0.99875,-0.04,0.02,0.02,2780.0,31660.0,3380.0
1,0.01,32.7602953,35.0225446,469.65,-0.00925,0.015,0.9985,-0.04,-0.02,0.04,2760.0,31750.0,3230.0
2,0.02,32.7602953,35.0225446,469.65,-0.0095,0.015,0.99875,0.0,0.06,0.02,2830.0,31750.0,3450.0
3,0.03,32.7602953,35.0225446,469.65,-0.00925,0.015,0.9985,0.0,0.02,-0.02,2750.0,31680.0,3360.0
4,0.04,32.7602953,35.0225446,469.65,-0.00925,0.015,0.9985,-0.04,-0.02,0.02,2810.0,31720.0,3320.0
5,0.05,32.7602953,35.0225447,469.65,-0.00925,0.015,0.99875,-0.02,0.06,0.04,2880.0,31720.0,3070.0
6,0.06,32.7602953,35.0225447,469.65,-0.009,0.01475,0.99875,0.06,-0.04,0.0,2880.0,31830.0,3240.0
7,0.07,32.7602953,35.0225447,469.65,-0.00925,0.01475,0.99875,-0.02,0.04,0.02,2700.0,31630.0,3390.0
8,0.08,32.7602953,35.0225447,469.65,-0.00925,0.01475,0.99875,-0.08,0.04,0.0,2530.0,31530.0,3470.0
9,0.09,32.7602953,35.0225447,469.65,-0.00925,0.01475,0.99875,0.02,0.06,0.02,2470.0,31420.0,3470.0
10,0.1,32.7602953,35.0225447,469.65,-0.00925,0.01475,0.99875,-0.02,-0.02,-0.08,2450.0,31610.0,3460.0
11,0.11,32.7602953,35.0225447,469.65,-0.00925,0.01475,0.99875,0.04,0.04,0.04,2390.0,31530.0,3620.0
12,0.12,32.7602953,35.0225447,469.65,-0.00925,0.01475,0.99875,0.02,0.0,-0.04,2350.0,31520.0,3480.0
13,0.13,32.7602953,35.0225447,469.65,-0.00925,0.015,0.99875,0.06,0.02,0.0,2380.0,31470.0,3540.0
14,0.14,32.7602953,35.0225447,469.65,-0.00925,0.01475,0.9985,-0.02,0.02,-0.02,2560.0,31660.0,3280.0
15,0.15,32.7602953,35.0225447,469.65,-0.00925,0.01475,0.99875,0.04,0.04,0.0,2710.0,31660.0,3470.0
