,SampleTimeFine [micro_sec],Acc_X [m_sec_2],Acc_Y [m_sec_2],Acc_Z [m_sec_2],Gyr_X [dps],Gyr_Y [dps],Gyr_Z [dps]
0,3557321600.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3557329933.0,0.091705597937107,0.02512620203197,9.851563453674316,-3.048029899597168,-2.8273634910583496,-0.258229911327362
2,3557338266.0,0.102538838982582,0.0184172093868255,9.853641510009766,-3.1403181552886963,-2.91140365600586,-0.3148886263370514
3,3557346599.0,0.0877210050821304,0.0251170098781585,9.866354942321776,-2.957047939300537,-2.897674322128296,-0.2241885811090469
4,3557354932.0,0.108686476945877,0.0272821709513664,9.874457359313965,-3.1518187522888184,-2.7474470138549805,-0.2304640561342239
5,3557363265.0,0.0975165739655494,0.0263754650950431,9.847943305969238,-3.1449289321899414,-3.005587100982666,-0.1936308145523071
6,3557371598.0,0.0887941047549247,0.0229018870741128,9.86604118347168,-3.1128597259521484,-2.913478374481201,-0.2485221177339553
7,3557379931.0,0.1022748872637748,0.0323903374373912,9.85187816619873,-3.091317892074585,-2.7898638248443604,-0.2381227314472198
8,3557388264.0,0.0914297476410865,0.0294238924980163,9.868138313293455,-3.147310972213745,-2.9678831100463867,-0.2128671109676361
9,3557396597.0,0.1063347458839416,-0.0016957484185695,9.881025314331056,-3.2173659801483154,-2.8539509773254395,-0.2634296119213104
10,3557404930.0,0.0821098238229751,0.0192267056554555,9.868752479553224,-3.090703248977661,-2.8723928928375244,-0.1467823833227157
11,3557413263.0,0.0905748307704925,0.0190027188509702,9.84347915649414,-2.9933178424835205,-2.816912889480591,-0.1340520977973938
12,3557421596.0,0.1148070022463798,0.0194232165813446,9.84990406036377,-3.0539469718933105,-2.944113254547119,-0.3036951720714569
13,3557429929.0,0.102336436510086,0.0167782958596944,9.882553100585938,-3.171234607696533,-2.8640942573547363,-0.2976502478122711
14,3557438262.0,0.1031975299119949,0.0267717503011226,9.842591285705566,-3.0091984272003174,-2.837839365005493,-0.2552074193954468
15,3557446595.0,0.1130426377058029,0.0086907418444752,9.863886833190918,-3.055150985717773,-2.976848125457764,-0.1794405281543731
16,3557454928.0,0.1056865081191062,0.0232798792421817,9.872468948364258,-3.20230484008789,-2.844166278839112,-0.2046193182468414
17,3557463261.0,0.0908444672822952,0.0217888969928026,9.865933418273926,-3.106097459793091,-2.8981101512908936,-0.231616735458374
18,3557471594.0,0.1120775416493415,0.0078780502080917,9.853301048278809,-3.0805857181549072,-2.9425764083862305,-0.2046449482440948
19,3557479927.0,0.1040442213416099,0.0107464203611016,9.855398178100586,-3.072312355041504,-2.9344820976257324,-0.1858697086572647
20,3557488260.0,0.0911489352583885,0.0143881412222981,9.855101585388184,-3.0253612995147705,-2.8850464820861816,-0.1904546320438385
21,3557496593.0,0.0899528786540031,0.0124284708872437,9.880637168884276,-3.073516368865967,-2.876875638961792,-0.2316935658454895
22,3557504926.0,0.1018355712294578,0.0288827158510684,9.856154441833496,-3.1474390029907227,-2.9081764221191406,-0.1119726449251174
23,3557513259.0,0.0994266346096992,0.0176951084285974,9.868877410888672,-3.0366060733795166,-2.921111583709717,-0.2206282317638397
24,3557521592.0,0.0860393792390823,-0.0021996046416461,9.861780166625977,-3.0216219425201416,-2.897597551345825,-0.1864844560623169
25,3557529925.0,0.1044701784849166,0.0188110210001468,9.88991355895996,-3.141547679901123,-2.855257272720337,-0.2425539940595626
26,3557538258.0,0.1018659994006156,0.0322385020554065,9.846355438232422,-3.106379270553589,-2.906280755996704,-0.1690923869609832
27,3557546591.0,0.1063402667641639,0.0172762013971805,9.840672492980955,-3.153996229171753,-3.017651557922364,-0.2658629417419433
28,3557554924.0,0.0993139073252677,0.0159954745322465,9.846923828125,-2.999235153198242,-3.0167040824890137,-0.1948859095573425
29,3557563257.0,0.0974056869745254,0.0127305937930941,9.864020347595217,-3.18954873085022,-2.9071006774902344,-0.2463961094617843
30,3557571590.0,0.1097465083003044,0.030408764258027,9.863120079040527,-3.151921510696411,-2.884073257446289,-0.2262633591890335
31,3557579923.0,0.1009459197521209,0.0096291359513998,9.86596393585205,-3.123643159866333,-2.836891889572144,-0.1786464899778366
32,3557588256.0,0.1096816584467887,0.0292865224182605,9.856073379516602,-3.001437425613404,-2.841886281967163,-0.2119705826044082
33,3557596589.0,0.1218771338462829,0.0225171111524105,9.900732040405272,-3.008315086364746,-2.8835222721099854,-0.1880853027105331
34,3557604922.0,0.0932802185416221,0.0115272123366594,9.838506698608398,-3.0885260105133057,-2.793168067932129,-0.2943203449249267
35,3557613255.0,0.0979414582252502,0.0333386659622192,9.85296630859375,-3.1424059867858887,-2.9079842567443848,-0.2514293491840362
36,3557621588.0,0.1103816032409668,0.0143503565341234,9.86081314086914,-3.088731050491333,-2.847854852676392,-0.1959873139858245
37,3557629921.0,0.0859702080488205,0.0120242601260542,9.84532356262207,-3.050437688827514,-2.952975273132324,-0.2769795358181
38,3557638254.0,0.1166616454720497,0.0256604868918657,9.878775596618652,-3.1674692630767822,-2.9685747623443604,-0.2058231979608535
39,3557646587.0,0.1026377007365226,0.014838270843029,9.846294403076172,-3.1449031829833984,-2.861302375793457,-0.2066172361373901
40,3557654920.0,0.0917978659272193,0.0233557298779487,9.844923973083496,-3.027308225631714,-2.951951026916504,-0.1951420605182647
41,3557663253.0,0.1040302887558937,0.0229426845908164,9.852190971374512,-3.150768756866455,-2.9453938007354736,-0.1161477416753768
42,3557671586.0,0.0893900617957115,0.0175166316330432,9.872563362121582,-3.223564386367798,-2.8498528003692627,-0.2716774046421051
43,3557679919.0,0.0911014899611473,0.0173131264746189,9.833365440368652,-3.120543956756592,-2.9424736499786377,-0.249213695526123
44,3557688252.0,0.1165906190872192,0.0172521602362394,9.879144668579102,-3.0810725688934326,-3.044008493423462,-0.2046449333429336
45,3557696585.0,0.1072385534644126,0.0176605507731437,9.87522029876709,-3.0409860610961914,-2.9696502685546875,-0.1872528642416
46,3557704918.0,0.0908766314387321,0.0140383783727884,9.83694076538086,-3.041933536529541,-2.840170383453369,-0.2811034023761749
47,3557713251.0,0.1172157451510429,0.0309415347874164,9.834708213806152,-3.108351230621338,-2.795499086380005,-0.2575639188289642
48,3557721584.0,0.1043239906430244,0.0238999351859092,9.888054847717283,-3.079535484313965,-2.823188304901123,-0.2373543083667755
49,3557729917.0,0.1055564358830452,0.0082559008151292,9.861321449279783,-3.049208402633667,-2.8845601081848145,-0.279131144285202
50,3557738250.0,0.0989420413970947,0.0057140300050377,9.842830657958984,-3.0392954349517822,-2.8958816528320312,-0.1679141223430633
51,3557746583.0,0.1133672967553138,0.0192335899919271,9.870540618896484,-3.053434371948242,-2.856947660446167,-0.2380202710628509
52,3557754916.0,0.090591125190258,0.0168696474283933,9.831303596496582,-3.0579168796539307,-2.964373826980591,-0.2673485875129699
53,3557763249.0,0.1113442778587341,0.0109287202358245,9.868029594421388,-3.067958116531372,-2.941218852996826,-0.2178618907928466
54,3557771582.0,0.0983612984418869,0.0170841142535209,9.89075756072998,-3.11788010597229,-2.9303841590881348,-0.2198854237794876
55,3557779915.0,0.0965970084071159,0.0176701303571462,9.866188049316406,-3.013847827911377,-2.9377479553222656,-0.39691823720932
56,3557788248.0,0.0886842384934425,0.0284241698682308,9.86241626739502,-3.070007085800171,-2.882664442062378,-0.2553355395793915
57,3557796581.0,0.1095141917467117,0.0226407255977392,9.858240127563477,-3.105995178222656,-2.8885815143585205,-0.3055650591850281
58,3557804914.0,0.0994745194911956,0.0086125116795301,9.869025230407717,-3.1131417751312256,-2.8571016788482666,-0.3075373470783233
59,3557813247.0,0.1013087108731269,0.0295946709811687,9.855281829833984,-3.084709882736206,-2.942089796066284,-0.2284917831420898
60,3557821580.0,0.0920223742723465,0.0237018764019012,9.829689025878906,-3.0699048042297363,-3.0544590950012207,-0.259254515171051
61,3557829913.0,0.0974722430109977,0.0083989258855581,9.852717399597168,-3.0032052993774414,-2.931203365325928,-0.2219601720571518
62,3557838246.0,0.1005286276340484,0.0213563796132802,9.836318016052246,-3.131199836730957,-2.777312994003296,-0.2056951224803924
63,3557846579.0,0.0894339010119438,0.0103745199739933,9.81513214111328,-3.1209282875061035,-2.840503454208374,-0.2300286591053009
64,3557854912.0,0.0993721857666969,0.0243021436035633,9.858829498291016,-3.1038689613342285,-2.8920907974243164,-0.1944504827260971
65,3557863245.0,0.0892422944307327,0.0143050141632556,9.861209869384766,-3.0599920749664307,-2.904052495956421,-0.2624562680721283
66,3557871578.0,0.0834771990776062,0.0037129293195903,9.86276149749756,-3.015500068664551,-2.99877405166626,-0.1949115395545959
67,3557879911.0,0.0891350284218788,0.0213531609624624,9.863350868225098,-3.049643516540528,-2.840349674224853,-0.2139685004949569
68,3557888244.0,0.1073590219020843,0.0225384645164012,9.868440628051758,-3.120851516723633,-2.9068443775177,-0.2236250936985016
69,3557896577.0,0.0948816388845443,0.0037314051296561,9.869854927062988,-3.0605039596557617,-2.926234245300293,-0.2529533803462982
70,3557904910.0,0.1141585260629654,0.0321826674044132,9.884498596191406,-3.0433812141418457,-3.001168966293335,-0.1122159659862518
71,3557913243.0,0.1068021282553672,0.0247381590306758,9.850981712341309,-3.1595287322998047,-2.836302757263184,-0.2500589787960052
72,3557921576.0,0.0969885736703872,0.0357168465852737,9.84558391571045,-3.036222219467163,-2.907254219055176,-0.2389423996210098
73,3557929909.0,0.1157398372888565,0.0222665630280971,9.860748291015623,-3.0346593856811523,-2.9362494945526123,-0.2657092809677124
74,3557938242.0,0.0925888940691948,0.014489609748125,9.858148574829102,-3.177868604660034,-2.8943960666656494,-0.0779825374484062
75,3557946575.0,0.0861059501767158,0.0079325437545776,9.840653419494627,-3.1273059844970703,-2.860431432723999,-0.1524175107479095
76,3557954908.0,0.0998894721269607,0.030854607000947,9.83570384979248,-3.00333309173584,-2.8943440914154053,-0.2699868381023407
77,3557963241.0,0.1098902076482772,0.0159334428608417,9.870692253112791,-3.1129367351531982,-2.8946266174316406,-0.2017505317926406
78,3557971574.0,0.1012219041585922,0.0281721409410238,9.858736991882324,-3.183298826217652,-2.9255428314208984,-0.2488807290792465
79,3557979907.0,0.1017536520957946,0.0004801379982382,9.86593246459961,-2.950516700744629,-2.885661363601685,-0.200623482465744
80,3557988240.0,0.1104051321744918,0.0180393606424331,9.852002143859863,-3.075181245803833,-2.91501522064209,-0.223676323890686
81,3557996573.0,0.1049315780401229,0.0317841097712516,9.87834358215332,-3.128817319869995,-2.799238920211792,-0.2125597447156906
82,3558004906.0,0.0938324779272079,0.0305036641657352,9.838253021240234,-3.0593514442443848,-2.989988088607788,-0.2602278292179107
83,3558013239.0,0.1005854383111,0.0334315635263919,9.84456729888916,-2.998389482498169,-2.8862247467041016,-0.1927599310874939
84,3558021572.0,0.1145962178707122,0.0354037471115589,9.85048007965088,-3.0164735317230225,-3.022390365600586,-0.1832826733589172
85,3558029905.0,0.107465349137783,0.0338164269924163,9.872169494628906,-3.090293407440185,-2.916167974472046,-0.2388143390417099
86,3558038238.0,0.1066072955727577,0.0330446064472198,9.85927963256836,-3.031816005706787,-2.8945751190185547,-0.240786612033844
