,Time_Sample [sec],Lat_GNSS [deg],Long_GNSS [deg],Height_GNSS [m],Acc_X [g],Acc_Y [g],Acc_Z [g],Gyro_X [dps],Gyro_Y [dps],Gyro_Z [dps],Magn_X [nT],Magn_Y [nT],Magn_Z [nT]
0,0.0,32.7602147,35.0226075,470.03,0.0145,0.0055,0.999,0.02,-0.04,0.02,-15820.0,29730.0,-4560.0
1,0.01,32.7602147,35.0226075,470.03,0.01425,0.00525,0.99875,-0.02,0.0,-0.04,-15810.0,29730.0,-4530.0
2,0.02,32.7602147,35.0226075,470.03,0.0145,0.0055,0.999,0.02,-0.04,-0.06,-15790.0,29660.0,-4560.0
3,0.03,32.7602147,35.0226075,470.03,0.0145,0.0055,0.99875,-0.08,-0.02,0.02,-15850.0,29740.0,-4550.0
4,0.04,32.7602147,35.0226075,470.03,0.01425,0.0055,0.99875,-0.04,-0.04,0.02,-15840.0,29690.0,-4530.0
5,0.05,32.7602147,35.0226075,470.03,0.01425,0.0055,0.9985,-0.08,0.06,-0.02,-15820.0,29740.0,-4580.0
6,0.06,32.7602147,35.0226075,470.03,0.0145,0.0055,0.9985,-0.02,-0.04,-0.02,-15870.0,29850.0,-4580.0
7,0.07,32.7602147,35.0226075,470.03,0.014,0.00525,0.9985,0.0,0.04,0.0,-15870.0,29750.0,-4540.0
8,0.08,32.7602147,35.0226075,470.03,0.01475,0.00575,0.99875,-0.04,0.02,-0.02,-15830.0,29690.0,-4550.0
9,0.09,32.7602147,35.0226075,470.02,0.0145,0.00525,0.99875,-0.04,0.02,0.02,-15830.0,29810.0,-4590.0
10,0.1,32.7602147,35.0226075,470.02,0.014,0.0055,0.99875,0.0,0.06,0.0,-15860.0,29770.0,-4560.0
11,0.11,32.7602147,35.0226075,470.02,0.0145,0.0055,0.999,-0.02,0.08,0.0,-15870.0,29740.0,-4560.0
12,0.12,32.7602147,35.0226075,470.02,0.01425,0.00525,0.99875,-0.04,0.08,-0.04,-15830.0,29790.0,-4530.0
13,0.13,32.7602147,35.0226075,470.02,0.01375,0.0055,0.99875,0.0,0.1,0.06,-15820.0,29710.0,-4550.0
14,0.14,32.7602147,35.0226075,470.02,0.014,0.0055,0.9985,-0.04,0.04,0.0,-15810.0,29690.0,-4560.0
15,0.15,32.7602147,35.0226075,470.02,0.01375,0.00525,0.9985,-0.02,0.1,-0.02,-15830.0,29760.0,-4520.0
16,0.16,32.7602147,35.0226075,470.02,0.01375,0.0055,0.9985,0.0,0.08,0.02,-15800.0,29720.0,-4530.0
17,0.17,32.7602147,35.0226075,470.02,0.014,0.0055,0.99875,0.0,0.06,-0.02,-15800.0,29680.0,-4550.0
18,0.18,32.7602147,35.0226075,470.02,0.01375,0.0055,0.99925,-0.04,-0.06,0.04,-15830.0,29770.0,-4510.0
19,0.19,32.7602147,35.0226075,470.02,0.01375,0.0055,0.99875,0.02,-0.02,0.04,-15860.0,29830.0,-4550.0
20,0.2,32.7602147,35.0226075,470.02,0.014,0.0055,0.99875,-0.02,0.04,0.02,-15880.0,29850.0,-4550.0
21,0.21,32.7602147,35.0226075,470.02,0.0135,0.0055,0.9985,-0.04,-0.04,-0.06,-15860.0,29840.0,-4510.0
22,0.22,32.7602147,35.0226075,470.02,0.01375,0.0055,0.9985,0.0,0.04,-0.04,-15870.0,29800.0,-4510.0
23,0.23,32.7602147,35.0226075,470.02,0.0145,0.0055,0.9985,0.02,-0.02,0.02,-15850.0,29800.0,-4560.0
24,0.24,32.7602147,35.0226075,470.02,0.01425,0.0055,0.9985,0.04,0.02,0.06,-15850.0,29830.0,-4540.0
25,0.25,32.7602147,35.0226075,470.02,0.01425,0.0055,0.99875,0.04,-0.04,0.06,-15850.0,29870.0,-4550.0
26,0.26,32.7602147,35.0226075,470.02,0.01475,0.0055,0.99875,-0.02,-0.04,0.06,-15860.0,29840.0,-4580.0
27,0.27,32.7602147,35.0226075,470.02,0.0145,0.0055,0.999,0.02,-0.02,-0.02,-15820.0,29760.0,-4530.0
28,0.28,32.7602147,35.0226075,470.02,0.0145,0.0055,0.99875,0.02,0.0,0.04,-15830.0,29820.0,-4540.0
29,0.29,32.7602147,35.0226075,470.02,0.0145,0.0055,0.999,0.04,0.04,0.06,-15820.0,29910.0,-4610.0
30,0.3,32.7602147,35.0226075,470.02,0.01425,0.00525,0.99875,-0.04,-0.02,0.0,-15780.0,29780.0,-4570.0
31,0.31,32.7602147,35.0226075,470.02,0.0145,0.0055,0.99875,-0.04,-0.02,0.02,-15770.0,29760.0,-4550.0
32,0.32,32.7602147,35.0226075,470.02,0.01425,0.0055,0.9985,0.06,0.04,0.02,-15780.0,29790.0,-4550.0
33,0.33,32.7602147,35.0226075,470.02,0.014,0.0055,0.99875,0.0,0.08,-0.04,-15810.0,29790.0,-4510.0
34,0.34,32.7602147,35.0226075,470.02,0.014,0.0055,0.99875,0.0,-0.04,-0.02,-15820.0,29790.0,-4540.0
35,0.35000000000000003,32.7602147,35.0226075,470.02,0.01375,0.00525,0.999,-0.02,0.04,0.02,-15800.0,29820.0,-4540.0
36,0.36,32.7602147,35.0226075,470.02,0.0135,0.0055,0.99875,-0.02,0.02,0.0,-15790.0,29760.0,-4540.0
37,0.37,32.7602147,35.0226075,470.02,0.01375,0.0055,0.99875,-0.04,-0.02,0.0,-15790.0,29840.0,-4570.0
38,0.38,32.7602147,35.0226075,470.02,0.01375,0.00525,0.9985,0.0,0.06,-0.02,-15810.0,29940.0,-4570.0
39,0.39,32.7602147,35.0226075,470.02,0.01375,0.0055,0.99875,0.02,0.0,-0.02,-15790.0,29870.0,-4620.0
40,0.4,32.7602147,35.0226075,470.02,0.014,0.0055,0.9985,-0.06,0.0,-0.02,-15720.0,29800.0,-4610.0
41,0.41000000000000003,32.7602147,35.0226075,470.02,0.014,0.00525,0.99875,-0.02,-0.02,0.02,-15760.0,29880.0,-4550.0
42,0.42,32.7602147,35.0226075,470.02,0.014,0.0055,0.99875,0.02,-0.02,0.08,-15790.0,29850.0,-4540.0
43,0.43,32.7602147,35.0226075,470.02,0.01425,0.00575,0.99875,0.02,-0.06,0.0,-15790.0,29840.0,-4550.0
44,0.44,32.7602147,35.0226075,470.02,0.01425,0.00525,0.999,-0.02,-0.02,0.04,-15800.0,29930.0,-4500.0
45,0.45,32.7602147,35.0226075,470.02,0.0145,0.00575,0.999,0.0,-0.02,0.0,-15780.0,29860.0,-4540.0
46,0.46,32.7602147,35.0226075,470.02,0.0145,0.00575,0.99875,0.0,-0.02,0.02,-15780.0,29830.0,-4570.0
47,0.47000000000000003,32.7602147,35.0226075,470.02,0.0145,0.00525,0.99875,0.02,0.02,-0.02,-15820.0,29910.0,-4520.0
48,0.48,32.7602147,35.0226075,470.02,0.0145,0.00575,0.99875,0.02,0.02,0.0,-15820.0,29960.0,-4560.0
49,0.49,32.7602147,35.0226075,470.02,0.0145,0.0055,0.9985,0.04,0.08,-0.04,-15800.0,29940.0,-4620.0
50,0.5,32.7602147,35.0226075,470.02,0.014,0.00525,0.9985,0.0,-0.02,0.04,-15810.0,29950.0,-4550.0
51,0.51,32.7602147,35.0226075,470.02,0.01425,0.0055,0.999,-0.04,0.08,-0.06,-15800.0,29890.0,-4560.0
52,0.52,32.7602147,35.0226075,470.02,0.01425,0.0055,0.99875,-0.04,0.06,0.08,-15840.0,29930.0,-4560.0
53,0.53,32.7602147,35.0226075,470.02,0.014,0.0055,0.999,-0.04,0.02,0.02,-15840.0,29930.0,-4500.0
54,0.54,32.7602147,35.0226075,470.02,0.014,0.0055,0.99875,-0.08,0.04,0.0,-15800.0,29840.0,-4530.0
55,0.55,32.7602147,35.0226075,470.02,0.014,0.0055,0.9985,-0.04,0.06,0.04,-15790.0,29840.0,-4570.0
56,0.56,32.7602147,35.0226075,470.02,0.01375,0.00525,0.99875,-0.02,0.06,0.0,-15790.0,29840.0,-4530.0
57,0.5700000000000001,32.7602147,35.0226075,470.02,0.0135,0.0055,0.99875,-0.06,0.1,0.0,-15780.0,29810.0,-4530.0
58,0.58,32.7602147,35.0226075,470.02,0.01375,0.00525,0.9985,0.0,-0.02,-0.02,-15790.0,29850.0,-4550.0
59,0.59,32.7602147,35.0226075,470.02,0.01375,0.00525,0.99875,0.02,-0.02,0.0,-15780.0,29820.0,-4550.0
60,0.6,32.7602147,35.0226075,470.02,0.014,0.0055,0.99875,0.0,-0.02,-0.02,-15810.0,29790.0,-4540.0
61,0.61,32.7602147,35.0226075,470.02,0.014,0.00525,0.999,-0.04,0.02,-0.02,-15810.0,29870.0,-4520.0
62,0.62,32.7602147,35.0226075,470.02,0.01375,0.0055,0.99875,-0.02,-0.02,0.02,-15830.0,29790.0,-4510.0
63,0.63,32.7602147,35.0226075,470.02,0.014,0.0055,0.99875,-0.02,-0.06,0.02,-15840.0,29790.0,-4540.0
64,0.64,32.7602147,35.0226075,470.02,0.01425,0.00525,0.99875,0.02,-0.02,-0.06,-15790.0,29800.0,-4550.0
65,0.65,32.7602147,35.0226075,470.02,0.0145,0.0055,0.99875,-0.06,-0.02,-0.02,-15760.0,29730.0,-4560.0
66,0.66,32.7602147,35.0226075,470.02,0.01475,0.00575,0.9985,-0.04,0.02,0.0,-15790.0,29740.0,-4580.0
67,0.67,32.7602147,35.0226075,470.02,0.01475,0.0055,0.999,-0.04,0.02,0.04,-15800.0,29780.0,-4520.0
68,0.68,32.7602147,35.0226075,470.01,0.014,0.0055,0.99875,0.0,-0.06,0.06,-15760.0,29710.0,-4550.0
69,0.6900000000000001,32.7602147,35.0226075,470.01,0.0145,0.0055,0.999,-0.02,-0.02,0.1,-15800.0,29800.0,-4630.0
70,0.7000000000000001,32.7602147,35.0226075,470.01,0.01425,0.0055,0.99875,0.0,-0.02,0.02,-15780.0,29830.0,-4570.0
71,0.71,32.7602147,35.0226075,470.01,0.014,0.0055,0.99875,0.0,0.0,0.04,-15810.0,29780.0,-4560.0
72,0.72,32.7602147,35.0226075,470.01,0.01425,0.0055,0.99875,0.0,0.06,-0.06,-15820.0,29810.0,-4570.0
73,0.73,32.7602147,35.0226075,470.01,0.014,0.0055,0.9985,0.0,0.02,0.0,-15820.0,29760.0,-4520.0
74,0.74,32.7602147,35.0226075,470.01,0.014,0.00575,0.99875,-0.06,0.06,0.02,-15780.0,29700.0,-4550.0
75,0.75,32.7602147,35.0226075,470.01,0.014,0.0055,0.99875,0.02,0.02,0.04,-15840.0,29770.0,-4560.0
