,Time_Sample [sec],Lat_GNSS [deg],Long_GNSS [deg],Height_GNSS [m],Acc_X [g],Acc_Y [g],Acc_Z [g],Gyro_X [dps],Gyro_Y [dps],Gyro_Z [dps],Magn_X [nT],Magn_Y [nT],Magn_Z [nT]
0,0.0,32.7602152,35.0226067,470.28,0.01275,0.00525,0.9985,-0.04,-0.02,-0.04,-14760.0,28560.0,-4560.0
1,0.01,32.7602152,35.0226067,470.28,0.01275,0.005,0.999,0.02,0.0,-0.02,-14760.0,28620.0,-4550.0
2,0.02,32.7602152,35.0226067,470.28,0.0125,0.0055,0.99875,-0.02,-0.02,0.04,-14710.0,28580.0,-4590.0
3,0.03,32.7602152,35.0226067,470.28,0.01275,0.00525,0.99875,-0.06,0.0,-0.04,-14730.0,28590.0,-4610.0
4,0.04,32.7602152,35.0226067,470.28,0.01275,0.00525,0.99875,0.0,0.02,-0.02,-14770.0,28640.0,-4550.0
5,0.05,32.7602152,35.0226067,470.28,0.0125,0.00525,0.99875,-0.02,0.02,0.0,-14760.0,28580.0,-4540.0
6,0.06,32.7602152,35.0226067,470.28,0.01275,0.00525,0.99875,-0.02,-0.02,0.02,-14740.0,28560.0,-4560.0
7,0.07,32.7602152,35.0226067,470.28,0.01275,0.00525,0.9985,0.04,0.04,0.02,-14740.0,28600.0,-4510.0
8,0.08,32.7602152,35.0226067,470.28,0.01225,0.00525,0.99875,-0.02,-0.02,0.02,-14760.0,28560.0,-4520.0
9,0.09,32.7602152,35.0226067,470.28,0.01275,0.00525,0.99875,-0.06,0.0,0.02,-14780.0,28570.0,-4550.0
10,0.1,32.7602152,35.0226067,470.28,0.01275,0.00525,0.99875,0.02,0.0,0.02,-14770.0,28620.0,-4490.0
11,0.11,32.7602152,35.0226067,470.28,0.01225,0.0055,0.99875,-0.06,-0.04,0.04,-14750.0,28580.0,-4520.0
12,0.12,32.7602152,35.0226067,470.28,0.01275,0.00525,0.99875,-0.06,-0.02,0.0,-14760.0,28640.0,-4550.0
13,0.13,32.7602152,35.0226067,470.28,0.01275,0.005,0.99875,0.0,0.0,0.04,-14770.0,28660.0,-4490.0
14,0.14,32.7602152,35.0226067,470.28,0.0125,0.00525,0.99875,-0.02,0.06,0.04,-14770.0,28610.0,-4500.0
15,0.15,32.7602152,35.0226067,470.28,0.013,0.0055,0.99875,-0.02,-0.06,0.02,-14780.0,28640.0,-4520.0
16,0.16,32.7602152,35.0226067,470.28,0.0125,0.00525,0.99875,0.02,0.02,0.02,-14830.0,28660.0,-4460.0
17,0.17,32.7602152,35.0226067,470.28,0.0125,0.00525,0.99875,-0.04,0.0,0.0,-14810.0,28690.0,-4500.0
18,0.18,32.7602152,35.0226067,470.28,0.01275,0.00525,0.999,-0.08,-0.04,0.0,-14820.0,28710.0,-4530.0
19,0.19,32.7602152,35.0226067,470.28,0.0125,0.005,0.99875,0.02,-0.04,0.0,-14840.0,28710.0,-4480.0
20,0.2,32.7602152,35.0226067,470.28,0.0125,0.00525,0.9985,0.04,0.02,-0.04,-14830.0,28650.0,-4490.0
21,0.21,32.7602152,35.0226067,470.28,0.01275,0.00525,0.99875,-0.08,0.0,-0.02,-14810.0,28690.0,-4510.0
22,0.22,32.7602152,35.0226067,470.27,0.0125,0.00525,0.9985,-0.02,0.0,0.0,-14810.0,28760.0,-4530.0
23,0.23,32.7602152,35.0226067,470.27,0.0125,0.00525,0.9985,0.0,0.04,0.02,-14840.0,28730.0,-4540.0
24,0.24,32.7602152,35.0226067,470.27,0.01275,0.005,0.99875,-0.02,-0.04,0.0,-14820.0,28690.0,-4520.0
25,0.25,32.7602152,35.0226067,470.27,0.0125,0.005,0.99875,-0.02,-0.02,-0.04,-14800.0,28590.0,-4490.0
26,0.26,32.7602152,35.0226067,470.27,0.0125,0.0055,0.99875,-0.04,-0.04,0.0,-14780.0,28550.0,-4500.0
27,0.27,32.7602152,35.0226067,470.27,0.0125,0.00525,0.99875,-0.02,0.0,0.04,-14800.0,28660.0,-4470.0
28,0.28,32.7602152,35.0226067,470.27,0.0125,0.00525,0.99875,-0.06,-0.02,0.04,-14810.0,28590.0,-4480.0
29,0.29,32.7602152,35.0226067,470.27,0.0125,0.00525,0.99875,0.02,0.02,0.04,-14770.0,28530.0,-4520.0
30,0.3,32.7602152,35.0226067,470.27,0.0125,0.005,0.999,0.1,0.0,0.02,-14760.0,28600.0,-4490.0
31,0.31,32.7602152,35.0226067,470.27,0.0125,0.00525,0.99875,0.0,-0.04,0.06,-14760.0,28570.0,-4500.0
32,0.32,32.7602152,35.0226067,470.27,0.0125,0.00525,0.99875,-0.04,0.0,-0.02,-14770.0,28620.0,-4570.0
33,0.33,32.7602152,35.0226067,470.27,0.0125,0.005,0.99875,0.04,0.02,0.0,-14790.0,28660.0,-4500.0
34,0.34,32.7602152,35.0226067,470.27,0.0125,0.00525,0.99875,-0.02,0.02,0.04,-14780.0,28600.0,-4480.0
35,0.35000000000000003,32.7602152,35.0226067,470.27,0.01275,0.00525,0.99875,-0.02,0.0,0.04,-14760.0,28490.0,-4510.0
36,0.36,32.7602152,35.0226067,470.27,0.0125,0.005,0.999,0.02,-0.02,0.04,-14770.0,28540.0,-4450.0
37,0.37,32.7602152,35.0226067,470.27,0.0125,0.0055,0.99875,-0.02,0.04,0.0,-14810.0,28580.0,-4470.0
38,0.38,32.7602152,35.0226067,470.27,0.01275,0.00525,0.99875,-0.02,-0.04,-0.02,-14840.0,28610.0,-4510.0
39,0.39,32.7602152,35.0226067,470.27,0.0125,0.00525,0.999,0.02,0.02,0.04,-14810.0,28570.0,-4470.0
40,0.4,32.7602152,35.0226067,470.27,0.0125,0.0055,0.99875,0.0,0.06,0.08,-14790.0,28560.0,-4480.0
41,0.41000000000000003,32.7602152,35.0226067,470.27,0.01275,0.00525,0.99875,0.02,0.0,0.06,-14820.0,28630.0,-4510.0
42,0.42,32.7602153,35.0226067,470.27,0.0125,0.00525,0.99875,0.06,-0.04,0.02,-14820.0,28680.0,-4500.0
43,0.43,32.7602153,35.0226067,470.27,0.01275,0.00525,0.99875,-0.02,0.06,0.0,-14820.0,28690.0,-4500.0
44,0.44,32.7602153,35.0226067,470.27,0.01275,0.00525,0.99875,0.04,-0.06,0.02,-14860.0,28690.0,-4490.0
45,0.45,32.7602153,35.0226067,470.27,0.0125,0.005,0.99875,0.04,0.06,0.0,-14820.0,28620.0,-4460.0
46,0.46,32.7602153,35.0226067,470.27,0.01275,0.0055,0.99875,0.02,0.02,0.0,-14810.0,28560.0,-4470.0
47,0.47000000000000003,32.7602153,35.0226067,470.27,0.01275,0.005,0.99875,0.0,-0.06,-0.08,-14750.0,28480.0,-4450.0
48,0.48,32.7602153,35.0226067,470.27,0.0125,0.005,0.999,-0.04,-0.02,0.04,-14660.0,28260.0,-4400.0
49,0.49,32.7602153,35.0226067,470.27,0.01275,0.00525,0.99875,-0.08,0.0,0.06,-14610.0,28170.0,-4390.0
50,0.5,32.7602153,35.0226067,470.27,0.01275,0.005,0.9985,0.0,-0.04,-0.04,-14640.0,28270.0,-4340.0
51,0.51,32.7602153,35.0226067,470.27,0.01225,0.00525,0.99875,0.02,0.04,0.0,-14630.0,28240.0,-4340.0
52,0.52,32.7602153,35.0226067,470.27,0.01275,0.0055,0.99875,-0.02,-0.02,0.02,-14610.0,28210.0,-4400.0
53,0.53,32.7602153,35.0226067,470.27,0.0125,0.00525,0.99875,0.0,0.0,0.02,-14710.0,28380.0,-4390.0
54,0.54,32.7602153,35.0226067,470.27,0.0125,0.00525,0.9985,0.02,-0.02,0.0,-14740.0,28390.0,-4430.0
55,0.55,32.7602153,35.0226067,470.27,0.0125,0.0055,0.99875,-0.02,0.06,0.06,-14780.0,28430.0,-4460.0
56,0.56,32.7602153,35.0226067,470.27,0.0125,0.005,0.99875,-0.02,-0.04,0.02,-14850.0,28580.0,-4410.0
57,0.5700000000000001,32.7602153,35.0226067,470.27,0.0125,0.0055,0.99875,-0.04,0.02,-0.02,-14810.0,28500.0,-4460.0
58,0.58,32.7602153,35.0226067,470.27,0.01275,0.0055,0.999,-0.04,-0.02,0.04,-14760.0,28460.0,-4530.0
59,0.59,32.7602153,35.0226067,470.27,0.01275,0.005,0.9985,0.0,-0.02,-0.02,-14810.0,28550.0,-4460.0
60,0.6,32.7602153,35.0226067,470.27,0.0125,0.00525,0.999,0.06,-0.02,0.04,-14820.0,28530.0,-4470.0
61,0.61,32.7602153,35.0226067,470.27,0.01275,0.00525,0.99875,0.02,0.0,-0.02,-14800.0,28520.0,-4520.0
62,0.62,32.7602153,35.0226067,470.27,0.0125,0.005,0.999,0.02,0.04,0.02,-14780.0,28570.0,-4510.0
63,0.63,32.7602153,35.0226067,470.27,0.0125,0.0055,0.9985,-0.04,-0.06,0.04,-14750.0,28490.0,-4530.0
64,0.64,32.7602153,35.0226067,470.27,0.01275,0.00525,0.99875,0.04,0.02,0.08,-14760.0,28490.0,-4520.0
65,0.65,32.7602153,35.0226067,470.27,0.0125,0.00525,0.99875,0.0,-0.04,0.0,-14790.0,28520.0,-4460.0
66,0.66,32.7602153,35.0226067,470.27,0.0125,0.0055,0.999,-0.02,-0.02,0.02,-14780.0,28500.0,-4460.0
67,0.67,32.7602153,35.0226067,470.27,0.01275,0.00525,0.99875,-0.02,-0.02,-0.02,-14790.0,28500.0,-4490.0
68,0.68,32.7602153,35.0226067,470.27,0.0125,0.00525,0.99875,-0.02,-0.06,0.0,-14790.0,28460.0,-4450.0
69,0.6900000000000001,32.7602153,35.0226067,470.27,0.0125,0.00525,0.999,-0.08,0.04,0.02,-14800.0,28480.0,-4480.0
70,0.7000000000000001,32.7602153,35.0226067,470.27,0.01275,0.00525,0.99875,0.02,0.04,0.0,-14790.0,28520.0,-4480.0
71,0.71,32.7602153,35.0226067,470.27,0.01225,0.00525,0.99875,0.0,-0.04,0.02,-14760.0,28450.0,-4480.0
72,0.72,32.7602153,35.0226067,470.27,0.01275,0.0055,0.99875,0.06,0.0,-0.02,-14730.0,28480.0,-4540.0
73,0.73,32.7602153,35.0226067,470.27,0.01275,0.00525,0.999,0.0,-0.06,-0.02,-14740.0,28550.0,-4540.0
74,0.74,32.7602153,35.0226067,470.27,0.012,0.00525,0.9985,0.02,0.06,0.0,-14770.0,28480.0,-4500.0
75,0.75,32.7602153,35.0226067,470.27,0.0125,0.0055,0.99875,0.0,0.02,0.0,-14760.0,28460.0,-4500.0
76,0.76,32.7602153,35.0226067,470.27,0.01275,0.005,0.9985,0.0,-0.02,-0.02,-14790.0,28530.0,-4470.0
77,0.77,32.7602153,35.0226067,470.27,0.0125,0.00525,0.99875,-0.02,0.02,0.02,-14760.0,28500.0,-4480.0
78,0.78,32.7602153,35.0226067,470.27,0.01275,0.00525,0.999,0.0,0.04,0.0,-14780.0,28530.0,-4530.0
