,Time_Sample [sec],Lat_GNSS [deg],Long_GNSS [deg],Height_GNSS [m],Acc_X [g],Acc_Y [g],Acc_Z [g],Gyro_X [dps],Gyro_Y [dps],Gyro_Z [dps],Magn_X [nT],Magn_Y [nT],Magn_Z [nT]
0,0.0,32.7602089,35.022442,473.98,0.01375,0.0215,0.9985,-0.04,0.02,0.06,-51180.0,32680.0,-6510.0
1,0.01,32.7602089,35.022442,473.98,0.01375,0.02175,0.9985,-0.04,0.02,0.02,-51130.0,32620.0,-6540.0
2,0.02,32.7602089,35.022442,473.98,0.014,0.0215,0.9985,0.02,-0.06,0.0,-51130.0,32710.0,-6540.0
3,0.03,32.7602089,35.022442,473.98,0.0135,0.0215,0.9985,0.04,-0.06,0.02,-51120.0,32630.0,-6520.0
4,0.04,32.7602089,35.022442,473.98,0.01375,0.0215,0.9985,-0.02,-0.08,0.0,-51130.0,32620.0,-6530.0
5,0.05,32.7602089,35.022442,473.98,0.014,0.0215,0.9985,0.0,-0.02,0.0,-51180.0,32710.0,-6480.0
6,0.06,32.7602089,35.022442,473.98,0.01375,0.0215,0.9985,0.02,-0.02,0.02,-51160.0,32650.0,-6490.0
7,0.07,32.7602089,35.022442,473.98,0.0145,0.02175,0.9985,-0.02,-0.02,-0.04,-51150.0,32650.0,-6520.0
8,0.08,32.7602089,35.022442,473.98,0.01425,0.02125,0.9985,0.04,0.0,0.0,-51180.0,32730.0,-6470.0
9,0.09,32.7602089,35.022442,473.98,0.0145,0.0215,0.99875,-0.06,-0.04,0.04,-51160.0,32710.0,-6510.0
10,0.1,32.7602089,35.022442,473.98,0.0145,0.0215,0.9985,-0.02,0.0,-0.02,-51170.0,32670.0,-6540.0
11,0.11,32.7602089,35.022442,473.98,0.014,0.0215,0.99825,-0.02,0.02,0.08,-51190.0,32770.0,-6490.0
12,0.12,32.7602089,35.022442,473.99,0.0145,0.02175,0.99825,0.04,0.0,-0.04,-51170.0,32790.0,-6560.0
13,0.13,32.7602089,35.022442,473.99,0.01425,0.02175,0.99875,-0.04,0.02,0.04,-51160.0,32810.0,-6620.0
14,0.14,32.7602089,35.022442,473.99,0.014,0.0215,0.9985,-0.06,0.1,0.04,-51150.0,32800.0,-6580.0
15,0.15,32.7602089,35.022442,473.99,0.01425,0.02175,0.9985,0.0,0.06,0.04,-51160.0,32750.0,-6570.0
16,0.16,32.7602089,35.022442,473.99,0.014,0.0215,0.99825,-0.12,0.06,0.0,-51170.0,32710.0,-6530.0
17,0.17,32.7602089,35.022442,473.99,0.01375,0.02125,0.99825,0.0,0.0,0.0,-51140.0,32560.0,-6430.0
18,0.18,32.7602089,35.022442,473.99,0.01375,0.02175,0.99825,0.02,0.08,0.0,-51160.0,32530.0,-6410.0
19,0.19,32.7602089,35.022442,473.99,0.014,0.0215,0.9985,-0.02,0.0,-0.02,-51160.0,32470.0,-6390.0
20,0.2,32.7602089,35.022442,473.99,0.01375,0.02125,0.9985,0.0,0.0,0.02,-51160.0,32380.0,-6370.0
21,0.21,32.7602089,35.022442,473.99,0.014,0.0215,0.9985,-0.02,0.06,0.02,-51180.0,32350.0,-6390.0
22,0.22,32.7602089,35.022442,473.99,0.014,0.02125,0.99875,0.0,0.02,-0.02,-51240.0,32460.0,-6370.0
23,0.23,32.7602089,35.022442,473.99,0.0135,0.0215,0.99825,0.04,0.0,0.0,-51230.0,32410.0,-6360.0
24,0.24,32.7602089,35.022442,473.99,0.01425,0.02175,0.9985,0.0,-0.02,0.04,-51310.0,32540.0,-6420.0
