Lat_GNSS,Long_GNSS,Height_GNSS,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magn_X,Magn_Y,Magn_Z
32.7603746,35.0226217,476.0,0.0145,0.0105,0.99875,0.0,0.06,0.04,-19240.0,-15740.0,-3830.0
32.7603746,35.0226217,476.0,0.0145,0.01025,0.9985,-0.06,0.04,0.02,-19260.0,-15680.0,-3880.0
32.7603746,35.0226217,476.0,0.014,0.01,0.9985,-0.02,0.08,-0.02,-19240.0,-15710.0,-3820.0
32.7603746,35.0226217,476.0,0.01425,0.01025,0.99875,0.0,0.02,-0.02,-19250.0,-15710.0,-3830.0
32.7603746,35.0226217,476.0,0.01425,0.01025,0.99875,-0.08,0.04,0.02,-19260.0,-15680.0,-3850.0
32.7603746,35.0226217,476.0,0.014,0.0105,0.9985,0.06,0.02,0.02,-19220.0,-15760.0,-3850.0
32.7603746,35.0226217,476.0,0.014,0.01075,0.99875,0.0,0.08,0.0,-19210.0,-15720.0,-3870.0
32.7603746,35.0226217,476.0,0.01375,0.0105,0.99875,0.02,0.02,0.02,-19290.0,-15630.0,-3820.0
32.7603746,35.0226217,476.0,0.014,0.01075,0.99875,-0.02,-0.02,0.0,-19260.0,-15710.0,-3810.0
32.7603746,35.0226217,476.0,0.01375,0.011,0.99875,0.0,0.0,0.02,-19270.0,-15730.0,-3810.0
32.7603746,35.0226217,476.0,0.014,0.01075,0.9985,-0.04,-0.02,-0.06,-19280.0,-15660.0,-3800.0
32.7603746,35.0226217,476.0,0.014,0.011,0.99875,0.04,-0.04,0.04,-19250.0,-15710.0,-3820.0
32.7603746,35.0226217,476.0,0.01425,0.011,0.9985,-0.04,-0.06,0.0,-19260.0,-15720.0,-3860.0
32.7603746,35.0226217,476.0,0.01425,0.01075,0.99875,0.0,-0.02,-0.04,-19300.0,-15610.0,-3810.0
32.7603746,35.0226217,476.0,0.0145,0.01075,0.999,-0.04,-0.02,-0.04,-19270.0,-15690.0,-3820.0
32.7603746,35.0226217,476.0,0.01475,0.01075,0.9985,-0.02,-0.08,0.0,-19260.0,-15640.0,-3880.0
32.7603746,35.0226216,475.99,0.0145,0.01025,0.999,0.0,-0.04,0.04,-19300.0,-15530.0,-3870.0
32.7603746,35.0226216,475.99,0.0145,0.0105,0.99875,-0.04,0.04,0.04,-19290.0,-15550.0,-3910.0
32.7603746,35.0226216,475.99,0.015,0.01025,0.99875,0.04,-0.04,0.02,-19290.0,-15560.0,-3940.0
32.7603746,35.0226216,475.99,0.01475,0.01,0.99875,-0.06,-0.04,0.0,-19270.0,-15550.0,-3900.0
32.7603746,35.0226216,475.99,0.01475,0.0105,0.99875,-0.04,0.02,0.0,-19260.0,-15600.0,-3920.0
32.7603746,35.0226216,475.99,0.015,0.0105,0.99875,-0.06,-0.04,-0.06,-19260.0,-15610.0,-3940.0
32.7603746,35.0226216,475.99,0.0145,0.0105,0.9985,0.02,0.08,0.0,-19280.0,-15630.0,-3850.0
32.7603746,35.0226216,475.99,0.01425,0.011,0.99875,-0.02,0.0,-0.04,-19270.0,-15670.0,-3850.0
32.7603746,35.0226216,475.99,0.0145,0.0105,0.9985,-0.08,0.08,-0.04,-19260.0,-15600.0,-3830.0
32.7603746,35.0226216,475.99,0.014,0.01075,0.9985,0.06,0.06,0.0,-19280.0,-15660.0,-3810.0
32.7603746,35.0226216,475.99,0.014,0.011,0.99875,-0.02,0.02,-0.02,-19210.0,-15660.0,-3880.0
32.7603746,35.0226216,475.99,0.014,0.01075,0.999,-0.02,0.04,0.02,-19200.0,-15670.0,-3870.0
32.7603746,35.0226216,475.99,0.01375,0.01075,0.99875,-0.02,0.04,-0.06,-19240.0,-15670.0,-3810.0
32.7603746,35.0226216,475.99,0.01375,0.01075,0.9985,-0.04,0.0,0.04,-19260.0,-15670.0,-3830.0
32.7603746,35.0226216,475.99,0.01375,0.0105,0.9985,-0.02,-0.04,0.06,-19250.0,-15650.0,-3810.0
32.7603746,35.0226216,475.99,0.01375,0.0105,0.99875,-0.02,-0.04,0.02,-19220.0,-15700.0,-3830.0
32.7603746,35.0226216,475.99,0.014,0.01075,0.99875,0.0,-0.04,0.02,-19180.0,-15740.0,-3880.0
32.7603746,35.0226216,475.99,0.01375,0.01025,0.99875,0.0,-0.02,0.0,-19210.0,-15650.0,-3840.0
32.7603746,35.0226216,475.99,0.01375,0.0105,0.999,-0.08,-0.04,0.1,-19200.0,-15700.0,-3840.0
