,Time_Sample [sec],Lat_GNSS [deg],Long_GNSS [deg],Height_GNSS [m],Acc_X [g],Acc_Y [g],Acc_Z [g],Gyro_X [dps],Gyro_Y [dps],Gyro_Z [dps],Magn_X [nT],Magn_Y [nT],Magn_Z [nT]
0,0.0,32.7603723,35.0226244,472.24,0.015,0.0105,0.99875,-0.02,-0.06,0.02,-20740.0,-15770.0,-3210.0
1,0.01,32.7603723,35.0226244,472.24,0.0145,0.01075,0.99875,0.02,0.12,-0.02,-20740.0,-15810.0,-3200.0
2,0.02,32.7603723,35.0226244,472.24,0.01475,0.01075,0.99875,0.04,0.04,0.02,-20750.0,-15830.0,-3230.0
3,0.03,32.7603723,35.0226244,472.24,0.01475,0.0105,0.99875,-0.02,0.06,0.0,-20760.0,-15800.0,-3190.0
4,0.04,32.7603723,35.0226244,472.24,0.0145,0.0105,0.99875,-0.06,0.02,0.04,-20730.0,-15780.0,-3250.0
5,0.05,32.7603723,35.0226244,472.24,0.01475,0.01075,0.9985,0.04,0.0,-0.08,-20760.0,-15800.0,-3240.0
6,0.06,32.7603723,35.0226244,472.24,0.0145,0.01075,0.9985,-0.02,-0.06,-0.04,-20760.0,-15770.0,-3180.0
7,0.07,32.7603723,35.0226244,472.24,0.01425,0.011,0.999,-0.02,-0.02,0.0,-20790.0,-15760.0,-3180.0
8,0.08,32.7603723,35.0226244,472.24,0.0145,0.011,0.999,-0.1,0.0,0.02,-20790.0,-15760.0,-3210.0
9,0.09,32.7603723,35.0226244,472.24,0.0145,0.011,0.99875,0.04,-0.04,0.04,-20760.0,-15750.0,-3220.0
10,0.1,32.7603723,35.0226244,472.24,0.01475,0.011,0.9985,0.04,-0.06,0.0,-20740.0,-15730.0,-3270.0
11,0.11,32.7603723,35.0226244,472.24,0.01525,0.01075,0.9985,-0.04,-0.02,-0.04,-20750.0,-15680.0,-3300.0
12,0.12,32.7603723,35.0226244,472.24,0.01475,0.01075,0.9985,-0.04,-0.02,0.0,-20740.0,-15730.0,-3280.0
13,0.13,32.7603723,35.0226244,472.24,0.015,0.011,0.9985,0.0,-0.06,-0.02,-20750.0,-15750.0,-3290.0
14,0.14,32.7603723,35.0226244,472.24,0.015,0.0105,0.99875,-0.02,-0.02,-0.04,-20740.0,-15750.0,-3280.0
15,0.15,32.7603723,35.0226244,472.24,0.015,0.0105,0.99875,0.02,-0.02,0.04,-20720.0,-15850.0,-3230.0
