Lat_GNSS,Long_GNSS,Height_GNSS,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magn_X,Magn_Y,Magn_Z
32.7602091,35.0226111,470.46,0.0105,-0.003,0.9985,-0.02,-0.02,-0.1,-17200.0,29800.0,-5310.0
32.7602091,35.0226111,470.46,0.01075,-0.0035,0.999,0.04,0.0,0.06,-17250.0,29920.0,-5320.0
32.7602091,35.0226111,470.47,0.0105,-0.00325,0.99875,0.04,0.04,0.0,-17270.0,29910.0,-5340.0
32.7602091,35.0226111,470.47,0.01075,-0.00325,0.999,-0.02,0.02,0.0,-17290.0,29880.0,-5370.0
32.7602091,35.0226111,470.47,0.0105,-0.0035,0.99875,-0.02,0.02,0.0,-17320.0,29900.0,-5330.0
32.7602091,35.0226111,470.47,0.01,-0.00325,0.999,-0.02,-0.02,0.02,-17380.0,29830.0,-5300.0
32.7602091,35.0226111,470.47,0.0105,-0.00325,0.99875,0.0,-0.02,0.04,-17460.0,29800.0,-5290.0
32.7602091,35.0226111,470.47,0.0105,-0.00325,0.99875,-0.02,0.0,-0.02,-17480.0,29870.0,-5240.0
32.7602091,35.0226111,470.47,0.0105,-0.00325,0.99875,-0.02,0.04,0.04,-17500.0,29780.0,-5250.0
32.7602091,35.0226111,470.47,0.01075,-0.00325,0.99875,-0.04,0.0,-0.02,-17490.0,29750.0,-5270.0
32.7602091,35.0226111,470.47,0.0105,-0.00325,0.99875,0.0,0.0,0.06,-17510.0,29790.0,-5220.0
32.7602091,35.0226111,470.47,0.0105,-0.003,0.99875,0.08,0.02,-0.06,-17470.0,29790.0,-5240.0
32.7602091,35.0226111,470.47,0.01075,-0.003,0.99875,-0.02,0.06,0.0,-17430.0,29800.0,-5330.0
32.7602091,35.0226111,470.47,0.01075,-0.00325,0.99875,0.02,0.0,0.04,-17390.0,29820.0,-5270.0
32.7602091,35.0226111,470.47,0.0105,-0.00325,0.99875,-0.02,0.06,0.0,-17350.0,29780.0,-5270.0
32.7602091,35.0226111,470.47,0.0105,-0.00325,0.99875,-0.08,0.02,0.04,-17330.0,29810.0,-5310.0
32.7602091,35.0226111,470.47,0.01075,-0.0035,0.99875,-0.04,0.02,0.02,-17290.0,29810.0,-5260.0
32.7602091,35.0226111,470.47,0.0105,-0.00325,0.99875,-0.02,-0.02,0.02,-17270.0,29820.0,-5300.0
32.7602091,35.0226111,470.47,0.01075,-0.00325,0.99875,0.0,0.0,0.0,-17290.0,29870.0,-5300.0
32.7602091,35.0226111,470.47,0.01025,-0.00325,0.999,0.02,0.06,-0.06,-17290.0,29860.0,-5260.0
32.7602091,35.0226111,470.47,0.0105,-0.00325,0.999,-0.04,0.02,0.06,-17280.0,29870.0,-5270.0
32.7602091,35.0226111,470.47,0.01075,-0.0035,0.99875,-0.02,0.02,0.02,-17290.0,29940.0,-5300.0
32.7602091,35.0226111,470.48,0.0105,-0.00325,0.9985,-0.04,0.02,-0.02,-17240.0,29950.0,-5320.0
32.7602091,35.0226111,470.48,0.0105,-0.003,0.99875,-0.02,0.02,-0.06,-17230.0,29940.0,-5370.0
32.7602091,35.0226111,470.48,0.01075,-0.00325,0.99875,0.0,-0.04,0.08,-17280.0,30020.0,-5340.0
32.7602091,35.0226111,470.48,0.0105,-0.0035,0.99875,-0.06,0.08,0.04,-17240.0,29920.0,-5310.0
32.7602091,35.0226111,470.48,0.0105,-0.00325,0.99875,-0.08,0.02,0.0,-17240.0,29940.0,-5310.0
32.7602091,35.0226111,470.48,0.0105,-0.00325,0.99875,0.02,0.02,-0.06,-17290.0,30080.0,-5310.0
32.7602091,35.0226111,470.48,0.0105,-0.0035,0.99875,-0.06,0.0,0.0,-17320.0,30050.0,-5280.0
32.7602091,35.0226111,470.48,0.0105,-0.003,0.99875,0.04,0.0,0.06,-17290.0,30050.0,-5330.0
32.7602091,35.0226111,470.48,0.01075,-0.00325,0.99875,-0.02,-0.02,0.02,-17320.0,30160.0,-5320.0
32.7602091,35.0226111,470.48,0.0105,-0.00325,0.999,-0.04,0.04,0.04,-17280.0,30060.0,-5350.0
32.7602091,35.0226111,470.48,0.01075,-0.00325,0.99875,0.08,0.0,-0.02,-17250.0,30030.0,-5400.0
32.7602091,35.0226111,470.48,0.01075,-0.0035,0.99875,0.04,0.04,0.0,-17250.0,30120.0,-5360.0
32.7602091,35.0226111,470.48,0.0105,-0.003,0.999,0.0,0.06,0.02,-17270.0,30070.0,-5360.0
32.7602091,35.0226111,470.48,0.01075,-0.00325,0.99875,-0.04,0.0,-0.04,-17260.0,30040.0,-5340.0
32.7602091,35.0226111,470.48,0.0105,-0.0035,0.99875,0.08,0.02,0.0,-17270.0,30090.0,-5280.0
32.7602091,35.0226111,470.48,0.0105,-0.003,0.99875,-0.04,0.0,0.04,-17240.0,30020.0,-5310.0
32.7602091,35.0226111,470.48,0.01075,-0.00325,0.99875,-0.04,-0.02,0.02,-17230.0,30000.0,-5340.0
32.7602091,35.0226111,470.48,0.0105,-0.00325,0.9985,0.0,0.0,-0.02,-17250.0,30090.0,-5270.0
32.7602091,35.0226111,470.48,0.0105,-0.003,0.99875,0.0,-0.02,0.02,-17310.0,30110.0,-5260.0
32.7602091,35.0226111,470.48,0.01075,-0.00325,0.9985,0.02,0.08,-0.02,-17320.0,30070.0,-5290.0
32.7602091,35.022611,470.48,0.0105,-0.0035,0.999,-0.02,-0.04,0.04,-17270.0,30110.0,-5280.0
32.7602091,35.022611,470.48,0.01025,-0.00325,0.99875,-0.02,0.02,0.0,-17280.0,30090.0,-5290.0
32.7602091,35.022611,470.48,0.01075,-0.00325,0.9985,-0.02,0.0,0.06,-17270.0,30040.0,-5300.0
32.7602091,35.022611,470.48,0.01025,-0.00325,0.9985,0.0,0.0,-0.02,-17260.0,30000.0,-5250.0
32.7602091,35.022611,470.48,0.0105,-0.003,0.99875,0.02,0.04,0.02,-17280.0,30000.0,-5250.0
32.7602091,35.022611,470.48,0.01075,-0.00325,0.99875,-0.04,-0.02,-0.08,-17300.0,30050.0,-5280.0
32.7602091,35.022611,470.48,0.0105,-0.00325,0.999,0.02,0.0,0.04,-17280.0,29990.0,-5230.0
32.7602091,35.022611,470.48,0.0105,-0.00325,0.99875,0.02,0.0,0.0,-17310.0,30050.0,-5240.0
32.7602091,35.022611,470.48,0.011,-0.00325,0.99875,0.04,0.0,0.02,-17370.0,30110.0,-5230.0
32.7602091,35.022611,470.48,0.0105,-0.0035,0.99875,0.0,0.02,0.02,-17330.0,30080.0,-5230.0
32.7602091,35.022611,470.48,0.01075,-0.00325,0.99875,0.0,0.02,-0.02,-17300.0,30130.0,-5280.0
32.7602091,35.022611,470.48,0.0105,-0.00325,0.999,0.0,-0.02,0.06,-17290.0,30110.0,-5300.0
32.7602091,35.022611,470.48,0.01025,-0.00325,0.99875,-0.06,-0.06,0.02,-17240.0,29950.0,-5280.0
32.7602091,35.022611,470.48,0.0105,-0.003,0.99875,0.0,0.0,0.04,-17240.0,29980.0,-5290.0
32.7602091,35.022611,470.48,0.0105,-0.00325,0.999,0.02,0.06,0.0,-17330.0,30100.0,-5250.0
32.7602091,35.022611,470.48,0.01025,-0.003,0.99875,-0.02,-0.02,0.04,-17320.0,30030.0,-5260.0
32.7602091,35.022611,470.48,0.0105,-0.003,0.99875,0.04,0.02,0.02,-17310.0,30040.0,-5260.0
32.7602091,35.022611,470.48,0.0105,-0.00325,0.999,0.02,0.06,-0.02,-17320.0,30070.0,-5230.0
32.7602091,35.022611,470.48,0.01025,-0.00325,0.999,-0.02,0.04,-0.02,-17270.0,29910.0,-5250.0
32.7602091,35.022611,470.48,0.0105,-0.003,0.99875,-0.02,-0.04,0.06,-17240.0,29900.0,-5270.0
32.7602092,35.022611,470.49,0.01075,-0.0035,0.99875,-0.02,-0.02,-0.02,-17310.0,30120.0,-5260.0
32.7602092,35.022611,470.49,0.0105,-0.003,0.999,-0.12,-0.02,-0.02,-17340.0,30080.0,-5260.0
32.7602092,35.022611,470.49,0.011,-0.00325,0.99875,0.02,0.0,-0.04,-17320.0,30010.0,-5270.0
32.7602092,35.022611,470.49,0.01075,-0.00325,0.999,-0.04,0.0,0.02,-17280.0,30020.0,-5230.0
32.7602092,35.022611,470.49,0.0105,-0.003,0.99875,0.0,0.02,-0.02,-17280.0,29950.0,-5230.0
32.7602092,35.022611,470.49,0.0105,-0.003,0.99875,-0.02,-0.02,-0.04,-17290.0,29990.0,-5260.0
32.7602092,35.022611,470.49,0.01025,-0.0035,0.999,-0.04,-0.02,0.06,-17310.0,30060.0,-5200.0
32.7602092,35.022611,470.49,0.0105,-0.003,0.9985,-0.02,0.02,0.0,-17300.0,30000.0,-5220.0
32.7602092,35.022611,470.49,0.0105,-0.00325,0.99875,-0.04,-0.04,0.02,-17270.0,29970.0,-5280.0
32.7602092,35.022611,470.49,0.01025,-0.00325,0.99875,-0.02,-0.04,0.0,-17300.0,30100.0,-5250.0
32.7602092,35.022611,470.49,0.0105,-0.00325,0.99875,0.02,-0.02,-0.02,-17330.0,30120.0,-5300.0
32.7602092,35.022611,470.49,0.01075,-0.00325,0.99875,-0.08,0.02,0.0,-17300.0,30080.0,-5340.0
32.7602092,35.022611,470.49,0.01025,-0.00325,0.9985,0.04,0.0,0.0,-17270.0,30030.0,-5300.0
32.7602092,35.022611,470.49,0.0105,-0.003,0.99875,0.02,-0.02,0.0,-17250.0,29950.0,-5280.0
32.7602092,35.022611,470.49,0.0105,-0.00325,0.999,-0.1,-0.02,-0.08,-17280.0,30030.0,-5300.0
32.7602092,35.022611,470.49,0.01025,-0.00325,0.99875,-0.02,0.0,0.02,-17320.0,30020.0,-5240.0
32.7602092,35.022611,470.49,0.0105,-0.003,0.999,0.02,0.02,0.02,-17270.0,30000.0,-5280.0
32.7602092,35.022611,470.49,0.01075,-0.00325,0.99875,-0.04,0.04,-0.02,-17270.0,30080.0,-5300.0
32.7602092,35.022611,470.49,0.0105,-0.00325,0.99875,-0.02,-0.02,0.06,-17290.0,30010.0,-5260.0
32.7602092,35.022611,470.49,0.0105,-0.003,0.99875,-0.02,0.02,0.04,-17290.0,29980.0,-5260.0
32.7602092,35.022611,470.5,0.01075,-0.0035,0.999,-0.04,-0.06,0.02,-17300.0,30110.0,-5290.0
32.7602092,35.022611,470.5,0.0105,-0.00325,0.99875,0.0,-0.02,0.06,-17310.0,30090.0,-5310.0
32.7602092,35.022611,470.5,0.0105,-0.00325,0.99875,0.08,-0.04,0.0,-17330.0,30160.0,-5340.0
32.7602092,35.022611,470.5,0.01075,-0.00325,0.99875,-0.1,-0.02,-0.06,-17340.0,30200.0,-5340.0
32.7602092,35.022611,470.5,0.01075,-0.00325,0.999,-0.06,0.0,0.0,-17330.0,30120.0,-5320.0
32.7602092,35.022611,470.5,0.01075,-0.003,0.9985,-0.04,-0.04,-0.02,-17310.0,30000.0,-5310.0
32.7602092,35.022611,470.5,0.0105,-0.0035,0.99875,-0.08,0.02,-0.02,-17300.0,30060.0,-5270.0
32.7602092,35.022611,470.5,0.01075,-0.00325,0.9985,-0.02,0.04,-0.08,-17280.0,30000.0,-5290.0
32.7602092,35.022611,470.5,0.01075,-0.00325,0.99875,-0.04,0.0,0.04,-17320.0,30000.0,-5280.0
32.7602092,35.022611,470.5,0.01025,-0.00325,0.99875,0.02,0.06,0.0,-17320.0,30070.0,-5230.0
32.7602092,35.022611,470.5,0.0105,-0.00325,0.999,-0.02,0.0,0.02,-17310.0,30040.0,-5260.0
32.7602092,35.022611,470.5,0.0105,-0.00325,0.999,-0.02,-0.02,0.02,-17280.0,29950.0,-5270.0
32.7602092,35.022611,470.5,0.01025,-0.00325,0.99875,0.08,0.02,0.06,-17270.0,29980.0,-5210.0
32.7602092,35.022611,470.5,0.0105,-0.00325,0.99875,0.02,0.02,0.02,-17280.0,29990.0,-5210.0
32.7602092,35.022611,470.5,0.01025,-0.00325,0.99875,0.0,0.02,-0.04,-17350.0,30050.0,-5240.0
32.7602092,35.022611,470.5,0.01025,-0.00325,0.999,0.04,-0.02,0.0,-17320.0,30020.0,-5190.0
32.7602092,35.022611,470.5,0.01025,-0.00325,0.999,0.0,0.0,0.02,-17190.0,29770.0,-5170.0
32.7602092,35.022611,470.5,0.0105,-0.00325,0.99875,0.06,-0.02,-0.08,-17150.0,29810.0,-5190.0
32.7602092,35.022611,470.5,0.0105,-0.00325,0.99875,-0.04,0.0,0.02,-17140.0,29740.0,-5130.0
32.7602092,35.022611,470.5,0.0105,-0.00325,0.99875,0.0,-0.08,0.02,-17110.0,29720.0,-5130.0
32.7602093,35.022611,470.5,0.01075,-0.00325,0.999,-0.04,0.0,0.0,-17140.0,29830.0,-5190.0
32.7602093,35.022611,470.5,0.01025,-0.00325,0.99875,0.0,0.02,0.0,-17150.0,29870.0,-5200.0
32.7602093,35.022611,470.5,0.0105,-0.00325,0.99875,0.1,-0.02,0.02,-17210.0,29950.0,-5220.0
32.7602093,35.022611,470.5,0.011,-0.00325,0.9985,-0.02,-0.02,-0.04,-17290.0,30100.0,-5230.0
32.7602093,35.022611,470.5,0.01075,-0.0035,0.99875,0.0,0.0,-0.02,-17330.0,30100.0,-5200.0
32.7602093,35.022611,470.5,0.0105,-0.003,0.99875,-0.06,-0.02,0.02,-17310.0,30080.0,-5220.0
32.7602093,35.022611,470.5,0.01075,-0.0035,0.99875,-0.02,0.0,0.02,-17320.0,30160.0,-5210.0
32.7602093,35.022611,470.5,0.0105,-0.00325,0.999,0.0,-0.06,0.0,-17310.0,30090.0,-5200.0
32.7602093,35.022611,470.5,0.0105,-0.003,0.9985,0.02,0.0,0.02,-17290.0,30080.0,-5210.0
32.7602093,35.022611,470.5,0.01075,-0.0035,0.99875,0.0,0.04,-0.04,-17300.0,30200.0,-5240.0
32.7602093,35.022611,470.5,0.01025,-0.00325,0.99875,0.0,0.0,0.02,-17280.0,30160.0,-5280.0
32.7602093,35.022611,470.5,0.0105,-0.003,0.999,-0.02,0.02,0.0,-17280.0,30150.0,-5320.0
32.7602093,35.022611,470.5,0.01075,-0.00325,0.999,-0.02,0.02,0.02,-17310.0,30280.0,-5290.0
32.7602093,35.022611,470.5,0.0105,-0.00325,0.99875,0.02,0.02,-0.02,-17300.0,30220.0,-5280.0
32.7602093,35.022611,470.5,0.01075,-0.003,0.999,0.02,0.0,0.02,-17290.0,30160.0,-5280.0
32.7602093,35.022611,470.5,0.0105,-0.00325,0.99875,-0.02,0.04,-0.08,-17300.0,30230.0,-5240.0
32.7602093,35.022611,470.5,0.0105,-0.00325,0.999,-0.02,0.02,0.06,-17290.0,30210.0,-5260.0
32.7602093,35.022611,470.5,0.0105,-0.00325,0.99875,0.0,-0.02,0.06,-17280.0,30170.0,-5260.0
32.7602093,35.022611,470.5,0.01075,-0.0035,0.99875,-0.08,-0.02,-0.04,-17300.0,30170.0,-5220.0
32.7602093,35.022611,470.5,0.01025,-0.00325,0.99875,0.0,0.0,-0.02,-17330.0,30180.0,-5220.0
32.7602093,35.022611,470.51,0.01075,-0.003,0.9985,-0.04,0.02,-0.04,-17300.0,30210.0,-5290.0
32.7602093,35.022611,470.51,0.0105,-0.0035,0.99875,-0.02,-0.02,0.02,-17300.0,30260.0,-5220.0
32.7602093,35.022611,470.51,0.0105,-0.003,0.99875,0.0,-0.02,0.04,-17360.0,30230.0,-5210.0
32.7602093,35.022611,470.51,0.0105,-0.00325,0.99875,-0.02,-0.04,0.04,-17330.0,30210.0,-5220.0
32.7602093,35.022611,470.51,0.0105,-0.00325,0.99875,0.0,0.02,-0.04,-17320.0,30190.0,-5170.0
32.7602093,35.022611,470.51,0.0105,-0.003,0.999,-0.02,-0.04,-0.02,-17330.0,30230.0,-5180.0
32.7602093,35.022611,470.51,0.01075,-0.00325,0.99875,0.04,0.0,-0.02,-17330.0,30230.0,-5230.0
32.7602093,35.022611,470.51,0.0105,-0.0035,0.999,0.04,-0.08,0.04,-17300.0,30200.0,-5210.0
32.7602093,35.022611,470.51,0.0105,-0.003,0.999,0.0,0.0,-0.04,-17310.0,30190.0,-5220.0
32.7602093,35.022611,470.51,0.01075,-0.00325,0.99875,-0.06,-0.02,0.0,-17320.0,30210.0,-5230.0
32.7602093,35.022611,470.51,0.0105,-0.00325,0.99875,0.0,0.06,0.02,-17290.0,30190.0,-5250.0
32.7602093,35.022611,470.51,0.0105,-0.003,0.99875,-0.04,-0.04,0.08,-17280.0,30170.0,-5270.0
32.7602093,35.022611,470.51,0.01075,-0.00325,0.99875,0.0,-0.04,-0.02,-17320.0,30190.0,-5220.0
32.7602093,35.022611,470.51,0.0105,-0.00325,0.999,-0.02,-0.02,-0.02,-17320.0,30110.0,-5190.0
32.7602093,35.022611,470.51,0.0105,-0.003,0.999,0.02,0.0,-0.04,-17330.0,30140.0,-5190.0
32.7602093,35.022611,470.51,0.011,-0.00325,0.99875,0.06,0.0,-0.04,-17360.0,30250.0,-5200.0
32.7602093,35.022611,470.51,0.0105,-0.003,0.99875,0.02,-0.02,0.0,-17330.0,30110.0,-5180.0
32.7602093,35.022611,470.51,0.0105,-0.00325,0.99875,-0.02,0.0,0.0,-17290.0,30080.0,-5220.0
32.7602093,35.022611,470.51,0.01075,-0.00325,0.99875,0.06,-0.02,0.04,-17330.0,30210.0,-5180.0
32.7602093,35.022611,470.51,0.01025,-0.003,0.999,-0.06,0.04,-0.02,-17310.0,30140.0,-5210.0
32.7602094,35.0226111,470.52,0.01075,-0.00325,0.999,0.0,0.0,0.0,-17310.0,30190.0,-5270.0
32.7602094,35.0226111,470.52,0.01025,-0.00325,0.99875,0.0,-0.06,0.04,-17350.0,30250.0,-5220.0
32.7602094,35.0226111,470.52,0.01025,-0.00325,0.99875,-0.04,0.04,0.02,-17350.0,30150.0,-5200.0
32.7602094,35.0226111,470.52,0.0105,-0.00325,0.99875,-0.02,0.04,-0.02,-17350.0,30110.0,-5220.0
32.7602094,35.0226111,470.52,0.0105,-0.00325,0.999,0.0,0.0,0.0,-17380.0,30210.0,-5160.0
32.7602094,35.0226111,470.52,0.0105,-0.003,0.99875,-0.02,-0.04,0.02,-17360.0,30140.0,-5170.0
32.7602094,35.0226111,470.52,0.0105,-0.00325,0.99875,0.04,0.04,0.0,-17330.0,30050.0,-5200.0
32.7602094,35.0226111,470.52,0.0105,-0.00325,0.9985,0.0,-0.02,0.0,-17350.0,30190.0,-5150.0
32.7602094,35.0226111,470.52,0.0105,-0.00325,0.9985,-0.02,-0.02,-0.02,-17400.0,30160.0,-5150.0
32.7602094,35.0226111,470.52,0.0105,-0.00325,0.99875,-0.04,-0.02,-0.02,-17390.0,30190.0,-5200.0
32.7602094,35.0226111,470.52,0.01025,-0.0035,0.99875,0.04,0.02,0.0,-17410.0,30310.0,-5200.0
32.7602094,35.0226111,470.52,0.0105,-0.003,0.99875,-0.02,0.02,0.0,-17420.0,30340.0,-5240.0
32.7602094,35.0226111,470.52,0.0105,-0.00325,0.99875,-0.08,0.02,0.02,-17410.0,30340.0,-5270.0
32.7602094,35.0226111,470.52,0.0105,-0.0035,0.99875,0.02,-0.02,0.0,-17420.0,30380.0,-5220.0
32.7602094,35.0226111,470.52,0.01025,-0.00325,0.999,0.02,-0.06,0.0,-17410.0,30380.0,-5240.0
32.7602094,35.0226111,470.52,0.0105,-0.0035,0.99875,0.04,-0.02,0.02,-17440.0,30380.0,-5260.0
32.7602094,35.0226111,470.52,0.0105,-0.00325,0.99875,-0.02,-0.02,-0.06,-17450.0,30310.0,-5210.0
32.7602094,35.0226111,470.52,0.0105,-0.00325,0.999,0.04,-0.04,-0.02,-17440.0,30280.0,-5210.0
32.7602094,35.0226111,470.52,0.0105,-0.00325,0.999,0.0,-0.02,0.04,-17470.0,30290.0,-5210.0
32.7602094,35.0226111,470.52,0.0105,-0.00325,0.99875,-0.02,-0.02,-0.04,-17460.0,30260.0,-5160.0
32.7602094,35.022611,470.53,0.0105,-0.00275,0.99875,0.06,0.06,-0.02,-17480.0,30310.0,-5210.0
32.7602094,35.022611,470.53,0.0105,-0.003,0.99875,-0.04,0.0,-0.02,-17480.0,30310.0,-5210.0
32.7602094,35.022611,470.53,0.01025,-0.00325,0.99875,-0.04,-0.04,0.06,-17470.0,30220.0,-5160.0
32.7602094,35.022611,470.53,0.01075,-0.00275,0.9985,-0.04,0.0,0.0,-17480.0,30210.0,-5190.0
32.7602094,35.022611,470.53,0.01075,-0.00325,0.99875,0.02,-0.02,-0.04,-17490.0,30270.0,-5150.0
32.7602094,35.022611,470.53,0.0105,-0.00325,0.99875,-0.02,-0.04,0.02,-17460.0,30220.0,-5140.0
32.7602094,35.022611,470.53,0.0105,-0.00325,0.99875,0.0,0.0,0.0,-17470.0,30200.0,-5150.0
32.7602094,35.022611,470.53,0.0105,-0.0035,0.99875,-0.04,0.04,0.02,-17470.0,30270.0,-5130.0
32.7602094,35.022611,470.53,0.0105,-0.00325,0.99875,-0.06,0.0,-0.02,-17450.0,30230.0,-5120.0
32.7602094,35.022611,470.53,0.01075,-0.00325,0.99875,-0.02,0.04,0.02,-17450.0,30240.0,-5170.0
32.7602094,35.022611,470.53,0.0105,-0.0035,0.99875,0.0,0.0,-0.02,-17460.0,30310.0,-5150.0
32.7602094,35.022611,470.53,0.0105,-0.00325,0.999,0.02,0.0,0.06,-17450.0,30220.0,-5170.0
32.7602094,35.022611,470.53,0.01075,-0.0035,0.99875,0.0,0.0,0.04,-17450.0,30210.0,-5170.0
32.7602094,35.022611,470.53,0.01075,-0.0035,0.99875,0.04,0.04,0.06,-17430.0,30250.0,-5130.0
32.7602094,35.022611,470.53,0.01075,-0.00325,0.99875,-0.06,0.0,0.02,-17400.0,30190.0,-5170.0
32.7602094,35.022611,470.53,0.01075,-0.00325,0.99875,0.02,0.0,0.06,-17440.0,30210.0,-5200.0
32.7602094,35.022611,470.53,0.0105,-0.0035,0.99875,0.0,0.0,0.0,-17430.0,30230.0,-5150.0
32.7602094,35.022611,470.53,0.0105,-0.003,0.99875,0.0,-0.02,0.02,-17390.0,30180.0,-5170.0
32.7602094,35.022611,470.53,0.011,-0.00325,0.9985,-0.02,-0.02,0.0,-17400.0,30150.0,-5220.0
32.7602094,35.022611,470.53,0.0105,-0.00325,0.9985,-0.08,0.0,0.04,-17350.0,30110.0,-5180.0
32.7602094,35.022611,470.54,0.01075,-0.00275,0.9985,0.06,0.0,0.0,-17320.0,30120.0,-5260.0
32.7602094,35.022611,470.54,0.01075,-0.003,0.99875,-0.02,0.0,0.04,-17340.0,30230.0,-5300.0
32.7602094,35.022611,470.54,0.0105,-0.003,0.99875,-0.02,-0.04,-0.06,-17420.0,30310.0,-5260.0
32.7602094,35.022611,470.54,0.0105,-0.003,0.99875,-0.02,0.06,-0.04,-17380.0,30230.0,-5250.0
32.7602094,35.022611,470.54,0.01075,-0.00325,0.99875,-0.02,-0.02,0.04,-17370.0,30190.0,-5240.0
32.7602094,35.022611,470.54,0.0105,-0.0035,0.9985,-0.08,-0.02,0.0,-17330.0,30110.0,-5190.0
32.7602094,35.022611,470.54,0.0105,-0.00325,0.99875,-0.04,-0.04,-0.04,-17320.0,30100.0,-5220.0
32.7602094,35.022611,470.54,0.01075,-0.0035,0.99875,0.02,0.02,0.04,-17350.0,30200.0,-5210.0
32.7602094,35.022611,470.54,0.0105,-0.0035,0.9985,-0.08,-0.02,-0.08,-17350.0,30160.0,-5180.0
32.7602094,35.022611,470.54,0.0105,-0.00325,0.99875,-0.04,0.0,-0.02,-17330.0,30140.0,-5220.0
32.7602094,35.022611,470.54,0.0105,-0.00325,0.99875,0.0,0.06,0.0,-17320.0,30200.0,-5240.0
32.7602094,35.022611,470.54,0.0105,-0.00325,0.99875,0.04,0.0,-0.02,-17340.0,30180.0,-5230.0
32.7602094,35.022611,470.54,0.01075,-0.00325,0.99875,-0.04,-0.04,-0.02,-17300.0,30200.0,-5280.0
32.7602094,35.022611,470.54,0.01075,-0.0035,0.999,-0.02,0.04,0.02,-17300.0,30250.0,-5280.0
32.7602094,35.022611,470.54,0.01025,-0.00325,0.99875,-0.02,0.04,0.0,-17330.0,30220.0,-5280.0
32.7602094,35.022611,470.54,0.01075,-0.00325,0.99875,0.08,-0.04,-0.02,-17340.0,30190.0,-5260.0
32.7602094,35.022611,470.54,0.0105,-0.0035,0.9985,0.06,-0.02,0.0,-17340.0,30280.0,-5200.0
